onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
27.773000	300.034000	27773	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
338.015000	321.063000	338015	speech	1	audio/story-01.mp3	1	last_adjacent_pair_with_duration_ge_150_s
760.010000	310.123000	760010	speech	2	audio/story-02.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1120.124000	300.405000	1120124	speech	3	audio/story-03.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1527.043000	315.931000	1527043	speech	4	audio/story-04.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1936.961000	308.338000	1936961	speech	5	audio/story-05.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2302.664000	314.919000	2302664	speech	6	audio/story-06.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2649.735000	305.780000	2649735	speech	7	audio/story-07.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3066.894000	310.449000	3066894	speech	8	audio/story-08.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3450.840000	247.242000	3450840	speech	9	audio/story-09.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3759.522000	324.949000	3759522	speech	10	audio/story-10.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4121.227000	276.205000	4121227	speech	11	audio/story-11.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4445.647000	309.283000	4445647	speech	12	audio/story-12.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4829.885000	304.234000	4829885	speech	13	audio/story-13.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5165.431000	196.830000	5165431	speech	14	audio/story-14.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5391.773000	307.359000	5391773	speech	15	audio/story-15.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5726.994000	305.577000	5726994	speech	16	audio/story-16.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6069.536000	290.797000	6069536	speech	17	audio/story-17.mp3	1	last_adjacent_pair_with_duration_ge_150_s
