onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
402.762000	300.005000	402762	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
711.054000	303.660000	711054	speech	34	audio/story-34.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1053.649000	287.749000	1053649	speech	35	audio/story-35.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1375.928000	284.550000	1375928	speech	36	audio/story-36.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1696.903000	222.724000	1696903	speech	37	audio/story-37.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1972.586000	272.528000	1972586	speech	38	audio/story-38.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2306.014000	284.895000	2306014	speech	39	audio/story-39.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2635.427000	281.212000	2635427	speech	40	audio/story-40.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2963.587000	279.226000	2963587	speech	41	audio/story-41.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3272.105000	272.045000	3272105	speech	42	audio/story-42.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3585.308000	227.623000	3585308	speech	43	audio/story-43.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3845.233000	282.871000	3845233	speech	44	audio/story-44.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4166.417000	289.334000	4166417	speech	45	audio/story-45.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4518.511000	278.117000	4518511	speech	46	audio/story-46.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4839.235000	281.600000	4839235	speech	47	audio/story-47.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5145.043000	193.371000	5145043	speech	48	audio/story-48.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5370.314000	282.555000	5370314	speech	49	audio/story-49.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5698.246000	285.706000	5698246	speech	50	audio/story-50.mp3	1	last_adjacent_pair_with_duration_ge_150_s
