onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
46.651000	300.006000	46651	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
358.463000	303.659000	358463	speech	34	audio/story-34.mp3	1	last_adjacent_pair_with_duration_ge_150_s
720.921000	287.745000	720921	speech	35	audio/story-35.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1117.940000	284.551000	1117940	speech	36	audio/story-36.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1460.593000	222.723000	1460593	speech	37	audio/story-37.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1783.234000	272.530000	1783234	speech	38	audio/story-38.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2130.075000	284.884000	2130075	speech	39	audio/story-39.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2503.735000	281.215000	2503735	speech	40	audio/story-40.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3407.022000	279.222000	3407022	speech	41	audio/story-41.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3739.632000	272.047000	3739632	speech	42	audio/story-42.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4180.442000	227.619000	4180442	speech	43	audio/story-43.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4470.344000	282.871000	4470344	speech	44	audio/story-44.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4833.129000	289.331000	4833129	speech	45	audio/story-45.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5219.234000	278.122000	5219234	speech	46	audio/story-46.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5548.375000	281.596000	5548375	speech	47	audio/story-47.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5890.469000	193.370000	5890469	speech	48	audio/story-48.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6124.488000	282.562000	6124488	speech	49	audio/story-49.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6543.355000	285.704000	6543355	speech	50	audio/story-50.mp3	1	last_adjacent_pair_with_duration_ge_150_s
