onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
28.506000	300.034000	28506	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
339.607000	321.059000	339607	speech	1	audio/story-01.mp3	1	last_adjacent_pair_with_duration_ge_150_s
696.448000	310.120000	696448	speech	2	audio/story-02.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1068.292000	300.395000	1068292	speech	3	audio/story-03.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1424.253000	315.926000	1424253	speech	4	audio/story-04.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1780.042000	308.341000	1780042	speech	5	audio/story-05.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2158.751000	314.915000	2158751	speech	6	audio/story-06.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2509.091000	305.778000	2509091	speech	7	audio/story-07.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2975.116000	310.452000	2975116	speech	8	audio/story-08.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3344.149000	247.238000	3344149	speech	9	audio/story-09.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3648.948000	324.951000	3648948	speech	10	audio/story-10.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4009.851000	276.205000	4009851	speech	11	audio/story-11.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4349.232000	309.283000	4349232	speech	12	audio/story-12.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4715.943000	304.238000	4715943	speech	13	audio/story-13.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5094.215000	196.831000	5094215	speech	14	audio/story-14.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5361.680000	307.353000	5361680	speech	15	audio/story-15.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5718.484000	305.587000	5718484	speech	16	audio/story-16.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6062.550000	290.794000	6062550	speech	17	audio/story-17.mp3	1	last_adjacent_pair_with_duration_ge_150_s
