onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
1.618000	300.004000	1618	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
318.512000	303.663000	318512	speech	34	audio/story-34.mp3	1	last_adjacent_pair_with_duration_ge_150_s
695.503000	287.744000	695503	speech	35	audio/story-35.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1039.637000	284.555000	1039637	speech	36	audio/story-36.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1358.492000	222.724000	1358492	speech	37	audio/story-37.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1628.785000	272.529000	1628785	speech	38	audio/story-38.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1951.321000	284.886000	1951321	speech	39	audio/story-39.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2281.235000	281.215000	2281235	speech	40	audio/story-40.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2604.418000	279.222000	2604418	speech	41	audio/story-41.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2936.122000	272.046000	2936122	speech	42	audio/story-42.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3263.737000	227.623000	3263737	speech	43	audio/story-43.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3525.763000	282.868000	3525763	speech	44	audio/story-44.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3865.039000	289.324000	3865039	speech	45	audio/story-45.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4207.862000	278.118000	4207862	speech	46	audio/story-46.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4889.121000	193.373000	4889121	speech	48	audio/story-48.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5123.656000	282.555000	5123656	speech	49	audio/story-49.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5451.963000	285.700000	5451963	speech	50	audio/story-50.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5867.963000	281.604000	5867963	speech	47	audio/story-47.mp3	2	last_adjacent_pair_with_duration_ge_150_s
