index	word	part_of_speech	onset	offset	duration
1	孙坚	体词	1.310	1.740	0.430
2	上次	体词	1.740	2.110	0.370
3	把	虚词	2.110	2.230	0.120
4	董卓	体词	2.230	2.620	0.390
5	赶	谓词	2.620	2.840	0.220
6	出	谓词	2.840	2.970	0.130
7	洛阳	体词	2.970	3.310	0.340
8	以后	体词	3.310	3.600	0.290
9	又	饰词	4.010	4.150	0.140
10	去	谓词	4.150	4.310	0.160
11	进攻	谓词	4.310	4.680	0.370
12	荆州	体词	4.680	4.990	0.310
13	的	虚词	4.990	5.090	0.100
14	刘表	体词	5.090	5.470	0.380
15	结果	体词	6.180	6.410	0.230
16	打	谓词	6.410	6.580	0.170
17	了	虚词	6.580	6.680	0.100
18	败仗	谓词	6.680	7.210	0.530
19	让	谓词	7.750	7.930	0.180
20	刘表	体词	7.930	8.170	0.240
21	的	虚词	8.170	8.270	0.100
22	部下	体词	8.270	8.580	0.310
23	黄祖	体词	8.580	9.050	0.470
24	用	虚词	9.050	9.190	0.140
25	箭	体词	9.190	9.370	0.180
26	射死	谓词	9.370	9.780	0.410
27	了	虚词	9.780	10.010	0.230
28	他	代词	10.900	11.020	0.120
29	的	虚词	11.020	11.090	0.070
30	儿子	体词	11.090	11.390	0.300
31	孙策	体词	11.390	11.790	0.400
32	把	虚词	11.790	11.910	0.120
33	他	代词	11.910	12.000	0.090
34	下	体词	12.000	12.200	0.200
35	了	虚词	12.200	12.300	0.100
36	葬	谓词	12.300	12.670	0.370
37	一个	饰词	13.040	13.260	0.220
38	人	体词	13.260	13.410	0.150
39	到	谓词	13.410	13.540	0.130
40	寿春	体词	13.540	13.980	0.440
41	去	谓词	13.980	14.100	0.120
42	找	谓词	14.100	14.300	0.200
43	袁术	体词	14.300	14.710	0.410
44	孙策	体词	15.670	16.020	0.350
45	哭	谓词	16.020	16.260	0.240
46	着	虚词	16.260	16.380	0.120
47	对	虚词	16.380	16.520	0.140
48	袁术	体词	16.520	16.890	0.370
49	说	谓词	16.890	17.120	0.230
50	我	代词	18.420	18.460	0.040
51	父亲	体词	18.460	18.820	0.360
52	和	虚词	18.820	18.950	0.130
53	您	代词	18.950	19.120	0.170
54	结盟	体词	19.120	19.430	0.310
55	创业	体词	19.430	19.840	0.410
56	不幸	谓词	20.080	20.490	0.410
57	被	虚词	20.490	20.610	0.120
58	人	体词	20.610	20.720	0.110
59	害	谓词	20.720	21.000	0.280
60	了	虚词	21.000	21.210	0.210
61	我	代词	21.820	21.890	0.070
62	一定	饰词	21.890	22.110	0.220
63	要	谓词	22.110	22.220	0.110
64	继续	谓词	22.220	22.510	0.290
65	先父	体词	22.510	22.840	0.330
66	的	虚词	22.840	22.940	0.100
67	事业	体词	22.940	23.310	0.370
68	请	谓词	23.690	23.880	0.190
69	您	代词	23.880	24.020	0.140
70	千万	饰词	24.020	24.350	0.330
71	要	谓词	24.350	24.430	0.080
72	帮助	谓词	24.430	24.820	0.390
73	我	代词	24.820	24.960	0.140
74	袁术	体词	26.390	26.680	0.290
75	看	谓词	26.680	26.880	0.200
76	孙策	体词	26.880	27.280	0.400
77	长	谓词	27.280	27.470	0.190
78	得	虚词	27.470	27.540	0.070
79	很	饰词	27.540	27.740	0.200
80	英俊	体词	27.740	28.330	0.590
81	年纪轻轻	其他	28.650	29.490	0.840
82	的	虚词	29.490	29.570	0.080
83	志气	体词	29.840	30.180	0.340
84	倒	谓词	30.180	30.290	0.110
85	不小	谓词	30.290	30.640	0.350
86	心里	体词	31.130	31.480	0.350
87	说	谓词	31.480	31.710	0.230
88	我	代词	33.040	33.100	0.060
89	要是	虚词	33.100	33.360	0.260
90	有	谓词	33.360	33.470	0.110
91	这么	代词	33.470	33.690	0.220
92	个	体词	33.690	33.830	0.140
93	儿子	体词	33.830	34.140	0.310
94	死	谓词	34.600	34.810	0.210
95	了	虚词	34.810	34.910	0.100
96	也	饰词	34.910	34.990	0.080
97	能合	谓词	34.990	35.290	0.300
98	上眼	谓词	35.290	35.690	0.400
99	了	虚词	35.690	35.920	0.230
100	他	代词	37.130	37.260	0.130
101	想	谓词	37.260	37.470	0.210
102	是	谓词	37.470	37.620	0.150
