index	word	part_of_speech	onset	offset	duration
1	我	代词	1.330	1.380	0.050
2	是	谓词	1.380	1.550	0.170
3	董卓	体词	1.550	1.970	0.420
4	特地	体词	2.290	2.650	0.360
5	保护	谓词	2.650	2.990	0.340
6	皇上	体词	2.990	3.370	0.380
7	来	谓词	3.370	3.530	0.160
8	啦	虚词	3.530	3.610	0.080
9	大臣	体词	4.640	4.970	0.330
10	们	其他	4.970	5.100	0.130
11	听	谓词	5.100	5.370	0.270
12	了	虚词	5.370	5.560	0.190
13	心里	体词	5.660	6.020	0.360
14	都	饰词	6.020	6.140	0.120
15	连连	饰词	6.140	6.490	0.350
16	叫苦	谓词	6.490	6.950	0.460
17	有个	代词	7.890	8.030	0.140
18	大臣	体词	8.030	8.420	0.390
19	结结巴巴	谓词	8.420	9.050	0.630
20	地	虚词	9.050	9.130	0.080
21	说	谓词	9.130	9.370	0.240
22	如	谓词	10.660	10.980	0.320
23	如今	体词	11.820	12.400	0.580
24	乱	饰词	12.800	13.160	0.360
25	乱子	体词	13.460	13.760	0.300
26	已经	饰词	13.760	14.010	0.250
27	平定	谓词	14.010	14.470	0.460
28	外面	体词	15.170	15.440	0.270
29	的	虚词	15.440	15.520	0.080
30	兵	体词	15.520	15.820	0.300
31	兵马	体词	16.110	16.410	0.300
32	就	饰词	16.410	16.540	0.130
33	不必	饰词	16.540	16.880	0.340
34	进	谓词	16.880	17.280	0.400
35	进京	谓词	17.500	18.040	0.540
36	了	虚词	18.040	18.230	0.190
37	董卓	体词	19.450	19.800	0.350
38	又	饰词	19.800	19.910	0.110
39	把	虚词	19.910	20.070	0.160
40	眼一	体词	20.070	20.400	0.330
41	瞪	谓词	20.400	20.750	0.350
42	说	谓词	21.040	21.340	0.300
43	你们	代词	22.590	22.800	0.210
44	这帮	饰词	22.800	23.080	0.280
45	大臣	体词	23.080	23.610	0.530
46	把	虚词	23.720	23.930	0.210
47	朝廷	体词	23.930	24.290	0.360
48	弄	谓词	24.290	24.430	0.140
49	到	谓词	24.430	24.530	0.100
50	这步田地	其他	24.530	25.300	0.770
51	还	饰词	25.720	25.860	0.140
52	不	饰词	25.860	25.950	0.090
