index	word	part_of_speech	onset	offset	duration
1	冬至	体词	1.290	1.660	0.370
2	这天	代词	1.660	2.110	0.450
3	江	体词	2.690	2.870	0.180
4	上	体词	2.870	3.050	0.180
5	忽然	饰词	3.050	3.390	0.340
6	刮起	谓词	3.390	3.730	0.340
7	了	虚词	3.730	3.820	0.090
8	一阵阵	饰词	3.820	4.320	0.500
9	的	虚词	4.320	4.410	0.090
10	东南风	体词	4.410	5.020	0.610
11	黄盖	体词	6.030	6.380	0.350
12	先	饰词	6.380	6.580	0.200
13	派	谓词	6.580	6.760	0.180
14	人	体词	6.760	6.890	0.130
15	送信	谓词	6.890	7.270	0.380
16	给	虚词	7.270	7.380	0.110
17	曹操	体词	7.380	7.840	0.460
18	说	谓词	8.440	8.570	0.130
19	今天	体词	8.570	8.940	0.370
20	晚上	体词	8.940	9.380	0.440
21	他	代词	9.580	9.800	0.220
22	要	谓词	9.800	9.860	0.060
23	带	谓词	9.860	10.010	0.150
24	着	虚词	10.010	10.120	0.110
25	粮船	体词	10.120	10.560	0.440
26	到	谓词	10.560	10.690	0.130
27	曹营	体词	10.690	11.050	0.360
28	来	谓词	11.050	11.160	0.110
29	投降	谓词	11.160	11.820	0.660
30	黄昏	体词	12.660	13.070	0.410
31	的	虚词	13.070	13.170	0.100
32	时候	体词	13.170	13.510	0.340
33	风	体词	13.830	14.060	0.230
34	越	饰词	14.060	14.190	0.130
35	刮	谓词	14.190	14.420	0.230
36	越	饰词	14.420	14.570	0.150
37	大	谓词	14.570	14.820	0.250
38	黄盖	体词	15.920	16.270	0.350
39	让	谓词	16.270	16.450	0.180
40	士兵	体词	16.450	16.810	0.360
41	们	其他	16.810	16.980	0.170
42	在	虚词	16.980	17.120	0.140
43	每	代词	17.120	17.280	0.160
44	艘	饰词	17.280	17.460	0.180
45	大船	体词	17.460	17.840	0.380
46	后面	体词	17.840	18.180	0.340
47	拉	谓词	18.180	18.320	0.140
48	上	体词	18.320	18.480	0.160
49	几只	饰词	18.480	18.750	0.270
50	小船	体词	18.750	19.440	0.690
51	人	体词	19.940	20.070	0.130
52	都	饰词	20.070	20.190	0.120
53	躲	谓词	20.190	20.320	0.130
54	在	虚词	20.320	20.450	0.130
55	小船	体词	20.450	20.920	0.470
56	里	体词	20.920	21.200	0.280
57	一切	代词	21.770	22.020	0.250
58	都	饰词	22.020	22.150	0.130
59	准备	谓词	22.150	22.410	0.260
60	好	谓词	22.410	22.700	0.290
61	了	虚词	22.700	22.890	0.190
62	他	代词	23.280	23.350	0.070
63	下令	谓词	23.350	23.750	0.400
64	出发	谓词	23.750	24.180	0.430
65	船	体词	24.860	25.020	0.160
66	一艘	饰词	25.020	25.360	0.340
67	接着	虚词	25.360	25.680	0.320
68	一艘	饰词	25.680	25.960	0.280
69	离	谓词	25.960	26.130	0.170
70	了	虚词	26.130	26.240	0.110
71	岸	体词	26.240	26.500	0.260
72	到	谓词	27.590	27.740	0.150
73	了	虚词	27.740	27.850	0.110
74	江心	体词	27.850	28.500	0.650
75	船上	体词	28.760	29.140	0.380
76	拉	谓词	29.140	29.280	0.140
77	起	谓词	29.280	29.430	0.150
78	风帆	体词	29.430	30.010	0.580
79	顺着	虚词	30.420	30.700	0.280
80	风势	体词	30.700	31.090	0.390
81	别提	体词	31.090	31.470	0.380
82	多	饰词	31.470	31.610	0.140
83	快	谓词	31.610	31.900	0.290
84	了	虚词	31.900	32.090	0.190
85	一眨巴眼	其他	33.040	33.570	0.530
86	儿	体词	33.570	33.650	0.080
87	的	虚词	33.650	33.730	0.080
88	工夫	体词	33.730	34.140	0.410
89	就	饰词	34.340	34.480	0.140
90	瞧见	谓词	34.480	34.870	0.390
91	了	虚词	34.870	34.950	0.080
92	曹操	体词	34.950	35.320	0.370
93	的	虚词	35.320	35.420	0.100
94	军营	体词	35.420	35.910	0.490
95	曹军	体词	36.870	37.220	0.350
96	的	虚词	37.220	37.320	0.100
97	将士	体词	37.320	37.650	0.330
98	们	其他	37.650	37.800	0.150
99	听说	谓词	37.800	38.100	0.300
100	黄盖	体词	38.100	38.500	0.400
101	来降	谓词	38.500	39.030	0.530
102	都	饰词	39.230	39.420	0.190
103	站	谓词	39.420	39.600	0.180
104	在	虚词	39.600	39.700	0.100
105	大	体词	39.700	39.860	0.160
106	船上	体词	39.860	40.430	0.570
107	眼巴巴	体词	40.800	41.340	0.540
108	地	虚词	41.340	41.440	0.100
109	朝南边	体词	41.440	41.970	0.530
110	看	谓词	41.970	42.320	0.350
111	有	谓词	42.960	43.050	0.090
112	的	虚词	43.050	43.150	0.100
113	看见	谓词	43.150	43.560	0.410
114	了	虚词	43.560	43.710	0.150
115	先	饰词	43.920	44.140	0.220
116	嚷起来	谓词	44.140	44.730	0.590
117	瞧	谓词	45.880	46.050	0.170
118	那	代词	46.810	46.900	0.090
119	就是	饰词	46.900	47.160	0.260
120	黄盖	体词	47.160	47.590	0.430
121	的	虚词	47.590	47.670	0.080
122	船	体词	47.670	48.200	0.530
123	这下子	其他	49.190	49.700	0.510
124	可	谓词	49.700	49.910	0.210
125	有	谓词	49.910	49.960	0.050
126	周瑜	体词	49.960	50.330	0.370
127	的	虚词	50.330	50.430	0.100
128	好看	谓词	50.430	50.910	0.480
129	了	虚词	50.910	51.100	0.190
130	忽然	饰词	52.270	52.580	0.310
131	有人	代词	52.580	52.890	0.310
132	高	谓词	52.890	53.050	0.160
133	叫	谓词	53.050	53.230	0.180
134	了	虚词	53.300	53.380	0.080
135	一声	饰词	53.380	53.720	0.340
136	船	体词	55.020	55.210	0.190
137	来得	谓词	55.210	55.450	0.240
138	这么	代词	55.450	55.670	0.220
139	快	谓词	55.670	55.870	0.200
140	装	谓词	56.400	56.610	0.210
141	的	虚词	56.610	56.690	0.080
142	可别	谓词	56.690	56.990	0.300
143	不是	虚词	56.990	57.240	0.250
144	粮食	体词	57.240	57.650	0.410
145	吧	虚词	57.650	57.920	0.270
146	一句	饰词	59.170	59.450	0.280
147	话	体词	59.490	59.630	0.140
148	提醒	谓词	59.630	60.060	0.430
149	了	虚词	60.060	60.140	0.080
150	曹操	体词	60.140	60.580	0.440
151	他	代词	61.270	61.340	0.070
152	急忙	饰词	61.340	61.700	0.360
153	下令	谓词	61.700	62.080	0.380
154	说	谓词	62.080	62.300	0.220
155	快	谓词	63.620	63.720	0.100
156	让	谓词	63.720	63.890	0.170
157	来	谓词	63.890	64.000	0.110
158	船	体词	64.000	64.190	0.190
159	停住	谓词	64.190	64.540	0.350
160	不准	谓词	64.860	65.140	0.280
161	它	代词	65.140	65.230	0.090
162	前来	体词	65.230	65.760	0.530
163	弓箭手	体词	66.460	66.880	0.420
164	赶快	饰词	66.880	67.200	0.320
165	准备	谓词	67.200	67.490	0.290
166	可是	虚词	68.910	69.130	0.220
167	哪儿	代词	69.130	69.370	0.240
168	还	饰词	69.370	69.540	0.170
169	来得及	谓词	69.540	70.080	0.540
170	呀	虚词	70.080	70.130	0.050
171	东吴	体词	71.160	71.450	0.290
172	的	虚词	71.450	71.560	0.110
173	船	体词	71.560	71.820	0.260
174	已经	饰词	71.820	72.030	0.210
175	冲过来	其他	72.030	72.550	0.520
176	了	虚词	72.550	72.740	0.190
177	猛地	饰词	73.410	73.600	0.190
178	各	代词	73.600	73.770	0.170
179	艘	饰词	73.770	73.930	0.160
180	船上	体词	73.930	74.290	0.360
181	同时	虚词	74.290	74.650	0.360
182	起	谓词	74.650	74.830	0.180
183	了	虚词	74.830	74.940	0.110
184	火	体词	74.940	75.200	0.260
185	火焰	体词	76.050	76.440	0.390
186	冲天	体词	76.440	76.960	0.520
187	呼呼	谓词	77.240	77.610	0.370
188	地	虚词	77.610	77.710	0.100
189	烧着	谓词	77.710	78.130	0.420
190	火	体词	79.070	79.270	0.200
191	乘风	体词	79.270	79.790	0.520
192	势	体词	79.790	80.060	0.270
193	风助火威	其他	80.350	81.300	0.950
194	越	饰词	81.620	81.750	0.130
195	烧	谓词	81.750	82.040	0.290
196	越	饰词	82.040	82.160	0.120
197	旺	谓词	82.160	82.550	0.390
198	船像	体词	83.630	84.020	0.390
199	飞	体词	84.020	84.230	0.210
200	起来	谓词	84.230	84.520	0.290
201	似的	虚词	84.520	84.810	0.290
202	到	谓词	85.400	85.550	0.150
203	了	虚词	85.550	85.650	0.100
204	曹军	体词	85.650	86.040	0.390
205	的	虚词	86.040	86.110	0.070
206	链锁	体词	86.110	86.470	0.360
207	船	体词	86.470	86.690	0.220
208	旁边	体词	86.690	87.230	0.540
209	一处	饰词	87.630	87.900	0.270
210	起火	谓词	87.900	88.380	0.480
211	立刻	饰词	88.890	89.220	0.330
212	烧到	谓词	89.220	89.530	0.310
213	了	虚词	89.530	89.620	0.090
214	别的	代词	89.620	89.920	0.300
215	船	体词	89.920	90.370	0.450
216	不	饰词	91.010	91.120	0.110
217	大	谓词	91.120	91.270	0.150
218	一会儿	饰词	91.270	91.630	0.360
219	工夫	体词	91.630	92.020	0.390
220	成	谓词	92.260	92.480	0.220
221	了	虚词	92.480	92.580	0.100
222	一片	饰词	92.580	92.900	0.320
223	火海	体词	92.900	93.460	0.560
224	木板	体词	94.710	94.980	0.270
225	给	虚词	94.980	95.110	0.130
226	烧得	谓词	95.110	95.430	0.320
227	哔啪	体词	95.430	95.810	0.380
228	哔啪	体词	95.810	96.170	0.360
229	直响	谓词	96.170	96.740	0.570
230	铁链	体词	97.110	97.500	0.390
231	都	饰词	97.500	97.600	0.100
232	烧断	谓词	97.600	98.010	0.410
233	了	虚词	98.010	98.210	0.200
234	这时候	代词	99.140	99.590	0.450
235	火船	体词	100.100	100.450	0.350
236	后面	体词	100.450	100.760	0.310
237	那些	代词	100.760	100.980	0.220
238	小船	体词	100.980	101.420	0.440
239	上	体词	101.420	101.560	0.140
240	的	虚词	101.560	101.650	0.090
241	东吴	体词	101.650	101.950	0.300
242	将士	体词	101.950	102.400	0.450
243	一齐	饰词	102.720	103.090	0.370
244	跳	谓词	103.090	103.260	0.170
245	上	体词	103.260	103.420	0.160
246	大船	体词	103.420	103.910	0.490
247	一连串	体词	104.210	104.760	0.550
