index	word	part_of_speech	onset	offset	duration
1	曹操	体词	1.310	1.670	0.360
2	听	谓词	1.670	1.870	0.200
3	人	体词	1.870	2.040	0.170
4	风言风语	其他	2.040	2.700	0.660
5	地	虚词	2.700	2.800	0.100
6	在	虚词	2.800	2.950	0.150
7	议论	体词	2.950	3.280	0.330
8	自己	代词	3.280	3.750	0.470
9	心里	体词	3.970	4.250	0.280
10	很	饰词	4.250	4.460	0.210
11	不	饰词	4.460	4.550	0.090
12	痛快	谓词	4.550	4.910	0.360
13	刚巧	饰词	6.020	6.280	0.260
14	有人	代词	6.280	6.580	0.300
15	来	谓词	6.580	6.700	0.120
16	向	虚词	6.700	6.870	0.170
17	他	代词	6.870	6.970	0.100
18	报告	体词	6.970	7.310	0.340
19	说	谓词	7.310	7.630	0.320
20	从	虚词	8.010	8.180	0.170
21	地下	体词	8.180	8.540	0.360
22	挖出	谓词	8.540	8.830	0.290
23	了	虚词	8.830	8.930	0.100
24	一个	饰词	8.930	9.150	0.220
25	古代	体词	9.150	9.540	0.390
26	的	虚词	9.540	9.630	0.090
27	铜爵	体词	9.630	10.110	0.480
28	曹操	体词	11.270	11.580	0.310
29	心想	体词	11.580	11.990	0.410
30	这	代词	11.990	12.100	0.110
31	倒	谓词	12.100	12.240	0.140
32	是	谓词	12.240	12.390	0.150
33	个	体词	12.390	12.500	0.110
34	机会	体词	12.500	12.890	0.390
35	马上	饰词	13.570	13.880	0.310
36	下令	谓词	13.880	14.270	0.390
37	在	虚词	14.270	14.390	0.120
38	自己	代词	14.390	14.660	0.270
39	的	虚词	14.660	14.770	0.110
40	封地	体词	14.770	15.220	0.450
41	邺	其他	15.220	15.290	0.070
42	城	体词	15.290	15.530	0.240
43	造	谓词	15.530	15.710	0.180
44	一个	饰词	15.710	15.890	0.180
45	铜爵	体词	15.890	16.250	0.360
46	台	体词	16.250	16.660	0.410
47	旁边	体词	17.180	17.520	0.340
48	盖	谓词	17.520	17.660	0.140
49	上	体词	17.660	17.850	0.190
50	楼阁	体词	17.850	18.180	0.330
51	这年	代词	19.580	19.900	0.320
52	冬天	体词	19.900	20.490	0.590
53	铜爵	体词	20.800	21.130	0.330
54	台	体词	21.130	21.330	0.200
55	造成	谓词	21.330	21.810	0.480
56	了	虚词	21.810	22.000	0.190
57	曹操	体词	22.840	23.170	0.330
58	正好	谓词	23.170	23.500	0.330
59	借题发挥	其他	23.500	24.310	0.810
60	向	虚词	24.590	24.790	0.200
61	全国	体词	24.790	25.140	0.350
62	发	谓词	25.140	25.360	0.220
63	了	虚词	25.360	25.430	0.070
