index	word	part_of_speech	onset	offset	duration
1	吴帝孙	体词	1.020	1.560	0.540
2	权	体词	1.560	1.800	0.240
3	活	谓词	1.800	1.990	0.190
4	了	虚词	1.990	2.090	0.100
5	七十一岁	饰词	2.090	2.820	0.730
6	临死前	其他	3.310	3.870	0.560
7	把	虚词	3.870	3.980	0.110
8	朝政	体词	3.980	4.450	0.470
9	托付给	谓词	4.450	4.930	0.480
10	了	虚词	4.930	5.060	0.130
11	大将军	体词	5.060	5.590	0.530
12	诸葛	体词	5.590	5.910	0.320
13	恪和	谓词	5.910	6.260	0.350
14	孙弘	体词	6.260	6.800	0.540
15	孙峻	体词	6.870	7.420	0.550
16	几个	饰词	7.420	7.660	0.240
17	本	代词	7.660	7.900	0.240
18	家族	体词	7.900	8.290	0.390
19	的	虚词	8.290	8.380	0.090
20	人	体词	8.380	8.560	0.180
21	孙弘	体词	9.290	9.740	0.450
22	和	虚词	9.740	9.860	0.120
23	诸葛	体词	9.860	10.140	0.280
24	恪不	其他	10.140	10.450	0.310
25	和	虚词	10.450	10.810	0.360
26	想	谓词	11.020	11.190	0.170
27	趁机	饰词	11.190	11.530	0.340
28	杀	谓词	11.530	11.820	0.290
29	了	虚词	11.820	11.920	0.100
30	诸葛	体词	11.920	12.180	0.260
31	恪	谓词	12.180	12.460	0.280
32	自己	代词	12.520	12.910	0.390
33	掌	谓词	12.910	13.130	0.220
34	大权	体词	13.130	13.550	0.420
35	孙峻	体词	14.030	14.430	0.400
36	知道	谓词	14.430	14.740	0.310
37	了	虚词	14.740	14.850	0.110
38	把	虚词	14.990	15.110	0.120
39	这件	饰词	15.110	15.390	0.280
40	事	体词	15.390	15.530	0.140
41	告诉	谓词	15.530	15.930	0.400
42	了	虚词	15.930	16.020	0.090
43	诸葛	体词	16.020	16.290	0.270
44	恪	谓词	16.290	16.500	0.210
45	诸葛	体词	17.660	17.970	0.310
46	恪	谓词	17.970	18.170	0.200
47	没事人	其他	18.170	18.640	0.470
48	儿	体词	18.640	18.760	0.120
49	似的	虚词	18.760	19.060	0.300
50	派	谓词	19.140	19.380	0.240
51	人	体词	19.380	19.540	0.160
52	把	虚词	19.540	19.640	0.100
53	孙弘	体词	19.640	20.100	0.460
54	请到	谓词	20.100	20.410	0.310
55	自己	代词	20.410	20.710	0.300
56	府上	体词	20.710	21.210	0.500
57	说要	谓词	21.550	21.820	0.270
58	和	虚词	21.820	21.980	0.160
59	他	代词	21.980	22.070	0.090
60	商议	体词	22.070	22.420	0.350
61	大事	体词	22.420	22.840	0.420
62	孙	谓词	23.470	23.730	0.260
63	弘一	体词	23.730	24.030	0.300
64	到	谓词	24.030	24.280	0.250
65	就	饰词	24.340	24.470	0.130
