index	word	part_of_speech	onset	offset	duration
1	刘备	体词	1.280	1.650	0.370
2	只好	饰词	1.650	1.960	0.310
3	嘱咐	谓词	1.960	2.300	0.340
4	小孩儿	体词	2.300	2.770	0.470
5	说	谓词	2.770	3.000	0.230
6	请	谓词	4.310	4.480	0.170
7	告诉	谓词	4.480	4.800	0.320
8	诸葛	体词	4.800	5.060	0.260
9	先生	体词	5.060	5.530	0.470
10	刘备	体词	6.050	6.340	0.290
11	特	饰词	6.340	6.520	0.180
12	来	谓词	6.520	6.650	0.130
13	拜访	谓词	6.650	7.220	0.570
14	过	虚词	8.420	8.550	0.130
15	了	虚词	8.550	8.670	0.120
16	几天	饰词	8.670	9.160	0.490
17	他	代词	9.400	9.570	0.170
18	和	虚词	9.570	9.720	0.150
19	关羽	体词	9.720	10.240	0.520
20	张飞	体词	10.320	10.730	0.410
21	又	饰词	10.730	10.810	0.080
22	来到	谓词	10.810	11.090	0.280
23	隆中	体词	11.090	11.560	0.470
24	一	饰词	12.480	12.580	0.100
25	打听	谓词	12.580	13.040	0.460
26	诸葛亮	体词	13.470	13.890	0.420
27	回来	谓词	13.890	14.160	0.270
28	没有	谓词	14.160	14.380	0.220
29	几天	饰词	14.380	14.930	0.550
30	又	饰词	15.030	15.170	0.140
31	出门	谓词	15.170	15.570	0.400
32	去	谓词	15.570	15.730	0.160
33	了	虚词	15.730	15.950	0.220
34	刘备	体词	17.070	17.360	0.290
35	拍	谓词	17.360	17.560	0.200
36	着	虚词	17.560	17.650	0.090
37	脑门子	体词	17.650	18.180	0.530
38	直	饰词	18.510	18.690	0.180
39	埋怨	谓词	18.690	19.040	0.350
40	自己	代词	19.040	19.280	0.240
41	的	虚词	19.280	19.380	0.100
42	运气	体词	19.380	19.660	0.280
43	不好	饰词	19.660	20.160	0.500
44	他	代词	20.880	20.980	0.100
45	给	虚词	20.980	21.100	0.120
46	诸葛亮	体词	21.100	21.530	0.430
47	家里	体词	21.530	21.820	0.290
48	留	谓词	21.820	21.970	0.150
49	了	虚词	21.970	22.060	0.090
50	个	体词	22.060	22.160	0.100
51	话	体词	22.160	22.330	0.170
52	说	谓词	23.050	23.200	0.150
53	等	虚词	23.200	23.370	0.170
54	过些日子	体词	23.370	23.930	0.560
55	他	代词	23.930	24.060	0.130
56	还要	虚词	24.060	24.370	0.310
57	来	谓词	24.370	24.670	0.300
58	刘备	体词	25.810	26.140	0.330
59	第三次	饰词	26.140	26.660	0.520
60	到	谓词	26.660	26.810	0.150
61	隆中	体词	26.810	27.160	0.350
62	的	虚词	27.160	27.250	0.090
63	时候	体词	27.250	27.580	0.330
64	诸葛亮	体词	28.010	28.520	0.510
65	正在	体词	28.520	28.770	0.250
66	家里	体词	28.770	29.330	0.560
67	他	代词	29.910	30.010	0.100
68	听说	谓词	30.010	30.310	0.300
69	刘备	体词	30.310	30.640	0.330
70	来	谓词	30.640	30.890	0.250
71	了	虚词	30.890	31.060	0.170
72	就	饰词	31.280	31.440	0.160
73	赶紧	饰词	31.440	31.780	0.340
74	从	虚词	31.780	31.960	0.180
75	屋里	体词	31.960	32.170	0.210
76	迎	谓词	32.170	32.390	0.220
77	出来	谓词	32.390	32.770	0.380
78	笑	谓词	32.950	33.200	0.250
79	着	虚词	33.200	33.330	0.130
80	说	谓词	33.330	33.570	0.240
81	将军	体词	34.840	35.200	0.360
82	三次	饰词	35.200	35.540	0.340
83	到	谓词	35.540	35.720	0.180
84	我	代词	35.720	35.770	0.050
85	这	代词	35.770	35.890	0.120
86	茅庐	体词	35.890	36.240	0.350
87	里	体词	36.240	36.400	0.160
88	来	谓词	36.400	36.700	0.300
89	真	饰词	37.000	37.190	0.190
90	让	谓词	37.190	37.340	0.150
91	我	代词	37.340	37.400	0.060
92	过意不去	其他	37.400	38.080	0.680
93	我	代词	39.020	39.060	0.040
94	年纪	体词	39.060	39.400	0.340
95	轻	谓词	39.400	39.710	0.310
96	才学	体词	39.870	40.290	0.420
97	浅	谓词	40.290	40.670	0.380
98	实在	谓词	40.810	41.180	0.370
99	惭愧	谓词	41.180	41.640	0.460
100	说	谓词	42.980	43.240	0.260
101	着	虚词	43.240	43.360	0.120
102	就	饰词	43.710	43.860	0.150
103	把	虚词	43.860	44.000	0.140
104	刘备	体词	44.000	44.360	0.360
105	让	谓词	44.360	44.500	0.140
106	到	谓词	44.500	44.600	0.100
107	屋里	体词	44.600	44.880	0.280
108	去	谓词	44.880	45.030	0.150
109	坐	谓词	45.030	45.200	0.170
110	刘备	体词	46.470	46.780	0.310
111	见	谓词	46.780	46.980	0.200
112	诸葛亮	体词	46.980	47.450	0.470
113	中等	饰词	47.450	47.800	0.350
114	身量	体词	47.800	48.340	0.540
115	眼睛	体词	48.680	49.070	0.390
116	一闪一闪	其他	49.070	49.730	0.660
117	的	虚词	49.730	49.800	0.070
118	挺	饰词	50.040	50.270	0.230
119	有神	体词	50.270	50.830	0.560
120	看样子	其他	51.320	51.680	0.360
121	还	饰词	51.680	51.850	0.170
122	很	饰词	51.850	51.990	0.140
123	年轻	谓词	51.990	52.470	0.480
124	细	谓词	53.330	53.570	0.240
125	一	饰词	53.570	53.660	0.090
126	问	体词	53.660	53.870	0.210
127	知道	谓词	53.870	54.140	0.270
128	他	代词	54.140	54.290	0.150
129	才	饰词	54.290	54.400	0.110
130	二十七岁	饰词	54.400	55.080	0.680
131	刘备	体词	55.080	56.540	1.460
132	想起	谓词	56.540	56.880	0.340
133	司马徽	体词	56.880	57.620	0.740
134	徐	体词	57.660	57.920	0.260
135	庶对	体词	57.920	58.240	0.320
136	诸葛亮	体词	58.240	58.680	0.440
137	的	虚词	58.680	58.760	0.080
138	称赞	谓词	58.760	59.260	0.500
139	就	饰词	59.500	59.660	0.160
140	直截了当	其他	59.660	60.360	0.700
141	地	虚词	60.360	60.440	0.080
142	说	谓词	60.440	60.660	0.220
143	现在	体词	61.940	62.270	0.330
144	汉室	体词	62.270	62.670	0.400
145	这么	代词	62.670	62.900	0.230
146	软弱	谓词	62.900	63.300	0.400
147	天下	体词	63.740	64.060	0.320
148	又	饰词	64.060	64.130	0.070
149	这么	代词	64.130	64.360	0.230
150	乱	饰词	64.360	64.730	0.370
151	我	代词	65.360	65.430	0.070
152	自己	代词	65.430	65.730	0.300
153	的	虚词	65.730	65.830	0.100
154	能力	体词	65.830	66.090	0.260
155	太小	体词	66.090	66.480	0.390
156	这些	代词	67.180	67.420	0.240
157	年	饰词	67.420	67.580	0.160
158	一直	饰词	67.580	67.850	0.270
159	东奔西跑	体词	67.850	68.700	0.850
160	毫无	谓词	68.770	69.160	0.390
161	成就	体词	69.160	69.560	0.400
162	可是	虚词	70.450	70.650	0.200
163	我	代词	70.650	70.750	0.100
164	心里	体词	70.750	71.070	0.320
165	头	体词	71.070	71.190	0.120
166	还是	虚词	71.190	71.480	0.290
167	想	谓词	71.480	71.660	0.180
168	干点	体词	71.660	71.970	0.310
169	事业	体词	71.970	72.380	0.410
170	让	谓词	72.650	72.800	0.150
171	汉朝	体词	72.800	73.170	0.370
172	振兴	谓词	73.170	73.680	0.510
173	今天	体词	74.610	74.890	0.280
174	到	谓词	74.890	75.020	0.130
175	这儿	代词	75.020	75.240	0.220
176	来	谓词	75.240	75.510	0.270
177	想请	谓词	75.810	76.140	0.330
178	先生	体词	76.140	76.440	0.300
179	您	谓词	76.440	76.600	0.160
180	指教	体词	76.600	76.930	0.330
181	指教	体词	76.930	77.250	0.320
182	诸葛亮	体词	78.670	79.110	0.440
183	听	谓词	79.110	79.270	0.160
184	刘备	体词	79.270	79.580	0.310
185	说	谓词	79.580	79.750	0.170
186	得	虚词	79.750	79.840	0.090
187	这么	代词	79.840	80.050	0.210
188	诚恳	谓词	80.050	80.530	0.480
189	想	谓词	80.940	81.180	0.240
190	了	虚词	81.180	81.270	0.090
191	想	谓词	81.270	81.580	0.310
192	就	饰词	81.820	81.970	0.150
193	不紧不慢	其他	81.970	82.680	0.710
194	地	虚词	82.680	82.750	0.070
195	说	谓词	82.750	83.000	0.250
196	自从	虚词	84.300	84.640	0.340
197	董卓	体词	84.640	84.980	0.340
198	作乱	谓词	84.980	85.360	0.380
199	以来	体词	85.360	85.830	0.470
200	各	代词	86.230	86.420	0.190
