index	word	part_of_speech	onset	offset	duration
1	刘备	体词	1.290	1.630	0.340
2	投奔	谓词	1.630	1.980	0.350
3	刘表	体词	1.980	2.340	0.360
4	以后	体词	2.340	2.690	0.350
5	刘表	体词	3.250	3.540	0.290
6	拨给	谓词	3.540	3.840	0.300
7	他	代词	3.840	3.950	0.110
8	一千	饰词	3.950	4.310	0.360
9	人马	体词	4.310	4.590	0.280
10	让	谓词	5.120	5.220	0.100
11	他	代词	5.220	5.330	0.110
12	驻扎	谓词	5.330	5.680	0.350
13	在	虚词	5.680	5.800	0.120
14	新野	体词	5.800	6.230	0.430
15	有	谓词	7.130	7.230	0.100
16	一天	饰词	7.230	7.640	0.410
17	刘表	体词	7.960	8.270	0.310
18	把	虚词	8.270	8.400	0.130
19	刘备	体词	8.400	8.760	0.360
20	请	谓词	8.760	8.950	0.190
21	到	谓词	8.950	9.050	0.100
22	襄阳	体词	9.050	9.440	0.390
23	来	谓词	9.440	9.570	0.130
24	一块儿	饰词	9.570	9.850	0.280
25	喝酒	谓词	9.850	10.220	0.370
26	喝	谓词	11.460	11.670	0.210
27	了	虚词	11.670	11.760	0.090
28	一会儿	饰词	11.760	12.130	0.370
29	刘备起	体词	12.730	13.250	0.520
30	身上	体词	13.250	13.610	0.360
31	厕所	体词	13.610	13.950	0.340
32	去	谓词	13.950	14.200	0.250
33	回来	谓词	15.120	15.390	0.270
34	的	虚词	15.390	15.490	0.100
35	时候	体词	15.490	15.830	0.340
36	他	代词	16.050	16.220	0.170
37	眼睛	体词	16.220	16.530	0.310
38	发红	谓词	16.530	17.090	0.560
39	脸上	体词	17.430	17.730	0.300
40	还	饰词	17.730	17.860	0.130
41	挂	谓词	17.860	18.040	0.180
42	着	虚词	18.040	18.170	0.130
43	泪珠	体词	18.170	18.630	0.460
44	刘表	体词	19.490	19.790	0.300
45	很	谓词	19.790	20.010	0.220
46	奇怪	谓词	20.010	20.430	0.420
47	问	谓词	21.000	21.130	0.130
48	他	代词	21.130	21.410	0.280
49	您	代词	22.600	22.730	0.130
50	不	饰词	22.730	22.860	0.130
51	舒服	谓词	22.860	23.290	0.430
52	吗	虚词	23.290	23.620	0.330
53	要	谓词	23.620	23.650	0.030
54	不	饰词	24.630	24.780	0.150
55	有	谓词	25.250	25.340	0.090
56	什么	代词	25.340	25.570	0.230
57	心事	体词	25.570	26.100	0.530
58	刘备	体词	27.460	27.760	0.300
59	红着脸	其他	27.760	28.300	0.540
60	说	谓词	28.300	28.550	0.250
61	也	饰词	29.830	29.930	0.100
62	没什么	其他	29.930	30.420	0.490
63	刚才	体词	30.980	31.330	0.350
64	我	代词	31.330	31.440	0.110
65	去	谓词	31.440	31.580	0.140
66	解手	谓词	31.580	31.970	0.390
67	看见	谓词	32.580	32.830	0.250
68	大腿	体词	32.830	33.130	0.300
69	上	体词	33.130	33.290	0.160
70	的	虚词	33.290	33.370	0.080
71	肉	体词	33.370	33.550	0.180
72	又	饰词	33.550	33.710	0.160
73	软	谓词	33.710	33.900	0.190
74	又	饰词	33.900	34.010	0.110
75	松	谓词	34.010	34.330	0.320
76	想起	谓词	35.070	35.410	0.340
77	以前	体词	35.410	35.730	0.320
78	身不离	其他	35.730	36.150	0.420
79	马鞍	体词	36.150	36.610	0.460
80	腿	体词	36.940	37.060	0.120
81	上	体词	37.060	37.220	0.160
82	的	虚词	37.220	37.280	0.060
83	肉	体词	37.280	37.410	0.130
84	挺	饰词	37.410	37.620	0.210
85	硬	谓词	37.620	37.870	0.250
86	邦	体词	37.870	38.160	0.290
87	这	代词	38.860	38.980	0.120
88	几年	饰词	38.980	39.280	0.300
89	在	虚词	39.280	39.380	0.100
90	您	代词	39.380	39.580	0.200
91	这儿	代词	39.580	39.740	0.160
92	净	谓词	39.740	39.930	0.190
93	享清福	其他	39.930	40.670	0.740
94	才	饰词	40.940	41.080	0.140
95	成	谓词	41.080	41.250	0.170
96	了	虚词	41.250	41.360	0.110
97	这么	代词	41.360	41.580	0.220
98	个	体词	41.580	41.690	0.110
99	样儿	体词	41.690	42.000	0.310
100	唉	谓词	42.780	43.110	0.330
101	人	体词	43.430	43.560	0.130
102	都	饰词	43.560	43.720	0.160
103	老	谓词	43.720	43.940	0.220
104	了	虚词	43.940	44.150	0.210
105	什么	代词	44.420	44.670	0.250
106	功业	体词	44.670	45.000	0.330
107	也	饰词	45.000	45.060	0.060
108	没	谓词	45.060	45.210	0.150
109	建成	谓词	45.210	45.590	0.380
110	心里	体词	46.040	46.340	0.300
111	真	饰词	46.340	46.570	0.230
112	不好受	谓词	46.570	47.070	0.500
113	刘表	体词	48.410	48.730	0.320
114	连忙	饰词	48.730	49.060	0.330
115	安慰	谓词	49.060	49.350	0.290
116	他	代词	49.350	49.490	0.140
117	说	谓词	49.490	49.740	0.250
118	您	谓词	51.060	51.210	0.150
119	这么	代词	51.210	51.420	0.210
120	个	饰词	51.420	51.550	0.130
121	有	谓词	51.550	51.640	0.090
122	才能	谓词	51.640	52.050	0.410
123	的	虚词	52.050	52.130	0.080
124	人	体词	52.130	52.290	0.160
125	不怕	虚词	52.610	53.000	0.390
126	建立	谓词	53.000	53.270	0.270
127	不了	谓词	53.270	53.510	0.240
128	功业	体词	53.510	53.920	0.410
129	别着急	其他	54.250	54.900	0.650
130	话	体词	56.150	56.290	0.140
131	是	谓词	56.290	56.530	0.240
132	这么	代词	56.530	56.740	0.210
133	说	谓词	56.740	56.960	0.220
134	他	代词	57.320	57.500	0.180
135	心里	体词	57.500	57.810	0.310
136	对	虚词	57.810	57.940	0.130
137	刘备	体词	57.940	58.250	0.310
138	也	饰词	58.250	58.340	0.090
139	不怎么	其他	58.340	58.730	0.390
140	放心	谓词	58.730	59.370	0.640
141	近来	体词	60.260	60.670	0.410
142	他	代词	60.940	61.120	0.180
143	听	谓词	61.120	61.290	0.170
144	手下人	体词	61.290	61.790	0.500
145	报告	体词	61.790	62.310	0.520
146	荆州	体词	62.870	63.200	0.330
147	好些	饰词	63.200	63.530	0.330
148	有	谓词	63.530	63.620	0.090
149	名望	谓词	63.620	64.010	0.390
150	的	虚词	64.010	64.080	0.070
151	人	体词	64.080	64.270	0.190
152	都	饰词	64.270	64.380	0.110
153	跟	虚词	64.380	64.540	0.160
154	刘备	体词	64.540	64.860	0.320
155	来来往往	其他	64.860	65.640	0.780
156	亲密	谓词	65.880	66.270	0.390
