index	word	part_of_speech	onset	offset	duration
1	司马昭	体词	1.000	1.600	0.600
2	做	谓词	1.600	1.760	0.160
3	了	虚词	1.760	1.860	0.100
4	晋王	体词	1.860	2.360	0.500
5	相国	体词	2.510	3.110	0.600
6	就	饰词	3.340	3.470	0.130
7	有	谓词	3.470	3.600	0.130
8	一些	饰词	3.600	3.820	0.220
9	大臣	体词	3.820	4.220	0.400
10	劝	谓词	4.220	4.400	0.180
11	他	代词	4.400	4.480	0.080
12	当	虚词	4.480	4.650	0.170
13	皇帝	体词	4.650	5.110	0.460
14	司马昭	体词	5.640	6.090	0.450
15	没	谓词	6.090	6.280	0.190
16	答应	谓词	6.280	6.650	0.370
17	可	谓词	7.300	7.400	0.100
18	他	代词	7.400	7.510	0.110
19	让	谓词	7.510	7.690	0.180
20	自己	代词	7.690	7.980	0.290
21	的	虚词	7.980	8.070	0.090
22	儿子	体词	8.070	8.380	0.310
23	司马炎	体词	8.380	8.990	0.610
24	做	谓词	8.990	9.140	0.150
25	了	虚词	9.140	9.230	0.090
26	副	饰词	9.230	9.410	0.180
27	相国	体词	9.410	9.890	0.480
28	这	代词	10.440	10.580	0.140
29	里面	体词	10.580	10.860	0.280
30	的	虚词	10.860	10.950	0.090
31	意思	体词	10.950	11.220	0.270
32	难道	饰词	11.220	11.490	0.270
33	还	饰词	11.490	11.640	0.150
34	不	饰词	11.640	11.770	0.130
35	明白	体词	11.770	12.070	0.300
36	吗	虚词	12.070	12.240	0.170
37	转过	谓词	13.220	13.650	0.430
38	了	虚词	13.650	13.740	0.090
39	年	饰词	13.740	14.000	0.260
40	司马昭	体词	14.080	14.670	0.590
41	害病	谓词	14.670	15.090	0.420
42	死	谓词	15.090	15.280	0.190
43	了	虚词	15.310	15.450	0.140
44	当然	饰词	15.830	16.140	0.310
45	是	谓词	16.140	16.240	0.100
46	司马炎	体词	16.240	16.840	0.600
47	接着	虚词	16.840	17.150	0.310
48	做	谓词	17.150	17.280	0.130
49	晋王	体词	17.280	17.760	0.480
50	相国	体词	17.920	18.440	0.520
51	司马炎	体词	19.540	20.170	0.630
52	可不	虚词	20.170	20.420	0.250
53	像	谓词	20.420	20.580	0.160
54	他	代词	20.580	20.670	0.090
55	爸爸	体词	20.670	21.010	0.340
56	那样	代词	21.010	21.300	0.290
57	能	谓词	21.300	21.440	0.140
58	沉得住气	体词	21.440	22.140	0.700
59	不到	谓词	22.600	22.850	0.250
60	年底	体词	22.850	23.310	0.460
61	他	代词	23.450	23.610	0.160
62	就	饰词	23.610	23.720	0.110
63	不	饰词	23.720	23.920	0.200
64	客气	体词	23.920	24.340	0.420
65	地	虚词	24.340	24.440	0.100
66	叫	谓词	24.440	24.600	0.160
67	魏元帝	体词	24.600	25.140	0.540
68	曹奂	体词	25.140	25.720	0.580
69	让	谓词	25.720	25.890	0.170
70	了	虚词	25.890	25.980	0.090
71	位	体词	25.980	26.140	0.160
72	曹奂	体词	26.920	27.440	0.520
73	本来	体词	27.440	27.750	0.310
74	就是	饰词	27.750	27.980	0.230
75	个	体词	27.980	28.060	0.080
76	摆设	谓词	28.060	28.420	0.360
77	儿	体词	28.420	28.520	0.100
78	这个	代词	28.970	29.240	0.270
79	摆设	谓词	29.240	29.550	0.310
80	儿	体词	29.550	29.620	0.070
81	现在	体词	29.620	29.910	0.290
82	再	饰词	29.910	30.130	0.220
83	用不着	其他	30.130	30.580	0.450
84	了	虚词	30.580	30.720	0.140
85	自打	虚词	31.810	32.140	0.330
86	汉献帝	体词	32.140	32.690	0.550
87	让位	谓词	32.690	33.060	0.370
88	给	虚词	33.060	33.180	0.120
89	曹家	体词	33.180	33.660	0.480
90	以来	体词	33.660	34.020	0.360
91	魏国	体词	34.400	34.770	0.370
92	经过	虚词	34.770	35.100	0.330
93	五个	饰词	35.100	35.410	0.310
94	皇帝	体词	35.410	35.840	0.430
95	四十五年	饰词	36.210	37.000	0.790
