index	word	part_of_speech	onset	offset	duration
1	诸葛亮	体词	1.020	1.480	0.460
2	回到	谓词	1.480	1.740	0.260
3	成都	体词	1.740	2.190	0.450
4	让	谓词	2.270	2.500	0.230
5	将士	体词	2.500	2.840	0.340
6	们	其他	2.840	2.950	0.110
7	好好	饰词	2.950	3.250	0.300
8	休整	谓词	3.250	3.690	0.440
9	一下	饰词	3.690	3.960	0.270
10	准备	谓词	4.060	4.340	0.280
11	征讨	谓词	4.340	4.720	0.380
12	魏国	体词	4.720	5.150	0.430
13	转过	谓词	5.920	6.290	0.370
14	了	虚词	6.290	6.370	0.080
15	年	饰词	6.370	6.640	0.270
16	魏文帝	体词	6.770	7.310	0.540
17	曹丕	体词	7.310	7.760	0.450
18	病死	谓词	7.760	8.170	0.410
19	了	虚词	8.170	8.310	0.140
20	他	代词	8.470	8.580	0.110
21	的	虚词	8.580	8.670	0.090
22	儿子	体词	8.670	8.980	0.310
23	曹	体词	8.980	9.240	0.260
24	叡	谓词	9.240	9.430	0.190
25	即位	谓词	9.430	9.810	0.380
26	就是	饰词	9.940	10.280	0.340
27	魏明帝	体词	10.280	10.850	0.570
28	诸葛亮	体词	11.970	12.480	0.510
29	听说	谓词	12.480	12.810	0.330
30	了	虚词	12.810	12.920	0.110
31	这件	饰词	12.920	13.230	0.310
32	事	体词	13.230	13.490	0.260
33	觉着	谓词	13.620	13.940	0.320
34	北伐	其他	13.940	14.340	0.400
35	的	虚词	14.340	14.430	0.090
36	时机	体词	14.430	14.750	0.320
37	到	谓词	14.750	14.990	0.240
38	了	虚词	14.990	15.080	0.090
39	公元	体词	15.600	16.010	0.410
40	年	饰词	16.540	16.780	0.240
41	他	代词	17.060	17.140	0.080
42	给	虚词	17.140	17.230	0.090
43	后主	体词	17.230	17.620	0.390
44	刘禅	体词	17.620	18.110	0.490
45	上	体词	18.110	18.320	0.210
46	了	虚词	18.320	18.390	0.070
47	一个	饰词	18.390	18.530	0.140
48	奏章	体词	18.530	18.980	0.450
49	大意	饰词	19.280	19.590	0.310
50	是	谓词	19.590	19.710	0.120
51	说	谓词	19.710	19.970	0.260
52	先帝	体词	21.090	21.530	0.440
53	创立	谓词	21.530	21.900	0.370
54	基业	体词	21.900	22.370	0.470
55	半道儿	体词	22.640	22.990	0.350
56	上	体词	22.990	23.180	0.190
57	晏驾	体词	23.180	23.550	0.370
58	了	虚词	23.550	23.720	0.170
59	现在	体词	24.160	24.460	0.300
60	天下	体词	24.460	24.800	0.340
61	三分	饰词	24.800	25.300	0.500
62	咱们	代词	25.610	25.830	0.220
63	蜀国	体词	25.830	26.200	0.370
64	最	饰词	26.200	26.380	0.180
65	弱	谓词	26.380	26.620	0.240
66	真是	饰词	26.960	27.240	0.280
67	到	谓词	27.240	27.370	0.130
68	了	虚词	27.370	27.460	0.090
69	生死存亡	其他	27.460	28.310	0.850
70	的	虚词	28.310	28.380	0.070
71	关头	体词	28.380	28.790	0.410
72	希望	谓词	29.810	30.180	0.370
73	您	代词	30.180	30.330	0.150
74	能	谓词	30.330	30.480	0.150
75	光大	其他	30.480	30.850	0.370
76	先帝	体词	30.850	31.240	0.390
77	的	虚词	31.240	31.330	0.090
78	美德	体词	31.330	31.840	0.510
79	发扬	谓词	32.070	32.530	0.460
80	志士	体词	32.530	32.890	0.360
81	的	虚词	32.890	32.980	0.090
82	正气	体词	32.980	33.480	0.500
83	要	谓词	34.050	34.150	0.100
84	亲近	饰词	34.150	34.610	0.460
85	忠臣	体词	34.610	35.080	0.470
86	信任	体词	35.150	35.580	0.430
87	他们	代词	35.580	35.880	0.300
88	这样	代词	36.510	36.930	0.420
89	汉室	体词	37.140	37.560	0.420
90	复兴	谓词	37.560	37.980	0.420
91	的	虚词	37.980	38.060	0.080
92	日子	体词	38.060	38.310	0.250
93	一定	饰词	38.310	38.620	0.310
94	会	谓词	38.620	38.750	0.130
95	到来	饰词	38.750	39.070	0.320
96	的	虚词	39.070	39.220	0.150
97	又	饰词	40.340	40.520	0.180
98	说	谓词	40.520	40.850	0.330
99	我	代词	41.970	42.090	0.120
100	本来	体词	42.090	42.400	0.310
101	是	谓词	42.400	42.550	0.150
102	一个	饰词	42.550	42.690	0.140
103	平民	体词	42.690	43.240	0.550
104	并	虚词	43.480	43.660	0.180
105	不想	谓词	43.660	43.910	0.250
106	显露	谓词	43.910	44.260	0.350
107	自己	代词	44.260	44.640	0.380
108	先帝	体词	45.300	45.670	0.370
109	不	饰词	45.670	45.830	0.160
110	嫌	谓词	45.830	46.080	0.250
111	我	代词	46.080	46.140	0.060
112	地位	体词	46.140	46.470	0.330
113	卑下	体词	46.470	46.930	0.460
114	三次	饰词	47.290	47.690	0.400
115	到	谓词	47.690	47.790	0.100
116	茅庐	体词	47.790	48.110	0.320
117	看	谓词	48.110	48.390	0.280
118	我	代词	48.390	48.590	0.200
119	又	饰词	49.140	49.210	0.070
120	把	虚词	49.210	49.330	0.120
121	国家	体词	49.330	49.710	0.380
122	大事	体词	49.710	50.040	0.330
123	托付给	谓词	50.040	50.540	0.500
124	我	代词	50.540	50.740	0.200
125	我	代词	51.480	51.590	0.110
126	要	谓词	51.590	51.700	0.110
127	尽	谓词	51.700	51.920	0.220
128	一切	代词	51.920	52.230	0.310
129	力量	体词	52.230	52.640	0.410
130	平定	谓词	52.710	53.230	0.520
131	中原	体词	53.230	53.700	0.470
132	完成	谓词	54.060	54.400	0.340
133	先帝	体词	54.400	54.830	0.430
134	的	虚词	54.830	54.940	0.110
135	遗愿	体词	54.940	55.350	0.410
136	诸葛亮	体词	56.580	57.060	0.480
137	先	饰词	57.060	57.280	0.220
138	放出	谓词	57.280	57.570	0.290
139	风声	体词	57.570	58.010	0.440
140	说	谓词	58.240	58.400	0.160
141	要	谓词	58.400	58.530	0.130
142	从	虚词	58.530	58.720	0.190
143	斜谷	体词	58.720	59.160	0.440
144	出山	谓词	59.160	59.580	0.420
145	向	虚词	59.700	60.040	0.340
146	北	体词	60.040	60.190	0.150
147	攻打	谓词	60.190	60.520	0.330
148	郿	其他	60.520	60.710	0.190
149	城	体词	60.710	60.940	0.230
150	他	代词	61.520	61.680	0.160
