index	word	part_of_speech	onset	offset	duration
1	公元	体词	1.330	1.590	0.260
2	年	饰词	2.130	2.430	0.300
3	曹操	体词	2.950	3.310	0.360
4	废除	谓词	3.310	3.640	0.330
5	了	虚词	3.640	3.740	0.100
6	三公	其他	3.740	4.210	0.470
7	把	虚词	4.210	4.330	0.120
8	汉朝	体词	4.330	4.750	0.420
9	初期	体词	4.750	5.130	0.380
10	丞相	体词	5.130	5.510	0.380
11	的	虚词	5.510	5.590	0.080
12	职位	体词	5.590	5.920	0.330
13	又	饰词	5.920	6.030	0.110
14	恢复	谓词	6.030	6.410	0.380
15	起来	谓词	6.410	6.730	0.320
16	自然	饰词	7.650	7.930	0.280
17	是	谓词	7.930	8.050	0.120
18	曹操	体词	8.050	8.410	0.360
19	自己	代词	8.410	8.730	0.320
20	当	体词	8.730	8.890	0.160
21	了	虚词	8.890	8.970	0.080
22	丞相	体词	8.970	9.560	0.590
23	把	虚词	9.870	10.000	0.130
24	大权	体词	10.000	10.420	0.420
25	都	饰词	10.420	10.530	0.110
26	掌握	谓词	10.530	10.800	0.270
27	在	虚词	10.800	10.930	0.130
28	手里	体词	10.930	11.470	0.540
29	到	谓词	12.110	12.260	0.150
30	了	虚词	12.260	12.380	0.120
31	七月	体词	12.380	12.790	0.410
32	他	代词	13.290	13.440	0.150
33	就	饰词	13.440	13.550	0.110
34	亲自	饰词	13.550	13.950	0.400
35	率领	谓词	13.950	14.310	0.360
36	大军	体词	14.310	14.690	0.380
37	去	谓词	14.690	14.820	0.130
38	征讨	谓词	14.820	15.170	0.350
39	荆州	体词	15.170	15.570	0.400
40	刘备	体词	16.860	17.190	0.330
41	在	虚词	17.190	17.350	0.160
42	樊城	体词	17.350	17.780	0.430
43	听说	谓词	17.780	18.090	0.310
44	曹操	体词	18.090	18.460	0.370
45	带兵	谓词	18.460	18.800	0.340
46	南下	体词	18.800	19.280	0.480
47	刚要	饰词	19.480	19.810	0.330
48	去	谓词	19.810	19.970	0.160
49	迎战	谓词	19.970	20.460	0.490
50	没	谓词	21.000	21.060	0.060
51	料到	谓词	21.060	21.380	0.320
52	有人	代词	21.380	21.650	0.270
53	从	虚词	21.650	21.800	0.150
54	襄阳	体词	21.800	22.180	0.380
55	偷偷	饰词	22.180	22.450	0.270
56	跑	谓词	22.450	22.640	0.190
57	来	谓词	22.640	22.770	0.130
58	告诉	谓词	22.770	23.090	0.320
59	他	代词	23.090	23.220	0.130
60	说	谓词	23.220	23.450	0.230
61	刘表	体词	24.720	25.090	0.370
62	已经	饰词	25.090	25.370	0.280
63	死	谓词	25.370	25.650	0.280
64	了	虚词	25.650	25.940	0.290
65	他	代词	26.540	26.640	0.100
66	的	虚词	26.640	26.750	0.110
67	小儿	体词	26.750	27.110	0.360
68	子刘琮	体词	27.110	27.630	0.520
69	瞒	谓词	27.630	27.820	0.190
70	着	虚词	27.820	27.920	0.100
71	您	代词	27.920	28.210	0.290
72	打算	谓词	28.370	28.720	0.350
73	投降	谓词	28.720	29.060	0.340
74	曹操	体词	29.060	29.510	0.450
75	连降	谓词	30.020	30.480	0.460
76	表	体词	30.480	30.630	0.150
77	都	饰词	30.630	30.730	0.100
78	送	谓词	30.730	30.950	0.220
79	过去	体词	30.950	31.190	0.240
80	了	虚词	31.190	31.370	0.180
81	您	代词	31.610	31.770	0.160
82	还	饰词	31.770	31.890	0.120
83	蒙在鼓里	其他	31.890	32.560	0.670
84	呐	虚词	32.560	32.820	0.260
85	刘备	体词	34.030	34.340	0.310
86	听	谓词	34.340	34.530	0.190
87	完	谓词	34.530	34.690	0.160
88	这话	代词	34.690	35.050	0.360
89	气	体词	35.300	35.520	0.220
90	得	虚词	35.520	35.620	0.100
91	直	饰词	35.620	35.780	0.160
92	打哆嗦	谓词	35.780	36.350	0.570
93	骂	谓词	36.860	36.990	0.130
94	刘琮	体词	36.990	37.340	0.350
95	没出息	其他	37.340	37.910	0.570
96	诸葛亮	体词	38.930	39.340	0.410
97	趁机	饰词	39.340	39.740	0.400
98	说	谓词	39.740	39.990	0.250
99	刘琮	体词	41.260	41.670	0.410
100	既然	虚词	41.670	41.910	0.240
101	投降	谓词	41.910	42.260	0.350
102	了	虚词	42.260	42.330	0.070
103	曹操	体词	42.330	42.790	0.460
104	咱们	代词	43.110	43.360	0.250
105	就别	饰词	43.360	43.640	0.280
106	客气	体词	43.640	44.040	0.400
107	了	虚词	44.040	44.210	0.170
108	先	饰词	44.500	44.740	0.240
109	去	谓词	44.740	44.860	0.120
110	袭击	谓词	44.860	45.200	0.340
111	襄阳	体词	45.200	45.790	0.590
112	整个	饰词	46.130	46.450	0.320
113	荆州	体词	46.450	46.770	0.320
114	就	饰词	46.770	46.870	0.100
115	到手	饰词	46.870	47.300	0.430
116	了	虚词	47.300	47.520	0.220
117	刘备	体词	48.720	49.140	0.420
118	摇着头	其他	49.140	49.580	0.440
119	说	谓词	49.580	49.780	0.200
120	那	代词	49.780	50.000	0.220
121	可	谓词	51.330	51.440	0.110
122	不行	谓词	51.440	51.820	0.380
123	刘	谓词	52.690	52.830	0.140
124	荆州	体词	52.830	53.170	0.340
125	把	虚词	53.170	53.370	0.200
126	儿子	体词	53.370	53.580	0.210
127	托付给	谓词	53.580	54.050	0.470
128	了	虚词	54.050	54.170	0.120
129	我	代词	54.170	54.330	0.160
130	我	代词	54.860	54.900	0.040
131	不能	谓词	54.900	55.170	0.270
132	背信弃义	体词	55.170	56.000	0.830
133	日后	体词	56.420	56.690	0.270
134	我	代词	56.690	56.730	0.040
135	还	饰词	56.730	56.890	0.160
136	得	虚词	56.890	56.990	0.100
137	见	谓词	56.990	57.210	0.220
138	人	体词	57.210	57.390	0.180
139	呐	虚词	57.390	57.630	0.240
140	事情	体词	58.320	58.620	0.300
141	已经	饰词	58.620	58.850	0.230
142	到	谓词	58.850	58.980	0.130
143	了	虚词	58.980	59.090	0.110
144	这个	代词	59.090	59.320	0.230
145	地步	体词	59.320	59.610	0.290
146	咱们	代词	60.050	60.340	0.290
147	只有	虚词	60.340	60.550	0.210
148	离开	谓词	60.550	60.850	0.300
149	樊城	体词	60.850	61.380	0.530
150	退	谓词	61.520	61.730	0.210
151	到	谓词	61.730	61.840	0.110
152	江陵	体词	61.840	62.290	0.450
153	去	谓词	62.290	62.500	0.210
154	刘备	体词	63.800	64.160	0.360
155	带	谓词	64.160	64.310	0.150
156	着	虚词	64.310	64.390	0.080
157	人马	体词	64.390	64.780	0.390
158	离开	谓词	64.780	65.100	0.320
159	樊城	体词	65.100	65.640	0.540
160	走	谓词	66.270	66.370	0.100
161	了	虚词	66.370	66.470	0.100
162	没多远	其他	66.470	67.040	0.570
163	曹操	体词	67.540	67.860	0.320
164	的	虚词	67.860	67.970	0.110
165	骑兵	体词	67.970	68.360	0.390
166	已经	饰词	68.360	68.580	0.220
167	追过来	其他	68.580	69.080	0.500
168	了	虚词	69.110	69.280	0.170
169	原来	饰词	70.270	70.490	0.220
170	曹操	体词	70.490	70.880	0.390
171	接受	谓词	70.880	71.190	0.310
172	了	虚词	71.190	71.300	0.110
173	刘琮	体词	71.300	71.650	0.350
174	的	虚词	71.650	71.730	0.080
175	降表	体词	71.730	72.300	0.570
176	没费	谓词	72.650	72.930	0.280
177	什么	代词	72.930	73.170	0.240
178	事儿	体词	73.170	73.410	0.240
179	就	饰词	73.410	73.520	0.110
180	进	谓词	73.520	73.700	0.180
181	了	虚词	73.700	73.780	0.080
182	襄阳	体词	73.780	74.350	0.570
183	他	代词	75.520	75.630	0.110
184	听说	谓词	75.630	75.930	0.300
185	刘备	体词	75.930	76.290	0.360
186	往	虚词	76.290	76.450	0.160
187	南	体词	76.450	76.630	0.180
188	跑	谓词	76.630	76.920	0.290
189	了	虚词	76.920	77.120	0.200
190	就	饰词	77.400	77.520	0.120
191	派	谓词	77.520	77.740	0.220
192	了	虚词	77.740	77.820	0.080
193	五千名	饰词	77.820	78.350	0.530
194	骑兵	体词	78.350	78.840	0.490
195	昼夜	体词	79.090	79.430	0.340
196	不停	饰词	79.430	79.790	0.360
197	地	虚词	79.790	79.890	0.100
198	追	谓词	79.890	80.120	0.230
199	骑兵	体词	81.020	81.430	0.410
200	一天	饰词	81.430	81.640	0.210
201	能	谓词	81.640	81.780	0.140
202	跑	谓词	81.780	81.930	0.150
203	三百多里	饰词	81.930	82.800	0.870
204	在	虚词	83.360	83.480	0.120
205	当阳	体词	83.480	83.840	0.360
206	的	虚词	83.840	83.920	0.080
207	长坂	体词	83.920	84.330	0.410
208	已经	饰词	84.330	84.580	0.250
209	追上	谓词	84.580	84.930	0.350
210	了	虚词	84.930	85.000	0.070
211	刘备	体词	85.000	85.310	0.310
212	刘备	体词	86.540	86.870	0.330
213	没	谓词	86.870	87.010	0.140
214	来得及	谓词	87.010	87.410	0.400
215	应战	谓词	87.410	87.960	0.550
216	曹操	体词	88.550	88.910	0.360
217	的	虚词	88.910	89.020	0.110
218	骑兵	体词	89.020	89.430	0.410
219	一阵风	其他	89.430	89.990	0.560
220	似的	虚词	89.990	90.340	0.350
221	漫天	谓词	90.460	90.930	0.470
222	卷	饰词	90.930	91.170	0.240
223	过来	体词	91.170	91.540	0.370
224	把	虚词	91.930	92.060	0.130
225	刘备	体词	92.060	92.390	0.330
226	的	虚词	92.390	92.480	0.090
227	人马	体词	92.480	92.830	0.350
228	冲	谓词	92.830	93.050	0.220
229	了	虚词	93.050	93.140	0.090
230	个	体词	93.140	93.220	0.080
231	七零八落	其他	93.220	93.960	0.740
232	刘备	体词	95.120	95.430	0.310
233	带	谓词	95.430	95.600	0.170
234	人	体词	95.600	95.750	0.150
235	好不容易	其他	95.750	96.310	0.560
236	杀出	谓词	96.310	96.630	0.320
237	包围圈	体词	96.630	97.310	0.680
238	一口气	其他	97.710	98.160	0.450
239	往	虚词	98.160	98.340	0.180
240	南	体词	98.340	98.500	0.160
241	跑	谓词	98.500	98.660	0.160
242	了	虚词	98.660	98.760	0.100
243	三五十里	饰词	98.760	99.520	0.760
244	地	虚词	99.520	99.820	0.300
245	可是	虚词	100.930	101.180	0.250
246	他	代词	101.180	101.310	0.130
247	的	虚词	101.310	101.420	0.110
248	家眷	体词	101.420	101.840	0.420
249	都	饰词	101.840	101.940	0.100
250	被	虚词	101.940	102.060	0.120
251	冲散	谓词	102.060	102.560	0.500
252	了	虚词	102.560	102.760	0.200
253	还	饰词	103.130	103.310	0.180
254	多亏	饰词	103.310	103.620	0.310
255	了	虚词	103.620	103.740	0.120
256	赵云	体词	103.740	104.080	0.340
257	保护	谓词	104.080	104.510	0.430
258	着	虚词	104.510	104.770	0.260
259	把	虚词	105.110	105.240	0.130
260	他	代词	105.240	105.370	0.130
261	的	虚词	105.370	105.450	0.080
262	儿子	体词	105.450	105.730	0.280
263	阿斗	体词	105.730	106.080	0.350
264	救	谓词	106.080	106.310	0.230
265	了	虚词	106.310	106.420	0.110
266	出来	谓词	106.420	106.820	0.400
267	刘备	体词	107.980	108.290	0.310
268	刚	饰词	108.290	108.470	0.180
269	想	谓词	108.470	108.660	0.190
270	坐下	谓词	108.660	108.920	0.260
271	来	谓词	108.920	109.050	0.130
272	喘	谓词	109.050	109.240	0.190
273	口气	体词	109.240	109.790	0.550
274	徐庶走	体词	110.110	110.660	0.550
275	过来	体词	110.660	111.020	0.360
276	流	谓词	111.340	111.470	0.130
277	着	虚词	111.470	111.610	0.140
278	眼泪	体词	111.610	111.960	0.350
279	对	虚词	111.960	112.080	0.120
280	他	代词	112.080	112.220	0.140
281	说	谓词	112.220	112.460	0.240
282	刚才	体词	113.780	114.080	0.300
283	有人	代词	114.080	114.330	0.250
284	告诉	谓词	114.330	114.740	0.410
285	我	代词	114.740	114.850	0.110
286	我	代词	115.470	115.520	0.050
287	的	虚词	115.520	115.630	0.110
288	母亲	体词	115.630	115.980	0.350
289	让	谓词	115.980	116.110	0.130
290	曹兵	体词	116.110	116.450	0.340
291	逮去	谓词	116.450	116.860	0.410
292	了	虚词	116.860	117.110	0.250
293	要是	虚词	117.920	118.150	0.230
294	她	代词	118.150	118.310	0.160
295	有个	代词	118.310	118.450	0.140
296	好歹	体词	118.450	118.820	0.370
297	我	代词	119.370	119.420	0.050
298	这	代词	119.420	119.540	0.120
299	做	谓词	119.540	119.710	0.170
300	儿子	体词	119.710	119.980	0.270
301	的	虚词	119.980	120.060	0.080
302	可	谓词	120.060	120.190	0.130
303	怎么	代词	120.190	120.410	0.220
304	好	谓词	120.410	120.640	0.230
305	呐	虚词	120.640	120.920	0.280
306	我	代词	121.710	121.770	0.060
307	只有	虚词	121.770	122.020	0.250
308	到	谓词	122.020	122.150	0.130
309	曹操	体词	122.150	122.540	0.390
310	那边	代词	122.540	122.880	0.340
311	去	谓词	122.880	123.120	0.240
312	才能	谓词	123.360	123.650	0.290
313	保全	谓词	123.650	124.010	0.360
314	母亲	体词	124.010	124.310	0.300
315	的	虚词	124.310	124.370	0.060
316	性命	体词	124.370	124.790	0.420
317	我	代词	125.970	126.000	0.030
318	本来	体词	126.000	126.280	0.280
319	想	谓词	126.280	126.470	0.190
320	帮助	谓词	126.470	126.760	0.290
321	您	代词	126.760	126.950	0.190
322	干	谓词	126.950	127.120	0.170
323	一番	饰词	127.120	127.360	0.240
324	事业	体词	127.360	127.720	0.360
325	可	谓词	128.420	128.500	0.080
326	现在	体词	128.500	128.790	0.290
327	母亲	体词	128.790	129.120	0.330
328	被	虚词	129.120	129.230	0.110
329	掳	谓词	129.230	129.410	0.180
330	了	虚词	129.410	129.530	0.120
