index	word	part_of_speech	onset	offset	duration
1	董卓	体词	1.330	1.630	0.300
2	打	谓词	1.630	1.830	0.200
3	了	虚词	1.830	1.960	0.130
4	几次	饰词	1.960	2.270	0.310
5	胜仗	体词	2.270	2.830	0.560
6	正要	谓词	3.100	3.380	0.280
7	给	虚词	3.380	3.530	0.150
8	将士	体词	3.530	3.870	0.340
9	们	其他	3.870	4.010	0.140
10	庆功	谓词	4.010	4.390	0.380
11	行赏	谓词	4.390	5.020	0.630
12	不料	体词	5.590	5.830	0.240
13	孙坚	体词	5.830	6.290	0.460
14	为了	虚词	6.290	6.470	0.180
15	报上	谓词	6.470	6.850	0.380
16	一回	饰词	6.850	7.060	0.210
17	的	虚词	7.060	7.150	0.090
18	仇	体词	7.150	7.450	0.300
19	又	饰词	7.700	7.840	0.140
20	带兵	谓词	7.840	8.210	0.370
21	打	谓词	8.210	8.410	0.200
22	了	虚词	8.410	8.490	0.080
23	过来	体词	8.490	8.840	0.350
24	这	代词	9.830	9.910	0.080
25	一回	饰词	9.910	10.380	0.470
26	董卓	体词	10.650	10.980	0.330
27	吃	谓词	10.980	11.160	0.180
28	了	虚词	11.160	11.270	0.110
29	败仗	谓词	11.270	11.720	0.450
30	只好	饰词	11.930	12.260	0.330
31	离开	谓词	12.260	12.600	0.340
32	洛阳	体词	12.600	13.120	0.520
33	带	谓词	13.470	13.620	0.150
34	着	虚词	13.620	13.720	0.100
35	人马	体词	13.720	14.070	0.350
36	往	虚词	14.070	14.230	0.160
37	西	体词	14.230	14.490	0.260
38	跑	谓词	14.490	14.770	0.280
39	了	虚词	14.770	14.960	0.190
40	到	谓词	16.090	16.240	0.150
41	了	虚词	16.240	16.340	0.100
42	长安	体词	16.340	16.730	0.390
43	以后	体词	16.730	17.050	0.320
44	他	代词	17.460	17.640	0.180
45	自己	代词	17.640	17.950	0.310
46	当上	体词	17.950	18.280	0.330
47	了	虚词	18.280	18.360	0.080
48	太师	体词	18.360	18.880	0.520
49	把	虚词	19.100	19.280	0.180
50	谁	代词	19.280	19.500	0.220
51	也	饰词	19.500	19.600	0.100
52	不	饰词	19.600	19.750	0.150
53	放在眼里	其他	19.750	20.560	0.810
54	他	代词	21.340	21.440	0.100
55	坐	谓词	21.440	21.610	0.170
56	的	虚词	21.610	21.720	0.110
57	车马	体词	21.720	22.130	0.410
58	和	虚词	22.130	22.280	0.150
59	穿	谓词	22.280	22.470	0.190
60	的	虚词	22.470	22.550	0.080
61	衣裳	体词	22.550	22.910	0.360
62	跟	虚词	22.910	23.050	0.140
63	皇帝	体词	23.050	23.390	0.340
64	差	谓词	23.390	23.610	0.220
65	不了	谓词	23.610	23.820	0.210
66	多少	饰词	23.820	24.320	0.500
67	大臣	体词	25.400	25.740	0.340
68	们	其他	25.740	25.890	0.150
69	见	谓词	25.890	26.060	0.170
70	了	虚词	26.060	26.140	0.080
71	董卓	体词	26.140	26.540	0.400
72	都	饰词	26.840	27.040	0.200
73	得	虚词	27.040	27.160	0.120
74	在	虚词	27.160	27.300	0.140
75	车下	体词	27.300	27.660	0.360
76	拜见	谓词	27.660	28.280	0.620
77	他	代词	28.890	28.980	0.090
78	可	谓词	28.980	29.100	0.120
79	连	虚词	29.100	29.280	0.180
80	礼	体词	29.280	29.490	0.210
81	也	饰词	29.490	29.530	0.040
82	不	饰词	29.530	29.710	0.180
83	还	饰词	29.710	30.110	0.400
84	就	饰词	30.510	30.650	0.140
85	坐	谓词	30.650	30.840	0.190
86	着	虚词	30.840	30.960	0.120
87	点点头	谓词	30.960	31.520	0.560
88	算是	谓词	31.930	32.200	0.270
89	打个招呼	谓词	32.200	32.870	0.670
90	一	饰词	34.080	34.170	0.090
91	想到	谓词	34.170	34.450	0.280
92	各地	代词	34.450	34.820	0.370
93	胆敢	谓词	34.820	35.150	0.330
94	起兵	谓词	35.150	35.520	0.370
95	反抗	谓词	35.520	36.050	0.530
96	他	代词	36.310	36.460	0.150
97	气	体词	36.460	36.650	0.190
98	就	饰词	36.650	36.760	0.110
99	不	饰词	36.760	36.880	0.120
100	打	谓词	36.880	37.040	0.160
101	一处	饰词	37.040	37.320	0.280
102	来	谓词	37.320	37.640	0.320
103	说	谓词	37.960	38.210	0.250
104	以前	体词	39.540	39.900	0.360
105	我	代词	39.900	39.940	0.040
106	把	虚词	39.940	40.060	0.120
107	权力	体词	40.060	40.400	0.340
108	交给	谓词	40.400	40.650	0.250
109	外人	体词	40.650	41.190	0.540
110	不	饰词	41.470	41.580	0.110
111	可靠	谓词	41.580	42.140	0.560
112	太	饰词	42.340	42.570	0.230
113	不	饰词	42.570	42.680	0.110
114	可靠	谓词	42.680	43.080	0.400
115	了	虚词	43.080	43.290	0.210
116	这回	饰词	43.910	44.150	0.240
117	我	代词	44.150	44.260	0.110
118	要	谓词	44.260	44.360	0.100
119	变	谓词	44.360	44.540	0.180
120	个	体词	44.540	44.620	0.080
121	法子	体词	44.620	45.000	0.380
122	于是	虚词	46.420	46.680	0.260
123	他	代词	47.110	47.270	0.160
124	把	虚词	47.270	47.390	0.120
125	大权	体词	47.390	47.810	0.420
126	都	饰词	47.810	47.910	0.100
127	交给	谓词	47.910	48.220	0.310
128	了	虚词	48.220	48.330	0.110
129	自己	代词	48.330	48.620	0.290
130	的	虚词	48.620	48.730	0.110
131	家里人	体词	48.730	49.330	0.600
132	他	代词	50.310	50.410	0.100
133	的	虚词	50.410	50.500	0.090
134	兄弟	体词	50.500	51.060	0.560
135	侄子	体词	51.200	51.590	0.390
136	女婿	体词	51.980	52.490	0.510
137	还有	谓词	52.860	53.090	0.230
138	吕布	体词	53.090	53.520	0.430
139	李	体词	53.750	53.990	0.240
140	傕	谓词	53.990	54.350	0.360
141	郭汜	体词	54.550	55.120	0.570
142	张济	体词	55.360	55.800	0.440
143	这些	代词	55.800	56.030	0.230
144	心腹	体词	56.030	56.380	0.350
145	大将	饰词	56.380	56.860	0.480
146	都	饰词	56.990	57.230	0.240
147	封	体词	57.230	57.420	0.190
148	了	虚词	57.420	57.500	0.080
149	侯	体词	57.500	57.850	0.350
150	受到	谓词	58.000	58.340	0.340
151	重用	谓词	58.340	58.880	0.540
152	连	体词	59.640	59.810	0.170
153	怀抱	谓词	59.810	60.160	0.350
154	着	虚词	60.160	60.300	0.140
155	的	虚词	60.300	60.370	0.070
156	小儿子	体词	60.370	60.920	0.550
157	小孙女	体词	61.160	61.740	0.580
158	也	饰词	61.740	61.880	0.140
159	都	饰词	61.880	62.020	0.140
160	封	体词	62.020	62.220	0.200
161	了	虚词	62.220	62.290	0.070
162	侯	体词	62.290	62.540	0.250
163	封	体词	62.770	63.020	0.250
164	了	虚词	63.020	63.120	0.100
165	君	体词	63.120	63.470	0.350
166	董卓	体词	64.640	64.910	0.270
167	派	谓词	64.910	65.170	0.260
168	人	体词	65.170	65.340	0.170
169	把	虚词	65.340	65.450	0.110
170	离	谓词	65.450	65.620	0.170
171	长安	体词	65.620	65.980	0.360
172	二百多里	饰词	65.980	66.630	0.650
173	地的	体词	66.630	66.870	0.240
174	郿	谓词	66.870	67.050	0.180
