index	word	part_of_speech	onset	offset	duration
1	大伙儿	代词	1.300	1.660	0.360
2	听	谓词	1.660	1.860	0.200
3	王允	体词	1.860	2.170	0.310
4	这么	代词	2.170	2.370	0.200
5	一	饰词	2.370	2.490	0.120
6	说	谓词	2.490	2.760	0.270
7	才	饰词	2.930	3.110	0.180
8	点头	谓词	3.110	3.410	0.300
9	同意	饰词	3.410	3.820	0.410
10	了	虚词	3.820	4.040	0.220
11	过	虚词	5.180	5.300	0.120
12	了	虚词	5.300	5.420	0.120
13	几天	饰词	5.420	5.930	0.510
14	王允	体词	6.300	6.580	0.280
15	把	虚词	6.580	6.690	0.110
16	吕布	体词	6.690	7.040	0.350
17	请	谓词	7.040	7.220	0.180
18	到	谓词	7.220	7.310	0.090
19	家里	体词	7.310	7.610	0.300
20	吃饭	谓词	7.610	8.140	0.530
21	这	代词	8.830	8.960	0.130
22	顿饭	谓词	8.960	9.340	0.380
23	丰盛	谓词	9.340	9.710	0.370
24	极了	饰词	9.710	10.180	0.470
25	吕布来	体词	10.930	11.400	0.470
26	了	虚词	11.400	11.510	0.110
27	又	饰词	11.510	11.660	0.150
28	吃	谓词	11.660	11.870	0.210
29	又	饰词	11.870	11.960	0.090
30	喝	谓词	11.960	12.220	0.260
31	吃	谓词	12.860	13.030	0.170
32	着	虚词	13.030	13.140	0.110
33	喝	谓词	13.140	13.380	0.240
34	着	虚词	13.380	13.580	0.200
35	就	饰词	13.750	13.890	0.140
36	骂	谓词	13.890	14.090	0.200
37	起	谓词	14.090	14.250	0.160
38	董卓	体词	14.250	14.650	0.400
39	来	谓词	14.650	14.870	0.220
40	了	虚词	14.870	15.060	0.190
41	他	代词	16.210	16.330	0.120
42	说	谓词	16.330	16.500	0.170
43	董卓	体词	16.500	16.850	0.350
44	平时	体词	16.850	17.230	0.380
45	怎么	代词	17.230	17.480	0.250
46	怎么	代词	17.480	17.700	0.220
47	欺负	谓词	17.700	18.060	0.360
48	他	代词	18.060	18.320	0.260
49	用着	谓词	18.940	19.100	0.160
50	了	虚词	19.100	19.210	0.110
51	就	饰词	19.210	19.300	0.090
52	用	虚词	19.300	19.390	0.090
53	用不着	其他	19.390	20.460	1.070
54	了	虚词	20.460	20.580	0.120
55	就	饰词	20.580	20.700	0.120
56	又打又骂	其他	20.700	21.550	0.850
57	王允	体词	22.520	22.830	0.310
58	听	谓词	22.830	23.100	0.270
59	着	虚词	23.100	23.290	0.190
60	假装	体词	23.490	23.890	0.400
61	吃惊	谓词	23.890	24.280	0.390
62	地	虚词	24.280	24.380	0.100
63	说	谓词	24.380	24.590	0.210
64	我	代词	25.920	25.970	0.050
65	不	饰词	25.970	26.130	0.160
66	知道	谓词	26.130	26.390	0.260
67	董	体词	26.390	26.590	0.200
68	相国	体词	26.590	26.940	0.350
69	这么	代词	26.940	27.170	0.230
70	欺负	谓词	27.170	27.480	0.310
71	将军	体词	27.480	27.860	0.380
72	将军	体词	28.310	28.670	0.360
73	就	饰词	28.670	28.780	0.110
74	真	饰词	28.780	28.950	0.170
75	能	谓词	28.950	29.100	0.150
76	忍下	谓词	29.100	29.350	0.250
77	这	代词	29.350	29.480	0.130
78	口气	体词	29.480	29.870	0.390
79	吗	虚词	29.870	30.160	0.290
80	吕布	体词	31.360	31.680	0.320
81	皱着眉头	谓词	31.680	32.360	0.680
82	说	谓词	32.360	32.560	0.200
83	王司徒	体词	32.560	34.540	1.980
84	说	谓词	35.030	35.190	0.160
85	实在	谓词	35.190	35.630	0.440
86	的	虚词	35.630	35.710	0.080
87	我	代词	36.200	36.250	0.050
88	真	饰词	36.250	36.460	0.210
89	想	谓词	36.460	36.640	0.180
90	干掉	谓词	36.640	36.930	0.290
91	他	代词	36.930	37.240	0.310
92	可是	虚词	38.000	38.210	0.210
93	如今	体词	38.210	38.590	0.380
94	我们	代词	38.590	38.760	0.170
95	名义	体词	38.760	39.040	0.280
96	上	体词	39.040	39.180	0.140
97	还是	虚词	39.180	39.440	0.260
98	父子	体词	39.440	39.810	0.370
99	怎么	代词	40.180	40.430	0.250
100	下得	谓词	40.430	40.690	0.260
101	去	谓词	40.690	40.840	0.150
102	手	体词	40.840	41.060	0.220
103	哇	虚词	41.060	41.090	0.030
104	王允	体词	41.090	42.960	1.870
105	冷笑	体词	42.960	43.380	0.420
