index	word	part_of_speech	onset	offset	duration
1	先主	体词	1.290	1.710	0.420
2	刘备	体词	1.710	2.050	0.340
3	当	体词	2.050	2.220	0.170
4	了	虚词	2.220	2.280	0.060
5	皇帝	体词	2.280	2.760	0.480
6	心里	体词	2.920	3.290	0.370
7	可不	虚词	3.290	3.570	0.280
8	怎么	代词	3.570	3.760	0.190
9	高兴	饰词	3.760	4.180	0.420
10	一	饰词	4.930	5.040	0.110
11	想起	谓词	5.040	5.390	0.350
12	关羽	体词	5.390	5.760	0.370
13	死	谓词	5.760	5.950	0.190
14	在	虚词	5.950	6.060	0.110
15	孙权	体词	6.060	6.470	0.410
16	手里	体词	6.470	6.840	0.370
17	他	代词	6.950	7.110	0.160
18	就	饰词	7.110	7.210	0.100
19	气	体词	7.210	7.440	0.230
20	得	虚词	7.440	7.530	0.090
21	直	饰词	7.530	7.710	0.180
22	打哆嗦	谓词	7.710	8.280	0.570
23	和	虚词	8.650	8.770	0.120
24	大臣	体词	8.770	9.120	0.350
25	们	其他	9.120	9.210	0.090
26	说	谓词	9.210	9.360	0.150
27	一定	饰词	9.360	9.690	0.330
28	要	谓词	9.690	9.790	0.100
29	报	体词	9.790	10.020	0.230
30	这个	代词	10.020	10.180	0.160
31	仇	体词	10.180	10.500	0.320
32	翊	其他	11.380	11.510	0.130
33	军	体词	11.510	11.690	0.180
34	将军	体词	11.690	12.050	0.360
35	赵云	体词	12.050	12.490	0.440
36	对	虚词	12.490	12.610	0.120
37	刘备	体词	12.610	12.910	0.300
38	说	谓词	12.910	13.140	0.230
39	咱们	代词	14.230	14.500	0.270
40	现在	体词	14.500	14.800	0.300
41	主要	饰词	14.800	15.130	0.330
42	的	虚词	15.130	15.230	0.100
43	敌人	体词	15.230	15.510	0.280
44	是	谓词	15.510	15.630	0.120
45	曹丕	体词	15.630	16.220	0.590
46	不是	虚词	16.350	16.600	0.250
47	孙权	体词	16.600	17.050	0.450
48	曹丕	体词	17.790	18.210	0.420
49	刚	饰词	18.210	18.420	0.210
50	即位	谓词	18.420	18.780	0.360
51	正是	饰词	18.970	19.250	0.280
52	讨伐	谓词	19.250	19.650	0.400
53	的	虚词	19.650	19.720	0.070
54	好	谓词	19.720	19.890	0.170
55	机会	体词	19.890	20.270	0.380
56	您	代词	20.720	20.860	0.140
57	还	饰词	20.860	20.990	0.130
58	得	虚词	20.990	21.100	0.110
59	多	饰词	21.100	21.260	0.160
60	考虑	谓词	21.260	21.580	0.320
61	考虑	谓词	21.580	21.950	0.370
62	刘备	体词	23.170	23.510	0.340
63	这时候	代词	23.510	23.900	0.390
64	谁	代词	23.900	24.130	0.230
65	的话	虚词	24.130	24.410	0.280
66	也	饰词	24.410	24.480	0.070
67	听不进去	谓词	24.480	25.120	0.640
68	诸葛亮	体词	25.860	26.340	0.480
69	虽然	虚词	26.340	26.640	0.300
70	反对	饰词	26.640	27.040	0.400
71	出兵	谓词	27.040	27.420	0.380
72	打	谓词	27.420	27.570	0.150
73	东吴	体词	27.570	28.000	0.430
74	可是	虚词	28.290	28.570	0.280
75	不	饰词	28.570	28.800	0.230
76	愿意	谓词	28.800	29.080	0.280
77	跟	虚词	29.080	29.210	0.130
78	刘备	体词	29.210	29.550	0.340
79	当面	体词	29.550	29.910	0.360
80	顶撞	谓词	29.910	30.350	0.440
81	只好	饰词	30.460	30.740	0.280
82	不	饰词	30.740	30.890	0.150
83	劝	谓词	30.890	31.160	0.270
84	了	虚词	31.160	31.260	0.100
85	这么着	代词	31.890	32.270	0.380
86	刘备	体词	32.460	32.830	0.370
87	留下	谓词	32.830	33.100	0.270
88	诸葛亮	体词	33.100	33.570	0.470
89	和	虚词	33.570	33.670	0.100
90	太子	体词	33.670	34.010	0.340
91	刘禅	体词	34.010	34.440	0.430
92	守	谓词	34.440	34.620	0.180
93	成都	体词	34.620	35.060	0.440
94	自己	代词	35.170	35.550	0.380
95	约	饰词	35.550	35.720	0.170
96	了	虚词	35.720	35.830	0.110
97	车骑	体词	35.830	36.230	0.400
98	将军	体词	36.230	36.570	0.340
99	张飞	体词	36.570	37.010	0.440
100	一起	饰词	37.270	37.550	0.280
101	出兵	谓词	37.550	37.960	0.410
102	征讨	谓词	37.960	38.330	0.370
103	东吴	体词	38.330	38.740	0.410
104	张飞	体词	39.880	40.330	0.450
105	正	饰词	40.330	40.550	0.220
106	镇守	谓词	40.550	40.930	0.380
107	在	虚词	40.930	41.040	0.110
108	阆中	体词	41.040	41.500	0.460
109	他	代词	41.690	41.900	0.210
110	跟	虚词	41.900	42.020	0.120
111	刘备	体词	42.020	42.330	0.310
112	一样	代词	42.330	42.700	0.370
113	恨不能	饰词	42.970	43.440	0.470
114	一下子把	饰词	43.440	44.020	0.580
115	东吴	体词	44.020	44.360	0.340
116	给	虚词	44.360	44.480	0.120
117	吞下去	谓词	44.480	45.050	0.570
118	张飞	体词	45.730	46.150	0.420
119	是	谓词	46.150	46.300	0.150
120	个	体词	46.300	46.380	0.080
121	急	谓词	46.380	46.630	0.250
122	脾气	体词	46.630	46.970	0.340
123	的	虚词	46.970	47.050	0.080
124	人	体词	47.050	47.220	0.170
125	心里	体词	47.470	47.790	0.320
126	一	饰词	47.790	47.970	0.180
127	不	饰词	47.970	48.080	0.110
128	痛快	谓词	48.080	48.490	0.410
129	不是	虚词	48.660	48.910	0.250
130	骂	谓词	48.910	49.190	0.280
131	这个	代词	49.190	49.360	0.170
132	将军	体词	49.360	49.740	0.380
133	就是	饰词	49.810	50.150	0.340
134	打	谓词	50.150	50.370	0.220
135	那个	代词	50.370	50.550	0.180
136	士兵	体词	50.550	51.000	0.450
137	吓	谓词	51.330	51.600	0.270
138	得	虚词	51.600	51.680	0.080
139	大伙儿	代词	51.680	52.080	0.400
140	在	虚词	52.080	52.190	0.110
141	他	代词	52.190	52.300	0.110
142	面前	体词	52.300	52.670	0.370
143	连	体词	52.670	52.830	0.160
144	大气	体词	52.830	53.200	0.370
145	儿	体词	53.200	53.320	0.120
146	都	饰词	53.320	53.400	0.080
147	不敢	饰词	53.400	53.660	0.260
148	出	谓词	53.660	53.870	0.210
149	他	代词	55.040	55.160	0.120
150	接到	谓词	55.160	55.470	0.310
151	刘备	体词	55.470	55.810	0.340
152	让	谓词	55.810	55.980	0.170
153	他	代词	55.980	56.070	0.090
154	出兵	谓词	56.070	56.440	0.370
155	的	虚词	56.440	56.500	0.060
156	信	体词	56.500	56.810	0.310
157	立刻	饰词	56.920	57.330	0.410
158	下令	谓词	57.330	57.720	0.390
159	准备	谓词	57.720	57.980	0.260
160	出发	谓词	57.980	58.370	0.390
161	到	谓词	59.020	59.200	0.180
162	了	虚词	59.200	59.310	0.110
163	这天	代词	59.310	59.620	0.310
164	晚上	体词	59.620	60.000	0.380
165	他	代词	60.090	60.230	0.140
166	喝醉	谓词	60.230	60.620	0.390
167	了	虚词	60.620	60.730	0.110
168	酒	体词	60.730	60.950	0.220
169	又	饰词	60.950	61.100	0.150
170	打	谓词	61.100	61.310	0.210
171	了	虚词	61.310	61.400	0.090
172	人	体词	61.400	61.600	0.200
173	帐	体词	62.270	62.520	0.250
174	下	体词	62.520	62.620	0.100
175	的	虚词	62.620	62.720	0.100
176	将士	体词	62.720	63.080	0.360
177	张达	体词	63.080	63.600	0.520
178	范	体词	63.630	63.930	0.300
179	彊	谓词	63.930	64.150	0.220
180	实在	谓词	64.150	64.520	0.370
181	气不过	其他	64.520	65.040	0.520
182	趁	谓词	65.170	65.450	0.280
183	张飞	体词	65.450	65.770	0.320
184	睡觉	谓词	65.770	66.200	0.430
185	的	虚词	66.200	66.280	0.080
186	时候	体词	66.280	66.620	0.340
187	偷偷地	其他	66.690	67.260	0.570
188	钻进	谓词	67.260	67.620	0.360
189	他	代词	67.620	67.720	0.100
190	的	虚词	67.720	67.810	0.090
191	屋子	体词	67.810	68.160	0.350
192	把	虚词	68.240	68.410	0.170
193	他杀	谓词	68.410	68.840	0.430
194	了	虚词	68.840	68.950	0.110
195	两个	饰词	70.030	70.380	0.350
196	人	体词	70.380	70.530	0.150
197	拿	谓词	70.530	70.720	0.190
198	着	虚词	70.720	70.810	0.090
199	张飞	体词	70.810	71.150	0.340
200	的	虚词	71.150	71.240	0.090
201	脑袋	体词	71.240	71.650	0.410
202	坐船	谓词	71.760	72.270	0.510
203	连夜	饰词	72.270	72.670	0.400
204	投奔	谓词	72.670	73.050	0.380
205	了	虚词	73.050	73.140	0.090
206	东吴	体词	73.140	73.540	0.400
207	刘备	体词	74.330	74.650	0.320
208	听说	谓词	74.650	74.930	0.280
209	张飞	体词	74.930	75.350	0.420
210	也	饰词	75.350	75.480	0.130
211	死	谓词	75.480	75.720	0.240
212	了	虚词	75.720	75.890	0.170
213	差点儿	其他	75.970	76.480	0.510
214	就	饰词	76.480	76.570	0.090
215	晕过去	其他	76.570	77.130	0.560
216	哭	谓词	77.220	77.530	0.310
217	得	虚词	77.530	77.620	0.090
218	连声	饰词	77.620	78.060	0.440
219	儿	体词	78.060	78.130	0.070
220	都	饰词	78.130	78.220	0.090
221	变	谓词	78.220	78.510	0.290
222	了	虚词	78.510	78.630	0.120
223	想起	谓词	79.640	80.050	0.410
224	当年	体词	80.050	80.410	0.360
225	起事	谓词	80.410	80.850	0.440
226	那会儿	代词	80.850	81.280	0.430
227	刘	谓词	81.500	81.820	0.320
228	关	谓词	81.880	82.220	0.340
229	张三人	体词	82.250	82.860	0.610
230	多么	代词	82.860	83.180	0.320
231	要	谓词	83.180	83.300	0.120
232	好	谓词	83.300	83.640	0.340
233	如今	体词	84.180	84.530	0.350
234	只	饰词	84.530	84.680	0.150
235	剩下	谓词	84.680	84.970	0.290
236	自己	代词	84.970	85.340	0.370
237	一个	饰词	85.340	85.660	0.320
238	关	谓词	86.180	86.430	0.250
239	张	体词	86.460	86.700	0.240
240	二人	体词	86.700	86.990	0.290
241	又	饰词	86.990	87.080	0.090
242	死	谓词	87.080	87.310	0.230
243	得	虚词	87.310	87.400	0.090
244	这么	代词	87.400	87.630	0.230
245	冤	体词	87.660	87.850	0.190
246	他	代词	88.150	88.260	0.110
247	真	饰词	88.260	88.540	0.280
248	恨透了	其他	88.540	89.080	0.540
249	孙权	体词	89.080	89.510	0.430
250	把	虚词	89.800	89.910	0.110
251	关羽	体词	89.910	90.310	0.400
252	和	虚词	90.310	90.460	0.150
253	张飞	体词	90.460	90.820	0.360
254	的	虚词	90.820	90.910	0.090
255	仇	体词	90.910	91.170	0.260
256	都	饰词	91.170	91.320	0.150
257	记	谓词	91.320	91.490	0.170
258	在	虚词	91.490	91.600	0.110
259	孙权	体词	91.600	92.030	0.430
260	的	虚词	92.030	92.110	0.080
261	账上	体词	92.110	92.540	0.430
