index	word	part_of_speech	onset	offset	duration
1	公元	体词	1.330	1.780	0.450
2	年	饰词	2.160	2.620	0.460
3	李	体词	3.040	3.190	0.150
4	傕	谓词	3.190	3.470	0.280
5	郭汜	体词	3.750	4.340	0.590
6	张济	体词	4.580	5.170	0.590
7	樊稠	体词	5.420	5.810	0.390
8	他们	代词	5.810	6.070	0.260
9	闹起	谓词	6.070	6.390	0.320
10	了	虚词	6.390	6.570	0.180
11	窝里反	其他	6.570	7.060	0.490
12	先是	饰词	7.060	7.400	0.340
13	李	体词	7.400	7.560	0.160
14	傕	谓词	7.560	7.750	0.190
15	疑心	体词	7.750	8.140	0.390
16	樊稠	体词	8.140	8.450	0.310
17	通敌	谓词	8.450	9.010	0.560
18	把	虚词	9.300	9.420	0.120
19	他	代词	9.420	9.530	0.110
20	骗	谓词	9.530	9.720	0.190
21	到	谓词	9.720	9.820	0.100
22	营里	体词	9.820	10.120	0.300
23	来	谓词	10.120	10.260	0.140
24	杀	谓词	10.260	10.560	0.300
25	了	虚词	10.560	10.750	0.190
26	这么一来	其他	11.900	12.570	0.670
27	郭汜	体词	12.830	13.200	0.370
28	起	谓词	13.200	13.390	0.190
29	了	虚词	13.390	13.490	0.100
30	疑心	体词	13.490	13.960	0.470
31	怕	谓词	14.560	14.680	0.120
32	李	体词	14.680	14.850	0.170
33	傕	谓词	14.850	14.980	0.130
34	也	饰词	14.980	15.120	0.140
35	算计	谓词	15.120	15.440	0.320
36	到	谓词	15.440	15.550	0.110
37	自己	代词	15.550	15.840	0.290
38	的	虚词	15.840	15.930	0.090
39	头上	体词	15.930	16.480	0.550
40	这	代词	17.450	17.530	0.080
41	一天	饰词	17.530	18.010	0.480
42	郭汜	体词	18.350	18.730	0.380
43	从	虚词	18.730	18.910	0.180
44	李	体词	18.910	19.030	0.120
45	傕	谓词	19.030	19.170	0.140
46	家	体词	19.170	19.330	0.160
47	喝酒	谓词	19.330	19.680	0.350
48	回来	谓词	19.680	20.180	0.500
49	一	饰词	20.730	20.810	0.080
50	进门	谓词	20.810	21.190	0.380
51	就	饰词	21.190	21.330	0.140
52	哇	虚词	21.330	21.360	0.030
53	哇	虚词	21.360	21.480	0.120
54	地	虚词	22.120	22.200	0.080
55	吐	谓词	22.200	22.440	0.240
56	了	虚词	22.440	22.520	0.080
57	一地	体词	22.520	22.950	0.430
58	他	代词	23.810	23.910	0.100
59	媳妇儿	体词	23.910	24.280	0.370
60	带	谓词	24.280	24.440	0.160
61	着	虚词	24.440	24.550	0.110
62	哭	谓词	24.550	24.780	0.230
63	音儿	体词	24.780	25.020	0.240
64	说	谓词	25.020	25.270	0.250
65	这	代词	26.600	26.720	0.120
66	可	谓词	26.720	26.880	0.160
67	怎么	代词	26.880	27.100	0.220
68	好哇	体词	27.100	27.480	0.380
69	八成	饰词	28.190	28.550	0.360
70	是	谓词	28.550	28.660	0.110
71	中	体词	28.660	28.840	0.180
72	了毒	谓词	28.840	29.220	0.380
73	了	虚词	29.220	29.330	0.110
74	说	谓词	30.710	30.940	0.230
75	着	虚词	30.940	31.050	0.110
76	拿来	谓词	31.050	31.370	0.320
77	半碗	饰词	31.370	31.710	0.340
78	粪汁	体词	31.710	32.070	0.360
79	硬	谓词	32.070	32.180	0.110
80	给	虚词	32.710	32.790	0.080
81	他	代词	32.790	32.890	0.100
82	灌	谓词	32.890	33.110	0.220
83	了	虚词	33.110	33.190	0.080
84	下去	体词	33.190	33.540	0.350
85	郭汜	体词	34.620	34.930	0.310
86	一	饰词	34.930	35.110	0.180
87	恶心	体词	35.110	35.580	0.470
88	又	饰词	35.890	35.970	0.080
89	吐	谓词	35.970	36.180	0.210
90	了	虚词	36.180	36.260	0.080
91	好	谓词	36.260	36.460	0.200
92	一阵	饰词	36.460	36.850	0.390
93	才	饰词	37.060	37.230	0.170
94	舒服	谓词	37.230	37.570	0.340
95	一点儿	饰词	37.570	37.960	0.390
96	郭汜	体词	38.840	39.100	0.260
97	可	谓词	39.100	39.220	0.120
98	真	饰词	39.220	39.450	0.230
99	火儿	体词	39.450	39.750	0.300
100	了	虚词	39.750	39.960	0.210
101	他	代词	40.510	40.600	0.090
102	大	谓词	40.600	40.800	0.200
103	骂	谓词	40.800	40.980	0.180
104	李	体词	40.980	41.130	0.150
105	傕	谓词	41.130	41.320	0.190
106	说	谓词	41.320	41.600	0.280
107	我	代词	42.870	42.930	0.060
108	和	虚词	42.930	43.090	0.160
109	他	代词	43.090	43.200	0.110
110	一同	饰词	43.200	43.560	0.360
111	起兵	谓词	43.560	43.980	0.420
112	什么	代词	44.400	44.670	0.270
113	事儿	体词	44.670	44.850	0.180
114	都	饰词	44.850	44.940	0.090
115	让	谓词	44.940	45.100	0.160
116	他	代词	45.100	45.190	0.090
117	一步	饰词	45.190	45.480	0.290
118	没想到	其他	46.250	46.630	0.380
119	害来	谓词	46.630	46.940	0.310
120	害去	谓词	46.940	47.450	0.510
121	害到	谓词	47.620	48.040	0.420
122	了	虚词	48.040	48.120	0.080
123	我	代词	48.120	48.250	0.130
124	的	虚词	48.250	48.360	0.110
125	头上	体词	48.360	48.900	0.540
126	我	代词	49.560	49.610	0.050
127	要	谓词	49.610	49.710	0.100
128	不先	饰词	49.710	50.000	0.290
129	动手	体词	50.000	50.310	0.310
130	还	饰词	50.310	50.430	0.120
131	活得	谓词	50.550	51.060	0.510
132	了	虚词	51.060	51.250	0.190
133	吗	虚词	51.250	51.420	0.170
134	他	代词	52.810	52.910	0.100
135	马上	饰词	52.910	53.320	0.410
136	带	谓词	53.320	53.460	0.140
137	着	虚词	53.460	53.570	0.110
138	自己	代词	53.570	53.850	0.280
139	的	虚词	53.850	53.950	0.100
140	人马	体词	53.950	54.310	0.360
141	朝	虚词	54.310	54.470	0.160
142	李	体词	54.470	54.640	0.170
143	傕	谓词	54.640	54.790	0.150
144	家里	体词	54.790	55.080	0.290
145	打	谓词	55.080	55.260	0.180
146	过去	体词	55.260	55.600	0.340
147	李	体词	56.700	56.840	0.140
148	傕	谓词	56.840	56.980	0.140
149	一面	饰词	56.980	57.350	0.370
150	抵挡	谓词	57.350	57.850	0.500
151	一面	饰词	58.130	58.460	0.330
152	派	谓词	58.460	58.660	0.200
153	人	体词	58.660	58.760	0.100
154	硬	谓词	58.760	58.950	0.190
155	把	虚词	58.950	59.040	0.090
156	汉献帝	体词	59.040	59.600	0.560
157	从	虚词	59.600	59.810	0.210
158	宫里	体词	59.810	60.100	0.290
159	带	谓词	60.100	60.300	0.200
160	出来	谓词	60.300	60.670	0.370
161	连同	谓词	61.270	61.610	0.340
162	贵妃	体词	61.610	62.100	0.490
163	宫女	体词	62.230	62.770	0.540
164	大臣	体词	62.820	63.220	0.400
165	们	其他	63.220	63.350	0.130
166	都	饰词	63.350	63.500	0.150
167	送到	谓词	63.500	63.770	0.270
168	自己	代词	63.770	64.060	0.290
169	营里	体词	64.060	64.570	0.510
170	还	饰词	64.930	65.100	0.170
171	抢走了	其他	65.100	65.550	0.450
172	宫里	体词	65.550	65.850	0.300
173	的	虚词	65.850	65.940	0.090
174	财物	体词	65.940	66.480	0.540
175	末了	体词	67.220	67.500	0.280
176	一把	饰词	67.930	68.270	0.340
177	火把	体词	68.270	68.600	0.330
178	宫殿	体词	68.600	69.010	0.410
179	也	饰词	69.010	69.090	0.080
180	点着	谓词	69.090	69.530	0.440
181	了	虚词	69.530	69.740	0.210
182	反正	饰词	70.820	71.200	0.380
183	皇帝	体词	71.200	71.530	0.330
184	在	虚词	71.530	71.670	0.140
185	他	代词	71.670	71.830	0.160
186	手里	体词	71.830	72.330	0.500
187	由着	虚词	72.600	72.810	0.210
188	他	代词	72.810	73.010	0.200
189	说了算	其他	73.010	73.660	0.650
190	李家	体词	74.720	75.070	0.350
191	兵	体词	75.070	75.250	0.180
192	和	虚词	75.250	75.390	0.140
193	郭家兵	体词	75.390	75.920	0.530
194	互相残杀	其他	75.920	76.820	0.900
195	老百姓	体词	77.180	77.740	0.560
196	又	饰词	77.740	77.840	0.100
197	遭	谓词	77.840	78.030	0.190
198	了	虚词	78.030	78.170	0.140
199	殃	谓词	78.170	78.530	0.360
200	不	饰词	79.010	79.140	0.130
201	几天	饰词	79.140	79.490	0.350
202	就	饰词	79.490	79.580	0.090
203	死	谓词	79.580	79.790	0.210
204	了	虚词	79.790	79.870	0.080
205	好几万	饰词	79.870	80.400	0.530
206	人	体词	80.400	80.620	0.220
207	这时候	代词	81.590	82.040	0.450
208	镇守	谓词	82.380	82.780	0.400
209	弘农	体词	82.780	83.130	0.350
210	的	虚词	83.130	83.230	0.100
211	张济	体词	83.230	83.630	0.400
212	也	饰词	83.630	83.750	0.120
213	带	谓词	83.750	83.900	0.150
214	着	虚词	83.900	84.010	0.110
215	兵	体词	84.010	84.210	0.200
216	来	谓词	84.210	84.420	0.210
217	了	虚词	84.420	84.640	0.220
218	说	谓词	85.110	85.260	0.150
219	是	谓词	85.260	85.390	0.130
220	要	谓词	85.390	85.500	0.110
221	给	虚词	85.500	85.640	0.140
222	他们	代词	85.640	85.880	0.240
223	两家	饰词	85.880	86.200	0.320
224	调解	谓词	86.200	86.650	0.450
225	经过	虚词	87.540	87.800	0.260
226	张济说	体词	87.800	88.350	0.550
227	合	谓词	88.350	88.720	0.370
228	两边	体词	89.000	89.380	0.380
229	总算	体词	89.380	89.800	0.420
230	答应	谓词	89.800	90.120	0.320
231	不	饰词	90.120	90.230	0.110
232	打	谓词	90.230	90.460	0.230
233	了	虚词	90.460	90.670	0.210
234	可是	虚词	91.810	92.060	0.250
235	宫殿	体词	92.060	92.430	0.370
236	烧坏	谓词	92.430	92.900	0.470
237	了	虚词	92.900	93.140	0.240
238	没法	谓词	93.320	93.650	0.330
239	住	谓词	93.650	93.840	0.190
240	大伙儿	代词	94.790	95.110	0.320
241	商量	体词	95.110	95.540	0.430
242	着	虚词	95.540	95.640	0.100
243	决定	谓词	95.950	96.290	0.340
244	把	虚词	96.290	96.400	0.110
245	京城	体词	96.400	96.840	0.440
246	搬到	谓词	96.840	97.110	0.270
247	弘农	体词	97.110	97.560	0.450
248	去	谓词	97.560	97.850	0.290
249	刚	饰词	98.810	98.980	0.170
250	走到	谓词	98.980	99.210	0.230
251	半道	饰词	99.210	99.590	0.380
252	上	体词	99.590	99.960	0.370
253	李	体词	100.290	100.450	0.160
254	傕	谓词	100.450	100.790	0.340
255	郭汜	体词	100.990	101.590	0.600
256	张济	体词	101.650	102.030	0.380
257	都	饰词	102.030	102.150	0.120
258	后悔	谓词	102.150	102.600	0.450
259	了	虚词	102.600	102.840	0.240
260	他们	代词	103.460	103.650	0.190
261	都	饰词	103.650	103.790	0.140
262	不	饰词	103.790	103.950	0.160
263	愿意	谓词	103.950	104.190	0.240
264	离开	谓词	104.190	104.500	0.310
265	长安	体词	104.500	105.020	0.520
266	汉献帝	体词	105.640	106.120	0.480
267	只好	饰词	106.120	106.430	0.310
268	让	谓词	106.430	106.560	0.130
269	他们	代词	106.560	106.780	0.220
270	留下	谓词	106.780	107.260	0.480
271	自己	代词	107.560	107.870	0.310
272	和	虚词	107.870	108.040	0.170
273	大臣	体词	108.040	108.370	0.330
274	们	其他	108.370	108.500	0.130
275	走	谓词	108.500	108.630	0.130
276	了	虚词	108.780	108.990	0.210
277	这	代词	110.150	110.300	0.150
278	三个	饰词	110.300	110.580	0.280
279	人	体词	110.580	110.670	0.090
280	一	饰词	110.670	110.850	0.180
281	寻思	体词	110.850	111.340	0.490
282	要是	虚词	111.340	112.170	0.830
283	把	虚词	112.170	112.280	0.110
284	皇帝	体词	112.280	112.630	0.350
285	放走	谓词	112.630	112.960	0.330
286	了	虚词	113.090	113.270	0.180
287	那	代词	113.440	113.620	0.180
288	还	饰词	113.620	113.740	0.120
289	拿	谓词	113.740	113.890	0.150
290	什么	代词	113.890	114.170	0.280
291	当	体词	114.170	114.330	0.160
292	招牌	谓词	114.330	114.660	0.330
293	呐	虚词	114.660	114.950	0.290
294	他们	代词	115.780	115.990	0.210
295	就	饰词	115.990	116.090	0.100
296	带兵	谓词	116.090	116.470	0.380
297	往	虚词	116.470	116.620	0.150
298	东	体词	116.620	116.860	0.240
299	追	谓词	116.860	117.170	0.310
300	想	谓词	117.400	117.640	0.240
301	把	虚词	117.640	117.720	0.080
302	汉献帝	体词	117.720	118.260	0.540
303	劫	谓词	118.260	118.480	0.220
304	回来	谓词	118.480	118.890	0.410
305	汉献帝	体词	119.820	120.350	0.530
306	由	虚词	120.350	120.430	0.080
307	大臣	体词	120.430	120.830	0.400
308	董承	体词	120.830	121.460	0.630
309	杨奉	体词	121.510	121.960	0.450
310	保驾	谓词	121.960	122.470	0.510
311	刚	饰词	122.880	123.110	0.230
312	到	谓词	123.110	123.250	0.140
313	了	虚词	123.250	123.310	0.060
314	弘	体词	123.310	123.560	0.250
315	农	体词	123.560	123.850	0.290
316	李	体词	124.190	124.330	0.140
317	傕	谓词	124.330	124.500	0.170
318	他们	代词	124.500	124.750	0.250
319	已经	饰词	124.750	124.990	0.240
320	追上	谓词	124.990	125.420	0.430
321	了	虚词	125.420	125.570	0.150
322	一	饰词	126.670	126.800	0.130
323	仗	体词	126.800	127.010	0.210
324	打	谓词	127.010	127.160	0.150
325	下来	体词	127.160	127.600	0.440
326	从	虚词	128.110	128.270	0.160
327	长安	体词	128.270	128.640	0.370
328	带	谓词	128.640	128.820	0.180
329	出来	谓词	128.820	129.060	0.240
330	的	虚词	129.060	129.150	0.090
331	文书	体词	129.150	129.710	0.560
332	图籍	体词	129.800	130.190	0.390
333	什么	代词	130.190	130.480	0.290
334	的	虚词	130.480	130.560	0.080
335	扔	谓词	130.560	130.760	0.200
336	得	虚词	130.760	130.820	0.060
337	满地	体词	130.820	131.240	0.420
338	都	饰词	131.240	131.420	0.180
339	是	谓词	131.420	131.630	0.210
340	谁	代词	132.010	132.240	0.230
341	也	饰词	132.240	132.370	0.130
342	顾不上	其他	132.370	132.830	0.460
343	收拾	谓词	132.830	133.260	0.430
344	趁着	虚词	134.510	134.790	0.280
345	李	体词	134.790	134.960	0.170
346	傕	谓词	134.960	135.140	0.180
347	他们	代词	135.140	135.400	0.260
348	在	虚词	135.400	135.520	0.120
349	弘	体词	135.520	135.740	0.220
350	农	体词	135.740	135.930	0.190
351	抢劫	谓词	135.930	136.340	0.410
352	这	代词	136.340	136.460	0.120
353	工夫	体词	136.460	136.860	0.400
354	董承	体词	137.430	138.050	0.620
355	杨奉才	体词	138.110	138.730	0.620
356	保护	谓词	138.730	139.120	0.390
357	着	虚词	139.120	139.210	0.090
358	汉献帝	体词	139.210	139.740	0.530
359	渡过	谓词	139.740	140.040	0.300
360	了	虚词	140.040	140.110	0.070
361	黄河	体词	140.110	140.550	0.440
362	他们	代词	141.620	141.830	0.210
363	想着	谓词	141.830	142.380	0.550
364	弘	体词	142.760	142.910	0.150
365	农	体词	142.910	143.060	0.150
366	不能	谓词	143.060	143.340	0.280
367	去	谓词	143.340	143.550	0.210
368	了	虚词	143.550	143.780	0.230
369	只有	虚词	144.030	144.280	0.250
370	回	谓词	144.280	144.460	0.180
371	洛阳	体词	144.460	144.870	0.410
372	这	代词	144.870	144.960	0.090
373	一个	饰词	144.960	145.180	0.220
374	办法	体词	145.180	145.590	0.410
375	了	虚词	145.590	145.780	0.190
376	过	虚词	146.910	147.050	0.140
377	了	虚词	147.050	147.140	0.090
378	年	饰词	147.140	147.550	0.410
379	汉献帝	体词	147.740	148.310	0.570
380	回到	谓词	148.310	148.640	0.330
381	了	虚词	148.640	148.740	0.100
382	洛阳	体词	148.740	149.340	0.600
383	洛阳	体词	150.130	150.440	0.310
384	被	虚词	150.440	150.580	0.140
385	董卓	体词	150.580	150.940	0.360
386	一把	饰词	150.940	151.240	0.300
387	火	体词	151.240	151.420	0.180
388	烧毁	谓词	151.420	151.810	0.390
389	以后	体词	151.810	152.160	0.350
390	到	谓词	152.560	152.670	0.110
391	现在	体词	152.670	153.050	0.380
392	也	饰词	153.050	153.130	0.080
393	没	谓词	153.130	153.270	0.140
394	恢复	谓词	153.270	153.740	0.470
395	文武	体词	154.860	155.090	0.230
396	大臣	体词	155.090	155.530	0.440
397	只好	饰词	155.530	155.830	0.300
398	在	虚词	155.830	155.970	0.140
399	破	谓词	155.970	156.150	0.180
400	墙头	体词	156.150	156.520	0.370
401	上	体词	156.520	156.730	0.210
402	搭起	谓词	156.730	157.050	0.320
403	个	饰词	157.050	157.140	0.090
404	草棚	体词	157.140	157.800	0.660
405	或者	虚词	158.210	158.480	0.270
406	盖	谓词	158.480	158.640	0.160
407	上间	体词	158.640	158.960	0.320
408	土房	体词	158.960	159.520	0.560
409	凑合着	谓词	159.760	160.180	0.420
410	住	谓词	160.180	160.370	0.190
411	住	谓词	161.620	161.750	0.130
412	倒	谓词	161.750	161.920	0.170
413	是	谓词	161.920	162.060	0.140
414	能	谓词	162.060	162.230	0.170
415	凑合	谓词	162.230	162.720	0.490
416	没有	谓词	163.170	163.520	0.350
417	粮食	体词	163.520	163.880	0.360
418	吃	谓词	163.880	164.060	0.180
419	可	谓词	164.060	164.190	0.130
