index	word	part_of_speech	onset	offset	duration
1	曹彰	体词	1.260	1.720	0.460
2	和	虚词	1.720	1.840	0.120
3	他	代词	1.840	1.940	0.100
4	哥哥	体词	1.940	2.390	0.450
5	弟弟	体词	2.430	2.770	0.340
6	都	饰词	2.770	2.930	0.160
7	不	饰词	2.930	3.080	0.150
8	一样	代词	3.080	3.380	0.300
9	长	谓词	3.710	3.930	0.220
10	得	虚词	3.930	3.990	0.060
11	高大	谓词	3.990	4.320	0.330
12	结实	体词	4.320	4.790	0.470
13	很	饰词	4.950	5.100	0.150
14	有	谓词	5.100	5.190	0.090
15	力气	体词	5.190	5.610	0.420
16	他	代词	5.980	6.090	0.110
17	不	饰词	6.090	6.260	0.170
18	喜欢	谓词	6.260	6.560	0.300
19	读书	体词	6.560	6.960	0.400
20	只	饰词	7.090	7.280	0.190
21	喜欢	谓词	7.280	7.580	0.300
22	骑马	体词	7.580	7.950	0.370
23	射箭	体词	7.950	8.370	0.420
24	几次	饰词	8.870	9.220	0.350
25	跟着	谓词	9.220	9.450	0.230
26	曹操	体词	9.450	9.830	0.380
27	出征	谓词	9.830	10.200	0.370
28	还立	谓词	10.290	10.650	0.360
29	过	虚词	10.650	10.760	0.110
30	战功	体词	10.760	11.210	0.450
31	曹操	体词	11.960	12.410	0.450
32	问	谓词	12.410	12.540	0.130
33	他	代词	12.540	12.650	0.110
34	以后	体词	12.650	12.910	0.260
35	想干什么	其他	12.910	13.610	0.700
36	他	代词	13.770	13.850	0.080
37	爽快	谓词	13.850	14.290	0.440
38	地	虚词	14.290	14.360	0.070
39	说	谓词	14.360	14.600	0.240
40	打仗	谓词	15.710	16.220	0.510
41	做	谓词	16.580	16.750	0.170
42	将军	体词	16.750	17.260	0.510
43	曹操	体词	18.510	18.970	0.460
44	又	饰词	18.970	19.150	0.180
45	问	谓词	19.150	19.430	0.280
46	怎么	代词	20.540	20.800	0.260
47	做	谓词	20.800	20.940	0.140
48	将军	体词	20.940	21.330	0.390
49	呐	虚词	21.330	21.560	0.230
50	曹彰	体词	22.780	23.210	0.430
51	毫不犹豫	其他	23.210	23.840	0.630
52	地	虚词	23.840	23.920	0.080
53	说	谓词	23.920	24.170	0.250
54	做	谓词	25.280	25.450	0.170
55	将军	体词	25.450	25.900	0.450
56	就要	饰词	25.900	26.130	0.230
57	身穿	谓词	26.130	26.570	0.440
58	铠甲	体词	26.570	27.050	0.480
59	手	体词	27.200	27.480	0.280
60	拿	谓词	27.480	27.630	0.150
61	兵器	体词	27.630	28.100	0.470
62	什么	代词	28.470	28.750	0.280
63	强大	谓词	28.750	29.120	0.370
64	的	虚词	29.120	29.220	0.100
65	对手	谓词	29.220	29.500	0.280
