onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
98.024000	300.005000	98024	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
411.025000	303.657000	411025	speech	34	audio/story-34.mp3	1	last_adjacent_pair_with_duration_ge_150_s
769.888000	287.741000	769888	speech	35	audio/story-35.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1093.772000	284.553000	1093772	speech	36	audio/story-36.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1412.449000	222.733000	1412449	speech	37	audio/story-37.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1721.985000	272.535000	1721985	speech	38	audio/story-38.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2039.964000	284.886000	2039964	speech	39	audio/story-39.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2373.133000	281.220000	2373133	speech	40	audio/story-40.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2724.627000	279.229000	2724627	speech	41	audio/story-41.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3030.148000	272.046000	3030148	speech	42	audio/story-42.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3707.557000	227.624000	3707557	speech	43	audio/story-43.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3974.892000	282.869000	3974892	speech	44	audio/story-44.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4311.439000	289.327000	4311439	speech	45	audio/story-45.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4649.321000	278.118000	4649321	speech	46	audio/story-46.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4981.337000	281.598000	4981337	speech	47	audio/story-47.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5305.815000	193.379000	5305815	speech	48	audio/story-48.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5536.700000	282.565000	5536700	speech	49	audio/story-49.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5877.456000	285.706000	5877456	speech	50	audio/story-50.mp3	1	last_adjacent_pair_with_duration_ge_150_s
