onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
73.885000	300.007000	73885	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
385.742000	303.660000	385742	speech	34	audio/story-34.mp3	1	last_adjacent_pair_with_duration_ge_150_s
737.859000	287.740000	737859	speech	35	audio/story-35.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1074.480000	284.555000	1074480	speech	36	audio/story-36.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1402.257000	222.725000	1402257	speech	37	audio/story-37.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1679.349000	272.529000	1679349	speech	38	audio/story-38.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2025.525000	284.886000	2025525	speech	39	audio/story-39.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2378.901000	281.213000	2378901	speech	40	audio/story-40.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2743.754000	279.222000	2743754	speech	41	audio/story-41.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3085.709000	272.047000	3085709	speech	42	audio/story-42.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3413.087000	227.629000	3413087	speech	43	audio/story-43.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3701.511000	282.867000	3701511	speech	44	audio/story-44.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4047.876000	289.325000	4047876	speech	45	audio/story-45.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4405.717000	278.119000	4405717	speech	46	audio/story-46.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4741.654000	281.597000	4741654	speech	47	audio/story-47.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5081.013000	193.377000	5081013	speech	48	audio/story-48.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5307.671000	282.555000	5307671	speech	49	audio/story-49.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5654.799000	285.699000	5654799	speech	50	audio/story-50.mp3	1	last_adjacent_pair_with_duration_ge_150_s
