index	onset	offset	duration	pinyin	hanzi
1	0.970	1.200	0.230	zhong1	钟
2	1.200	1.340	0.140	hui4	会
3	1.340	1.530	0.190	suan4	算
4	1.530	1.590	0.060	ge4	个
5	1.590	1.750	0.160	shen2	什
6	1.750	1.900	0.150	me5	么
7	2.500	2.680	0.180	deng4	邓
8	2.680	2.830	0.150	ai4	艾
9	2.830	3.000	0.170	bu4	不
10	3.000	3.100	0.100	ba3	把
11	3.100	3.180	0.080	ta1	他
12	3.180	3.360	0.180	fang4	放
13	3.360	3.460	0.100	zai4	在
14	3.460	3.660	0.200	yan3	眼
15	3.660	3.820	0.160	li3	里
16	4.160	4.280	0.120	ta1	他
17	4.280	4.460	0.180	zhi2	直
18	4.460	4.580	0.120	jie1	接
19	4.580	4.840	0.260	shang4	上
20	4.840	4.990	0.150	shu1	书
21	4.990	5.100	0.110	gei3	给
22	5.100	5.260	0.160	si1	司
23	5.260	5.430	0.170	ma3	马
24	5.430	5.680	0.250	zhao1	昭
25	6.020	6.180	0.160	yao1	要
26	6.180	6.310	0.130	qiu2	求
27	6.310	6.510	0.200	rang4	让
28	6.510	6.660	0.150	zi4	自
29	6.660	6.750	0.090	ji3	己
30	6.750	6.950	0.200	ma3	马
31	6.950	7.130	0.180	shang4	上
32	7.130	7.310	0.180	dai4	带
33	7.310	7.520	0.210	bing1	兵
34	7.520	7.750	0.230	cong2	从
35	7.750	7.920	0.170	yi4	益
36	7.920	8.090	0.170	zhou1	州
37	8.090	8.310	0.220	zhi2	直
38	8.310	8.490	0.180	xia4	下
39	8.490	8.650	0.160	dong1	东
40	8.650	8.900	0.250	wu2	吴
41	9.110	9.360	0.250	lian2	连
42	9.360	9.560	0.200	wu2	吴
43	9.560	9.740	0.180	guo2	国
44	9.740	9.850	0.110	ye3	也
45	9.850	10.000	0.150	yi1	一
46	10.000	10.070	0.070	kuai4	块
47	10.070	10.180	0.110	er2	儿
48	10.180	10.400	0.220	mie4	灭
49	10.400	10.530	0.130	le5	了
50	11.590	11.780	0.190	guo4	过
51	11.780	11.870	0.090	le5	了
52	11.870	12.030	0.160	xie1	些
53	12.030	12.200	0.170	ri4	日
54	12.200	12.390	0.190	zi5	子
55	12.520	12.660	0.140	gei3	给
56	12.660	12.960	0.300	jiang1	姜
57	12.960	13.080	0.120	wei2	维
58	13.080	13.290	0.210	xia4	下
59	13.290	13.500	0.210	zhao4	诏
60	13.500	13.690	0.190	shu1	书
61	13.690	13.770	0.080	de5	的
62	13.770	13.890	0.120	ren2	人
63	13.890	14.050	0.160	hui2	回
64	14.050	14.160	0.110	lai2	来
65	14.160	14.400	0.240	shuo1	说
66	14.930	15.170	0.240	jiang1	姜
67	15.170	15.300	0.130	wei2	维
68	15.300	15.460	0.160	jie1	接
69	15.460	15.570	0.110	dao4	到
70	15.570	15.770	0.200	liu2	刘
71	15.770	15.930	0.160	chan2	禅
72	15.930	16.010	0.080	de5	的
73	16.010	16.210	0.200	zhao4	诏
74	16.210	16.460	0.250	shu1	书
75	16.650	16.740	0.090	yi3	已
76	16.740	16.910	0.170	jing1	经
77	16.910	17.160	0.250	tou2	投
78	17.160	17.340	0.180	xiang2	降
79	17.340	17.430	0.090	le5	了
80	17.430	17.600	0.170	zhong1	钟
81	17.600	17.820	0.220	hui4	会
82	17.820	17.960	0.140	le5	了
83	18.650	18.840	0.190	deng4	邓
84	18.840	19.010	0.170	ai4	艾
85	19.010	19.130	0.120	yi1	一
86	19.130	19.310	0.180	ting1	听
87	19.310	19.400	0.090	jiu4	就
88	19.400	19.530	0.130	bu4	不
89	19.530	19.710	0.180	gao1	高
90	19.710	19.960	0.250	xing4	兴
91	20.300	20.410	0.110	ren4	认
92	20.410	20.500	0.090	wei2	为
93	20.500	20.750	0.250	jiang1	姜
94	20.750	20.860	0.110	wei2	维
95	20.860	21.130	0.270	qiao2	瞧
96	21.130	21.230	0.100	bu4	不
97	21.230	21.450	0.220	qi3	起
98	21.450	21.640	0.190	ta1	他
99	22.600	22.790	0.190	si1	司
100	22.790	22.950	0.160	ma3	马
101	22.950	23.150	0.200	zhao1	昭
102	23.150	23.270	0.120	ye3	也
103	23.270	23.490	0.220	pai4	派
104	23.490	23.610	0.120	ren2	人
105	23.610	23.710	0.100	lai2	来
106	23.710	23.940	0.230	gao4	告
107	23.940	24.070	0.130	su4	诉
108	24.070	24.240	0.170	ta1	他
109	24.510	24.640	0.130	bu4	不
110	24.640	24.840	0.200	dan4	但
111	24.840	24.950	0.110	bu4	不
112	24.950	25.090	0.140	rang4	让
113	25.090	25.170	0.080	ta1	他
114	25.170	25.390	0.220	jin4	进
115	25.390	25.560	0.170	gong1	攻
116	25.560	25.780	0.220	dong1	东
117	25.780	25.980	0.200	wu2	吴
118	26.110	26.280	0.170	hai2	还
119	26.280	26.530	0.250	jiao4	教
120	26.530	26.670	0.140	xun4	训
121	26.670	26.750	0.080	ta1	他
122	26.750	26.900	0.150	yi3	以
123	26.900	27.060	0.160	hou4	后
124	27.060	27.300	0.240	ban4	办
125	27.300	27.480	0.180	shi4	事
126	27.480	27.650	0.170	bi4	必
127	27.650	27.780	0.130	xu1	须
128	27.780	28.010	0.230	xian1	先
129	28.010	28.140	0.130	bao4	报
130	28.140	28.450	0.310	gao4	告
131	28.510	28.630	0.120	bu4	不
132	28.630	28.770	0.140	ke3	可
133	28.770	28.960	0.190	zi4	自
134	28.960	29.090	0.130	zuo4	作
135	29.090	29.260	0.170	zhu3	主
136	29.260	29.520	0.260	zhang1	张
137	30.100	30.280	0.180	deng4	邓
138	30.280	30.420	0.140	ai4	艾
139	30.420	30.690	0.270	geng4	更
140	30.690	30.810	0.120	bu4	不
141	30.810	31.010	0.200	yuan4	愿
142	31.010	31.080	0.070	yi4	意
143	31.080	31.240	0.160	le5	了
144	31.580	31.780	0.200	si1	私
145	31.780	31.950	0.170	xia4	下
146	31.950	32.050	0.100	li3	里
147	32.050	32.220	0.170	fa1	发
148	32.220	32.390	0.170	lao2	牢
149	32.390	32.530	0.140	sao1	骚
150	32.530	32.750	0.220	shuo1	说
151	33.840	34.000	0.160	da4	大
152	34.000	34.170	0.170	jiang4	将
153	34.170	34.280	0.110	zai4	在
154	34.280	34.460	0.180	wai4	外
155	34.460	34.690	0.230	bian1	边
