index	onset	offset	duration	pinyin	hanzi
1	0.960	1.230	0.270	cao2	曹
2	1.230	1.410	0.180	cao1	操
3	1.410	1.590	0.180	kan4	看
4	1.590	1.660	0.070	le5	了
5	1.660	1.880	0.220	sun1	孙
6	1.880	2.050	0.170	quan2	权
7	2.050	2.120	0.070	de5	的
8	2.120	2.410	0.290	xin4	信
9	2.510	2.710	0.200	zha3	眨
10	2.710	2.820	0.110	ba1	巴
11	2.820	2.980	0.160	zha3	眨
12	2.980	3.100	0.120	ba1	巴
13	3.100	3.370	0.270	yan3	眼
14	3.370	3.620	0.250	jing1	睛
15	3.810	4.020	0.210	le4	乐
16	4.020	4.150	0.130	le5	了
17	4.810	4.900	0.090	ta1	他
18	4.900	5.010	0.110	ba3	把
19	5.010	5.220	0.210	xin4	信
20	5.220	5.340	0.120	gei3	给
21	5.340	5.580	0.240	zuo3	左
22	5.580	5.710	0.130	you4	右
23	5.710	5.790	0.080	de5	的
24	5.790	5.930	0.140	ren2	人
25	5.930	6.220	0.290	kan4	看
26	6.380	6.650	0.270	shuo1	说
27	7.730	8.070	0.340	sun1	孙
28	8.070	8.300	0.230	quan2	权
29	8.300	8.390	0.090	zhe4	这
30	8.390	8.640	0.250	xiao3	小
31	8.640	8.730	0.090	zi5	子
32	9.310	9.460	0.150	shi4	是
33	9.460	9.550	0.090	yao4	要
34	9.550	9.740	0.190	ba3	把
35	9.740	9.860	0.120	wo3	我
36	9.860	10.070	0.210	fang4	放
37	10.070	10.160	0.090	zai4	在
38	10.160	10.420	0.260	huo3	火
39	10.420	10.600	0.180	lu2	炉
40	10.600	10.680	0.080	zi5	子
41	10.680	10.840	0.160	shang4	上
42	10.840	11.260	0.420	kao3	烤
43	11.260	11.300	0.040	wa5	哇
44	12.660	12.840	0.180	da4	大
45	12.840	12.960	0.120	huo3	伙
46	12.960	13.060	0.100	er2	儿
47	13.060	13.130	0.070	yi1	一
48	13.130	13.330	0.200	ting1	听
49	13.330	13.520	0.190	dou1	都
50	13.520	13.710	0.190	ji2	急
51	13.710	13.790	0.080	zhe5	着
52	13.790	14.020	0.230	shuo1	说
53	15.120	15.440	0.320	han4	汉
54	15.440	15.610	0.170	chao2	朝
55	15.610	15.720	0.110	de5	的
56	15.720	15.960	0.240	qi4	气
57	15.960	16.130	0.170	shu4	数
58	16.130	16.200	0.070	yi3	已
59	16.200	16.380	0.180	jing1	经
60	16.380	16.580	0.200	wan2	完
61	16.580	16.800	0.220	le5	了
62	17.410	17.540	0.130	nin2	您
63	17.540	17.620	0.080	de5	的
64	17.620	17.810	0.190	gong1	功
65	17.810	17.940	0.130	lao2	劳
66	17.940	18.070	0.130	zhe4	这
67	18.070	18.200	0.130	me5	么
68	18.200	18.410	0.210	da4	大
69	18.500	18.710	0.210	zhen1	真
70	18.710	18.830	0.120	shi4	是
71	18.830	19.090	0.260	zhong4	众
72	19.090	19.220	0.130	wang4	望
73	19.220	19.400	0.180	suo3	所
74	19.400	19.720	0.320	gui1	归
75	20.230	20.430	0.200	lian2	连
76	20.430	20.630	0.200	yuan3	远
77	20.630	20.740	0.110	zai4	在
78	20.740	21.000	0.260	jiang1	江
79	21.000	21.120	0.120	nan2	南
80	21.120	21.190	0.070	de5	的
81	21.190	21.440	0.250	sun1	孙
82	21.440	21.680	0.240	quan2	权
83	21.680	21.790	0.110	dou1	都
84	21.790	21.960	0.170	zi4	自
85	21.960	22.120	0.160	cheng1	称
86	22.120	22.370	0.250	chen2	臣
87	22.370	22.580	0.210	xia4	下
88	22.580	22.720	0.140	le5	了
89	23.090	23.190	0.100	nin2	您
90	23.190	23.310	0.120	hai2	还
91	23.310	23.470	0.160	you2	犹
92	23.470	23.550	0.080	yu4	豫
93	23.550	23.730	0.180	shen2	什
94	23.730	23.800	0.070	me5	么
95	23.800	23.990	0.190	na4	呐
96	25.210	25.460	0.250	cao2	曹
97	25.460	25.660	0.200	cao1	操
98	25.660	25.830	0.170	lv3	捋
99	25.830	25.920	0.090	zhe5	着
100	25.920	26.200	0.280	hu2	胡
101	26.200	26.350	0.150	zi5	子
102	26.540	26.750	0.210	man4	慢
103	26.750	26.950	0.200	teng2	腾
104	26.950	27.090	0.140	teng2	腾
105	27.090	27.160	0.070	di4	地
106	27.160	27.390	0.230	shuo1	说
107	28.550	28.680	0.130	yao4	要
108	28.680	28.860	0.180	zhen1	真
109	28.860	28.970	0.110	shi4	是
110	28.970	29.120	0.150	zhe4	这
111	29.120	29.400	0.280	yang4	样
112	29.830	29.940	0.110	wo3	我
113	29.940	30.040	0.100	jiu4	就
114	30.040	30.210	0.170	shi4	是
115	30.210	30.400	0.190	zhou1	周
116	30.400	30.570	0.170	wen2	文
117	30.570	30.760	0.190	wang2	王
118	30.760	30.910	0.150	le5	了
119	32.150	32.370	0.220	zhou1	周
120	32.370	32.520	0.150	wen2	文
121	32.520	32.710	0.190	wang2	王
122	32.710	32.830	0.120	zai4	在
123	32.830	33.100	0.270	shang1	商
124	33.100	33.290	0.190	chao2	朝
125	33.290	33.560	0.270	kuai4	快
