index	onset	offset	duration	pinyin	hanzi
1	1.020	1.280	0.260	hui4	会
2	1.280	1.400	0.120	ji1	稽
3	1.400	1.580	0.180	ren2	人
4	1.580	1.750	0.170	zuo4	坐
5	1.750	2.010	0.260	chuan2	船
6	2.010	2.130	0.120	zai4	在
7	2.130	2.370	0.240	hai3	海
8	2.370	2.540	0.170	shang4	上
9	2.540	2.740	0.200	peng4	碰
10	2.740	2.830	0.090	dao4	到
11	2.830	3.040	0.210	gua1	刮
12	3.040	3.190	0.150	da4	大
13	3.190	3.430	0.240	feng1	风
14	3.650	3.780	0.130	ye3	也
15	3.780	3.860	0.080	you3	有
16	3.860	4.050	0.190	bu4	不
17	4.050	4.250	0.200	shao3	少
18	4.250	4.400	0.150	dao4	到
19	4.400	4.580	0.180	yi2	夷
20	4.580	4.760	0.180	zhou1	州
21	4.760	4.900	0.140	qu4	去
22	4.900	5.060	0.160	bi4	避
23	5.060	5.320	0.260	nan4	难
24	5.320	5.440	0.120	de5	的
25	5.850	5.880	0.030	wu2	吴
26	6.320	6.450	0.130	guo2	国
27	6.450	6.530	0.080	de5	的
28	6.530	6.760	0.230	hai3	海
29	6.760	6.990	0.230	chuan2	船
30	6.990	7.130	0.140	dao4	到
31	7.130	7.230	0.100	le5	了
32	7.230	7.420	0.190	yi2	夷
33	7.420	7.660	0.240	zhou1	州
34	7.980	8.110	0.130	yi2	夷
35	8.110	8.280	0.170	zhou1	州
36	8.280	8.480	0.200	gen1	跟
37	8.480	8.660	0.180	da4	大
38	8.660	8.800	0.140	lu4	陆
39	8.800	8.890	0.090	de5	的
40	8.890	9.120	0.230	lian2	联
41	9.120	9.260	0.140	xi4	系
42	9.260	9.390	0.130	jiu4	就
43	9.390	9.640	0.250	geng4	更
44	9.640	9.810	0.170	mi4	密
45	9.810	10.010	0.200	qie4	切
46	10.010	10.130	0.120	le5	了
47	11.240	11.450	0.210	gong1	公
48	11.450	11.600	0.150	yuan2	元
49	11.600	12.210	0.610	234	234
50	12.210	12.450	0.240	nian2	年
51	12.700	12.940	0.240	shu3	蜀
52	12.940	13.100	0.160	guo2	国
53	13.100	13.330	0.230	cheng2	丞
54	13.330	13.540	0.210	xiang4	相
55	13.540	13.690	0.150	zhu1	诸
56	13.690	13.810	0.120	ge3	葛
57	13.810	14.030	0.220	liang4	亮
58	14.030	14.160	0.130	da3	打
59	14.160	14.300	0.140	fa1	发
60	14.300	14.510	0.210	shi3	使
61	14.510	14.650	0.140	zhe3	者
62	14.650	14.770	0.120	dao4	到
63	14.770	15.050	0.280	jian4	建
64	15.050	15.220	0.170	ye4	业
65	15.770	15.850	0.080	yue1	约
66	15.850	16.120	0.270	wu2	吴
67	16.120	16.290	0.170	guo2	国
68	16.290	16.440	0.150	gen1	跟
