index	onset	offset	duration	pinyin	hanzi
1	0.980	1.150	0.170	liu2	刘
2	1.150	1.340	0.190	bei4	备
3	1.340	1.470	0.130	zhi3	只
4	1.470	1.660	0.190	hao3	好
5	1.660	1.860	0.200	zhu3	嘱
6	1.860	2.000	0.140	fu4	咐
7	2.000	2.190	0.190	xiao3	小
8	2.190	2.390	0.200	hai2	孩
9	2.390	2.470	0.080	er2	儿
10	2.470	2.870	0.400	shuo1	说
11	4.010	4.180	0.170	qing3	请
12	4.180	4.350	0.170	gao4	告
13	4.350	4.500	0.150	su4	诉
14	4.500	4.640	0.140	zhu1	诸
15	4.640	4.760	0.120	ge3	葛
16	4.760	5.010	0.250	xian1	先
17	5.010	5.390	0.380	sheng1	生
18	5.750	5.880	0.130	liu2	刘
19	5.880	6.030	0.150	bei4	备
20	6.030	6.220	0.190	te4	特
21	6.220	6.350	0.130	lai2	来
22	6.350	6.540	0.190	bai4	拜
23	6.540	6.910	0.370	fang3	访
24	8.120	8.260	0.140	guo4	过
25	8.260	8.370	0.110	le5	了
26	8.370	8.510	0.140	ji3	几
27	8.510	8.880	0.370	tian1	天
28	9.090	9.260	0.170	ta1	他
29	9.260	9.420	0.160	he2	和
30	9.420	9.680	0.260	guan1	关
31	9.680	9.960	0.280	yu3	羽
32	10.020	10.260	0.240	zhang1	张
33	10.260	10.430	0.170	fei1	飞
34	10.430	10.530	0.100	you4	又
35	10.530	10.660	0.130	lai2	来
36	10.660	10.790	0.130	dao4	到
37	10.790	11.010	0.220	long2	隆
38	11.010	11.430	0.420	zhong1	中
39	12.250	12.280	0.030	yi1	一
40	12.280	12.480	0.200	da3	打
41	12.480	12.730	0.250	ting1	听
42	12.730	12.790	0.060	zhu1	诸
43	13.300	13.410	0.110	ge3	葛
44	13.410	13.590	0.180	liang4	亮
45	13.590	13.730	0.140	hui2	回
46	13.730	13.850	0.120	lai2	来
47	13.850	13.980	0.130	mei2	没
48	13.980	14.080	0.100	you3	有
49	14.080	14.270	0.190	ji3	几
50	14.270	14.640	0.370	tian1	天
51	14.740	14.870	0.130	you4	又
52	14.870	15.060	0.190	chu1	出
53	15.060	15.270	0.210	men2	门
54	15.270	15.420	0.150	qu4	去
55	15.420	15.660	0.240	le5	了
56	16.770	16.900	0.130	liu2	刘
57	16.900	17.060	0.160	bei4	备
58	17.060	17.260	0.200	pai1	拍
59	17.260	17.350	0.090	zhe5	着
60	17.350	17.510	0.160	nao3	脑
61	17.510	17.770	0.260	men2	门
62	17.770	17.890	0.120	zi5	子
63	18.280	18.380	0.100	zhi2	直
64	18.380	18.600	0.220	man2	埋
65	18.600	18.740	0.140	yuan4	怨
66	18.740	18.880	0.140	zi4	自
67	18.880	18.990	0.110	ji3	己
68	18.990	19.070	0.080	de5	的
69	19.070	19.240	0.170	yun4	运
70	19.240	19.380	0.140	qi4	气
71	19.380	19.500	0.120	bu4	不
72	19.500	19.840	0.340	hao3	好
73	20.580	20.670	0.090	ta1	他
74	20.670	20.810	0.140	gei3	给
75	20.810	20.950	0.140	zhu1	诸
76	20.950	21.060	0.110	ge3	葛
77	21.060	21.230	0.170	liang4	亮
78	21.230	21.390	0.160	jia1	家
79	21.390	21.520	0.130	li3	里
80	21.520	21.680	0.160	liu2	留
81	21.680	21.760	0.080	le5	了
82	21.760	21.860	0.100	ge4	个
83	21.860	22.180	0.320	hua4	话
84	22.750	22.860	0.110	shuo1	说
85	22.860	23.070	0.210	deng3	等
86	23.070	23.180	0.110	guo4	过
87	23.180	23.350	0.170	xie1	些
88	23.350	23.520	0.170	ri4	日
89	23.520	23.630	0.110	zi5	子
90	23.630	23.760	0.130	ta1	他
91	23.760	23.960	0.200	hai2	还
92	23.960	24.070	0.110	yao4	要
93	24.070	24.440	0.370	lai2	来
94	25.500	25.660	0.160	liu2	刘
95	25.660	25.840	0.180	bei4	备
96	25.840	25.990	0.150	di4	第
97	25.990	26.220	0.230	san1	三
98	26.220	26.360	0.140	ci4	次
99	26.360	26.500	0.140	dao4	到
100	26.500	26.700	0.200	long2	隆
101	26.700	26.860	0.160	zhong1	中
102	26.860	26.950	0.090	de5	的
103	26.950	27.090	0.140	shi2	时
104	27.090	27.290	0.200	hou4	候
105	27.830	27.900	0.070	zhu1	诸
106	27.900	28.030	0.130	ge3	葛
107	28.030	28.220	0.190	liang4	亮
108	28.220	28.360	0.140	zheng4	正
109	28.360	28.470	0.110	zai4	在
110	28.470	28.720	0.250	jia1	家
111	28.720	29.090	0.370	li3	里
112	29.610	29.700	0.090	ta1	他
113	29.700	29.880	0.180	ting1	听
114	29.880	30.010	0.130	shuo1	说
115	30.010	30.180	0.170	liu2	刘
116	30.180	30.320	0.140	bei4	备
117	30.320	30.590	0.270	lai2	来
118	30.590	30.760	0.170	le5	了
119	31.010	31.140	0.130	jiu4	就
120	31.140	31.330	0.190	gan3	赶
121	31.330	31.480	0.150	jin3	紧
122	31.480	31.670	0.190	cong2	从
123	31.670	31.750	0.080	wu1	屋
124	31.750	31.870	0.120	li3	里
125	31.870	32.090	0.220	ying2	迎
126	32.090	32.240	0.150	chu1	出
127	32.240	32.480	0.240	lai2	来
128	32.700	32.850	0.150	xiao4	笑
129	32.940	33.030	0.090	zhe5	着
130	33.030	33.410	0.380	shuo1	说
131	34.550	34.730	0.180	jiang1	将
132	34.730	34.890	0.160	jun1	军
133	34.890	35.110	0.220	san1	三
134	35.110	35.250	0.140	ci4	次
135	35.250	35.380	0.130	dao4	到
136	35.380	35.470	0.090	wo3	我
137	35.470	35.590	0.120	zhe4	这
138	35.590	35.790	0.200	mao2	茅
139	35.790	35.950	0.160	lu2	庐
140	35.950	36.100	0.150	li3	里
141	36.100	36.400	0.300	lai2	来
142	36.780	36.890	0.110	zhen1	真
143	36.890	37.030	0.140	rang4	让
144	37.030	37.100	0.070	wo3	我
145	37.100	37.300	0.200	guo4	过
146	37.300	37.380	0.080	yi4	意
147	37.380	37.520	0.140	bu4	不
148	37.520	38.000	0.480	qu4	去
149	38.720	38.770	0.050	wo3	我
150	38.770	38.970	0.200	nian2	年
151	38.970	39.100	0.130	ji4	纪
152	39.100	39.310	0.210	qing1	轻
