index	onset	offset	duration	pinyin	hanzi
1	0.990	1.150	0.160	da3	打
2	1.150	1.260	0.110	le5	了
3	1.260	1.470	0.210	ban4	半
4	1.470	1.830	0.360	tian1	天
5	2.120	2.300	0.180	liang3	两
6	2.300	2.390	0.090	ge4	个
7	2.390	2.520	0.130	ren2	人
8	2.520	2.610	0.090	ye3	也
9	2.610	2.770	0.160	mei2	没
10	2.770	2.960	0.190	fen1	分
11	2.960	3.060	0.100	chu1	出
12	3.060	3.130	0.070	ge4	个
13	3.130	3.380	0.250	sheng4	胜
14	3.380	3.560	0.180	fu4	负
15	3.560	3.740	0.180	tai4	太
16	4.810	4.920	0.110	shi3	史
17	4.920	5.090	0.170	ci2	慈
18	5.090	5.260	0.170	xiang3	想
19	5.260	5.360	0.100	ba3	把
20	5.360	5.600	0.240	sun1	孙
21	5.600	5.750	0.150	ce4	策
22	5.750	5.920	0.170	yin3	引
23	5.920	6.020	0.100	dao4	到
24	6.020	6.270	0.250	ping2	平
25	6.270	6.450	0.180	di4	地
26	6.450	6.850	0.400	shang4	上
27	7.120	7.350	0.230	pai1	拍
28	7.350	7.500	0.150	ma3	马
29	7.500	7.750	0.250	zhuan3	转
30	7.750	7.930	0.180	shen1	身
31	7.930	8.030	0.100	jiu4	就
32	8.030	8.210	0.180	jia1	加
33	8.210	8.420	0.210	bian1	鞭
34	8.420	8.530	0.110	wang3	往
35	8.530	8.720	0.190	hui2	回
36	8.720	9.070	0.350	pao3	跑
37	9.800	10.000	0.200	sun1	孙
38	10.000	10.130	0.130	ce4	策
39	10.130	10.260	0.130	na3	哪
40	10.260	10.350	0.090	er2	儿
41	10.350	10.530	0.180	ken3	肯
42	10.530	10.760	0.230	fang4	放
43	10.760	10.980	0.220	guo4	过
44	11.270	11.430	0.160	li4	立
45	11.430	11.590	0.160	ke4	刻
46	11.590	11.760	0.170	zhui1	追
47	11.760	11.900	0.140	le5	了
48	11.900	12.110	0.210	shang4	上
49	12.110	12.270	0.160	qu4	去
50	13.490	13.660	0.170	dao4	到
51	13.660	13.760	0.100	le5	了
52	13.760	13.960	0.200	ling3	岭
53	13.960	14.130	0.170	xia4	下
54	14.130	14.220	0.090	de5	的
55	14.220	14.460	0.240	ping2	平
56	14.460	14.650	0.190	di4	地
57	14.650	15.100	0.450	shang4	上
58	15.470	15.610	0.140	tai4	太
59	15.610	15.810	0.200	shi3	史
60	15.810	16.020	0.210	ci2	慈
61	16.020	16.170	0.150	diao4	掉
62	16.170	16.300	0.130	guo4	过
63	16.300	16.470	0.170	ma3	马
64	16.470	16.660	0.190	tou2	头
65	16.660	16.860	0.200	ju3	举
66	16.860	17.070	0.210	qiang1	枪
67	17.070	17.200	0.130	jiu4	就
68	17.200	17.430	0.230	ci4	刺
69	17.430	17.690	0.260	zheng4	正
70	18.410	18.580	0.170	gan3	赶
71	18.580	18.740	0.160	shang4	上
72	18.740	18.960	0.220	sun1	孙
73	18.960	19.130	0.170	ce4	策
74	19.130	19.350	0.220	meng3	猛
75	19.350	19.430	0.080	de5	的
76	19.430	19.570	0.140	yi1	一
77	19.570	19.800	0.230	qiang1	枪
78	19.800	19.940	0.140	chao2	朝
79	19.940	20.060	0.120	ta1	他
80	20.060	20.150	0.090	de5	的
81	20.150	20.330	0.180	ma3	马
82	20.330	20.570	0.240	ci4	刺
83	20.570	20.700	0.130	guo4	过
84	20.700	20.890	0.190	qu4	去
85	21.880	22.020	0.140	tai4	太
86	22.020	22.220	0.200	shi3	史
87	22.220	22.370	0.150	ci2	慈
88	22.370	22.590	0.220	mang2	忙
89	22.590	22.720	0.130	di1	低
90	22.720	22.870	0.150	tou2	头
91	22.870	23.000	0.130	yi1	一
92	23.000	23.160	0.160	duo3	躲
93	23.160	23.590	0.430	shan3	闪
94	24.190	24.400	0.210	sun1	孙
95	24.400	24.560	0.160	ce4	策
96	24.560	24.750	0.190	shou3	手
97	24.750	24.920	0.170	ji2	疾
98	24.920	25.090	0.170	yan3	眼
99	25.090	25.340	0.250	kuai4	快
100	25.620	25.720	0.100	ba3	把
101	25.720	25.840	0.120	ta1	他
102	25.840	26.010	0.170	bei4	背
103	26.010	26.170	0.160	shang4	上
104	26.170	26.260	0.090	de5	的
105	26.260	26.460	0.200	duan3	短
106	26.460	26.630	0.170	ji3	戟
107	26.630	26.880	0.250	chou1	抽
108	26.880	27.020	0.140	chu1	出
109	27.020	27.180	0.160	lai2	来
110	27.180	27.360	0.180	le5	了
111	27.390	27.450	0.060	jiu4	就
112	28.650	28.760	0.110	zai4	在
113	28.760	28.950	0.190	zhe4	这
114	28.950	29.180	0.230	gong1	工
115	29.180	29.410	0.230	fu5	夫
116	29.410	29.510	0.100	tai4	太
117	30.040	30.200	0.160	shi3	史
118	30.200	30.360	0.160	ci2	慈
119	30.360	30.480	0.120	ye3	也
