index	onset	offset	duration	pinyin	hanzi
1	1.030	1.280	0.250	shu3	蜀
2	1.280	1.440	0.160	guo2	国
3	1.440	1.550	0.110	de5	的
4	1.550	1.860	0.310	jiang3	蒋
5	1.860	2.090	0.230	wan3	琬
6	2.300	2.480	0.180	fei4	费
7	2.480	2.690	0.210	yi1	祎
8	2.690	2.840	0.150	zhe4	这
9	2.840	2.970	0.130	shi2	时
10	2.970	3.080	0.110	hou4	候
11	3.080	3.220	0.140	dou1	都
12	3.220	3.460	0.240	si3	死
13	3.460	3.590	0.130	le5	了
14	4.360	4.620	0.260	jiang1	姜
15	4.620	4.770	0.150	wei2	维
16	4.770	4.940	0.170	dang1	当
17	4.940	5.030	0.090	le5	了
18	5.030	5.180	0.150	da4	大
19	5.180	5.420	0.240	jiang1	将
20	5.420	5.640	0.220	jun1	军
21	5.750	5.870	0.120	ji4	继
22	5.870	6.130	0.260	xu4	续
23	6.130	6.240	0.110	zhe5	着
24	6.240	6.400	0.160	zhu1	诸
25	6.400	6.520	0.120	ge3	葛
26	6.520	6.680	0.160	liang4	亮
27	6.680	6.740	0.060	de5	的
28	6.740	6.990	0.250	shi4	事
29	6.990	7.180	0.190	ye4	业
30	7.320	7.670	0.350	hao3	好
31	7.670	7.840	0.170	duo1	多
32	7.840	8.020	0.180	ci4	次
33	8.020	8.200	0.180	chu1	出
34	8.200	8.370	0.170	bing1	兵
35	8.370	8.540	0.170	bei3	北
36	8.540	8.850	0.310	fa2	伐
37	9.610	9.760	0.150	sui1	虽
38	9.760	9.880	0.120	shuo1	说
39	9.880	10.070	0.190	da3	打
40	10.070	10.180	0.110	le5	了
41	10.180	10.320	0.140	ji3	几
42	10.320	10.460	0.140	ci4	次
43	10.460	10.680	0.220	sheng4	胜
44	10.680	10.890	0.210	zhang4	仗
45	11.270	11.380	0.110	ke3	可
46	11.380	11.670	0.290	shu3	蜀
47	11.670	11.820	0.150	guo2	国
48	11.820	11.910	0.090	de5	的
49	11.910	12.060	0.150	li4	力
50	12.060	12.220	0.160	liang4	量
51	12.220	12.440	0.220	tai4	太
52	12.440	12.710	0.270	ruo4	弱
53	12.710	12.830	0.120	le5	了
54	12.980	13.160	0.180	bei3	北
55	13.160	13.320	0.160	fa2	伐
56	13.320	13.520	0.200	mei2	没
57	13.520	13.640	0.120	fa3	法
58	13.640	13.710	0.070	er2	儿
