index	onset	offset	duration	pinyin	hanzi
1	0.980	1.200	0.220	zhong1	钟
2	1.200	1.360	0.160	hui4	会
3	1.360	1.590	0.230	zhao2	着
4	1.590	1.740	0.150	ji2	急
5	1.740	1.840	0.100	di4	地
6	1.840	1.970	0.130	dui4	对
7	1.970	2.220	0.250	jiang1	姜
8	2.220	2.340	0.120	wei2	维
9	2.340	2.580	0.240	shuo1	说
10	3.720	3.990	0.270	shi4	士
11	3.990	4.150	0.160	bing1	兵
12	4.150	4.400	0.250	pan4	叛
13	4.400	4.610	0.210	bian4	变
14	4.610	4.750	0.140	le5	了
15	5.000	5.110	0.110	zen3	怎
16	5.110	5.190	0.080	me5	么
17	5.190	5.450	0.260	ban4	办
18	6.690	6.910	0.220	jiang1	姜
19	6.910	7.040	0.130	wei2	维
20	7.040	7.300	0.260	shuo1	说
21	8.460	8.610	0.150	mei2	没
22	8.610	8.780	0.170	bie2	别
23	8.780	8.870	0.090	de5	的
24	8.870	9.070	0.200	fa3	法
25	9.070	9.160	0.090	zi5	子
26	9.550	9.610	0.060	na4	那
27	9.610	9.720	0.110	jiu4	就
28	9.720	9.950	0.230	da3	打
29	9.950	10.110	0.160	ba5	吧
30	11.360	11.560	0.200	zhong1	钟
31	11.560	11.710	0.150	hui4	会
32	11.710	11.880	0.170	jiao4	叫
33	11.880	12.040	0.160	ren2	人
34	12.040	12.150	0.110	ba3	把
35	12.150	12.370	0.220	dian4	殿
36	12.370	12.530	0.160	men2	门
37	12.530	12.770	0.240	guan1	关
38	12.770	12.960	0.190	shang4	上
39	13.240	13.410	0.170	ming4	命
40	13.410	13.590	0.180	ling4	令
41	13.590	13.760	0.170	wei4	卫
42	13.760	13.880	0.120	shi4	士
43	13.880	14.010	0.130	men5	们
44	14.010	14.220	0.210	pa2	爬
45	14.220	14.440	0.220	shang4	上
46	14.440	14.560	0.120	wu1	屋
47	14.560	14.790	0.230	ding3	顶
48	15.030	15.200	0.170	wang3	往
49	15.200	15.340	0.140	xia4	下
50	15.340	15.550	0.210	reng1	扔
51	15.550	15.750	0.200	sui4	碎
52	15.750	15.970	0.220	zhuan1	砖
53	15.970	16.160	0.190	tou2	头
54	16.320	16.570	0.250	lan4	烂
55	16.570	16.710	0.140	wa3	瓦
56	16.710	17.020	0.310	pian4	片
57	17.340	17.490	0.150	zhe4	这
58	17.490	17.660	0.170	guan3	管
59	17.660	17.790	0.130	shen2	什
60	17.790	17.850	0.060	me5	么
61	17.850	18.030	0.180	yong4	用
62	18.030	18.110	0.080	na4	呐
63	18.110	18.160	0.050	wai4	外
64	19.020	19.140	0.120	mian4	面
65	19.140	19.200	0.060	de5	的
66	19.200	19.380	0.180	ren2	人
67	19.380	19.430	0.050	yi3	已
68	19.430	19.580	0.150	jing1	经
69	19.580	19.790	0.210	fang4	放
70	19.790	19.900	0.110	qi3	起
71	19.900	20.130	0.230	huo3	火
72	20.130	20.260	0.130	lai2	来
73	20.260	20.380	0.120	le5	了
74	21.070	21.100	0.030	yi1	一
75	21.100	21.330	0.230	zha3	眨
76	21.330	21.470	0.140	ba1	巴
77	21.470	21.550	0.080	yan3	眼
78	21.550	21.640	0.090	er2	儿
79	21.640	21.710	0.070	de5	的
80	21.710	21.930	0.220	gong1	工
81	21.930	22.090	0.160	fu5	夫
82	22.200	22.520	0.320	gong1	宫
83	22.520	22.700	0.180	dian4	殿
84	22.700	22.920	0.220	si4	四
85	22.920	23.130	0.210	mian4	面
86	23.130	23.490	0.360	quan2	全
87	23.490	23.760	0.270	shao1	烧
88	23.760	23.880	0.120	zhe5	着
89	23.880	23.990	0.110	le5	了
90	25.050	25.250	0.200	shi4	士
91	25.250	25.500	0.250	bing1	兵
92	25.500	25.660	0.160	men5	们
93	25.660	25.840	0.180	deng1	登
94	25.840	25.940	0.100	zhe5	着
95	25.940	26.180	0.240	ti1	梯
96	26.180	26.300	0.120	zi5	子
97	26.300	26.530	0.230	sha1	杀
98	26.530	26.700	0.170	jin4	进
99	26.700	26.880	0.180	yuan4	院
100	26.880	26.980	0.100	zi5	子
101	26.980	27.160	0.180	li3	里
102	27.310	27.490	0.180	yi1	一
103	27.490	27.690	0.200	zhen4	阵
104	27.690	27.960	0.270	duan3	短
105	27.960	28.140	0.180	bing1	兵
106	28.140	28.370	0.230	xiang1	相
107	28.370	28.610	0.240	jie1	接
108	28.810	29.040	0.230	zhong1	钟
109	29.040	29.200	0.160	hui4	会
110	29.200	29.400	0.200	si3	死
111	29.400	29.530	0.130	zai4	在
112	29.530	29.770	0.240	luan4	乱
113	29.770	29.950	0.180	jun1	军
114	29.950	30.130	0.180	dang1	当
115	30.130	30.290	0.160	zhong1	中
116	31.080	31.350	0.270	jiang1	姜
117	31.350	31.480	0.130	wei2	维
118	31.480	31.680	0.200	lian2	连
119	31.680	31.870	0.190	sha1	杀
120	31.870	31.980	0.110	le5	了
121	31.980	32.110	0.130	ji3	几
122	32.110	32.210	0.100	ge4	个
123	32.210	32.380	0.170	wei4	魏
124	32.380	32.640	0.260	bing1	兵
125	32.730	32.910	0.180	ke3	可
126	32.910	33.140	0.230	da3	打
127	33.140	33.250	0.110	bu4	不
128	33.250	33.370	0.120	guo4	过
129	33.370	33.480	0.110	na4	那
130	33.480	33.600	0.120	me5	么
131	33.600	33.730	0.130	duo1	多
132	33.730	33.910	0.180	ren2	人
133	34.120	34.290	0.170	lin2	临
134	34.290	34.360	0.070	liao3	了
135	34.360	34.470	0.110	er2	儿
136	34.470	34.570	0.100	ye3	也
137	34.570	34.780	0.210	zhan4	战
138	34.780	34.940	0.160	si3	死
139	34.940	35.060	0.120	le5	了
140	36.120	36.290	0.170	da4	大
141	36.290	36.460	0.170	jia1	家
142	36.460	36.690	0.230	yuan4	怨
143	36.690	36.880	0.190	hen4	恨
144	36.880	37.140	0.260	jiang1	姜
145	37.140	37.270	0.130	wei2	维
146	37.270	37.550	0.280	cuan1	撺
147	37.550	37.690	0.140	duo1	掇
148	37.690	37.890	0.200	zhong1	钟
149	37.890	38.020	0.130	hui4	会
150	38.020	38.250	0.230	fan3	反
151	38.250	38.510	0.260	pan4	叛
152	38.730	38.850	0.120	jiu4	就
153	38.850	38.980	0.130	ba3	把
154	38.980	39.290	0.310	jiang1	姜
155	39.290	39.390	0.100	wei2	维
156	39.390	39.490	0.100	de5	的
157	39.490	39.670	0.180	du3	肚
158	39.670	39.740	0.070	zi5	子
159	39.740	39.990	0.250	la1	拉
160	39.990	40.160	0.170	kai1	开
161	40.690	40.900	0.210	jian4	见
162	40.900	41.020	0.120	ta1	他
163	41.020	41.130	0.110	de5	的
164	41.130	41.320	0.190	dan3	胆
165	41.320	41.550	0.230	te4	特
166	41.550	41.700	0.150	bie2	别
167	41.700	41.900	0.200	da4	大
168	42.050	42.190	0.140	du1	都
169	42.190	42.460	0.270	jing1	惊
170	42.460	42.630	0.170	qi2	奇
171	42.630	42.710	0.080	di4	地
172	42.710	42.940	0.230	shuo1	说
173	44.050	44.150	0.100	guai4	怪
174	44.390	44.460	0.070	bu4	不
175	44.460	44.550	0.090	de2	得
176	44.550	44.830	0.280	jiang1	姜
177	44.830	44.930	0.100	wei2	维
178	44.930	45.070	0.140	zhe4	这
179	45.070	45.180	0.110	me5	么
180	45.180	45.310	0.130	you3	有
181	45.310	45.510	0.200	dan3	胆
182	45.510	45.750	0.240	liang4	量
183	46.340	46.440	0.100	yuan2	原
184	46.440	46.540	0.100	lai2	来
185	46.540	46.690	0.150	ta1	他
186	46.690	46.790	0.100	de5	的
187	46.790	46.980	0.190	dan3	胆
188	46.980	47.110	0.130	you3	有
189	47.110	47.340	0.230	dou4	斗
190	47.340	47.440	0.100	na4	那
191	47.440	47.570	0.130	me5	么
192	47.570	47.830	0.260	da4	大
193	47.830	47.880	0.050	ya5	呀
194	47.880	47.970	0.090	deng4	邓
195	49.350	49.510	0.160	ai4	艾
196	49.510	49.720	0.210	shou3	手
197	49.720	49.860	0.140	xia4	下
198	49.860	49.960	0.100	de5	的
199	49.960	50.210	0.250	jiang4	将
200	50.210	50.350	0.140	shi4	士
201	50.350	50.520	0.170	ti4	替
202	50.520	50.700	0.180	deng4	邓
203	50.700	50.830	0.130	ai4	艾
204	50.830	51.020	0.190	jiao4	叫
205	51.020	51.350	0.330	qu1	屈
206	51.710	51.910	0.200	ji2	急
207	51.910	52.010	0.100	zhe5	着
208	52.010	52.120	0.110	yao4	要
209	52.120	52.230	0.110	ba3	把
210	52.230	52.410	0.180	deng4	邓
