index	onset	offset	duration	pinyin	hanzi
1	0.990	1.200	0.210	dong1	冬
2	1.200	1.290	0.090	zhi4	至
3	1.380	1.510	0.130	zhe4	这
4	1.510	2.000	0.490	tian1	天
5	2.400	2.560	0.160	jiang1	江
6	2.560	2.750	0.190	shang4	上
7	2.750	2.890	0.140	hu1	忽
8	2.890	3.080	0.190	ran2	然
9	3.080	3.260	0.180	gua1	刮
10	3.260	3.430	0.170	qi3	起
11	3.430	3.530	0.100	le5	了
12	3.530	3.660	0.130	yi1	一
13	3.660	3.870	0.210	zhen4	阵
14	3.870	4.020	0.150	zhen4	阵
15	4.020	4.100	0.080	de5	的
16	4.100	4.270	0.170	dong1	东
17	4.270	4.480	0.210	nan2	南
18	4.480	4.710	0.230	feng1	风
19	4.710	4.920	0.210	huang2	黄
20	5.920	6.080	0.160	gai4	盖
21	6.080	6.280	0.200	xian1	先
22	6.280	6.460	0.180	pai4	派
23	6.460	6.590	0.130	ren2	人
24	6.590	6.780	0.190	song4	送
25	6.780	6.970	0.190	xin4	信
26	6.970	7.090	0.120	gei3	给
27	7.090	7.290	0.200	cao2	曹
28	7.290	7.650	0.360	cao1	操
29	8.150	8.270	0.120	shuo1	说
30	8.270	8.450	0.180	jin1	今
31	8.450	8.650	0.200	tian1	天
32	8.650	8.790	0.140	wan3	晚
33	8.790	9.070	0.280	shang4	上
34	9.280	9.510	0.230	ta1	他
35	9.510	9.540	0.030	yao4	要
36	9.540	9.710	0.170	dai4	带
37	9.710	9.820	0.110	zhe5	着
38	9.820	10.040	0.220	liang2	粮
39	10.040	10.260	0.220	chuan2	船
40	10.260	10.400	0.140	dao4	到
41	10.400	10.610	0.210	cao2	曹
42	10.610	10.740	0.130	ying2	营
43	10.740	10.860	0.120	lai2	来
44	10.860	11.030	0.170	tou2	投
45	11.030	11.620	0.590	xiang2	降
46	12.380	12.580	0.200	huang2	黄
47	12.580	12.770	0.190	hun1	昏
48	12.770	12.860	0.090	de5	的
49	12.860	13.030	0.170	shi2	时
50	13.030	13.220	0.190	hou4	候
51	13.530	13.750	0.220	feng1	风
52	13.750	13.890	0.140	yue4	越
53	13.890	14.120	0.230	gua1	刮
54	14.120	14.270	0.150	yue4	越
55	14.270	14.560	0.290	da4	大
56	15.610	15.830	0.220	huang2	黄
57	15.830	15.980	0.150	gai4	盖
58	15.980	16.140	0.160	rang4	让
59	16.140	16.270	0.130	shi4	士
60	16.270	16.500	0.230	bing1	兵
61	16.500	16.680	0.180	men5	们
62	16.680	16.810	0.130	zai4	在
63	16.810	16.980	0.170	mei3	每
64	16.980	17.160	0.180	sou1	艘
65	17.160	17.330	0.170	da4	大
66	17.330	17.540	0.210	chuan2	船
67	17.540	17.700	0.160	hou4	后
68	17.700	17.890	0.190	mian4	面
69	17.890	17.980	0.090	la1	拉
70	17.980	18.180	0.200	shang4	上
71	18.180	18.330	0.150	ji3	几
72	18.330	18.460	0.130	zhi1	只
73	18.460	18.680	0.220	xiao3	小
74	18.680	19.020	0.340	chuan2	船
75	19.020	19.200	0.180	ren2	人
76	19.770	19.880	0.110	dou1	都
77	19.880	20.030	0.150	duo3	躲
78	20.030	20.150	0.120	zai4	在
79	20.150	20.340	0.190	xiao3	小
80	20.340	20.610	0.270	chuan2	船
81	20.610	21.030	0.420	li3	里
82	21.450	21.570	0.120	yi1	一
83	21.570	21.700	0.130	qie4	切
84	21.700	21.840	0.140	dou1	都
85	21.840	22.030	0.190	zhun3	准
86	22.030	22.110	0.080	bei4	备
87	22.110	22.390	0.280	hao3	好
88	22.390	22.620	0.230	le5	了
89	22.980	23.050	0.070	ta1	他
90	23.050	23.280	0.230	xia4	下
91	23.280	23.440	0.160	ling4	令
92	23.440	23.620	0.180	chu1	出
