index	onset	offset	duration	pinyin	hanzi
1	1.080	1.190	0.110	dong3	董
2	1.190	1.330	0.140	zhuo2	卓
3	1.330	1.540	0.210	da3	打
4	1.540	1.660	0.120	le5	了
5	1.660	1.810	0.150	ji3	几
6	1.810	2.030	0.220	ci4	次
7	2.030	2.230	0.200	sheng4	胜
8	2.230	2.520	0.290	zhang4	仗
9	2.870	2.980	0.110	zheng4	正
10	2.980	3.100	0.120	yao4	要
11	3.100	3.240	0.140	gei3	给
12	3.240	3.450	0.210	jiang4	将
13	3.450	3.580	0.130	shi4	士
14	3.580	3.710	0.130	men5	们
15	3.710	3.920	0.210	qing4	庆
16	3.920	4.090	0.170	gong1	功
17	4.090	4.340	0.250	xing2	行
18	4.340	4.730	0.390	shang3	赏
19	5.280	5.390	0.110	bu4	不
20	5.390	5.540	0.150	liao4	料
21	5.540	5.770	0.230	sun1	孙
22	5.770	5.990	0.220	jian1	坚
23	5.990	6.060	0.070	wei4	为
24	6.060	6.180	0.120	le5	了
25	6.180	6.350	0.170	bao4	报
26	6.350	6.540	0.190	shang4	上
27	6.540	6.580	0.040	yi1	一
28	6.580	6.760	0.180	hui2	回
29	6.760	6.870	0.110	de5	的
30	6.870	7.190	0.320	chou2	仇
31	7.520	7.550	0.030	you4	又
32	7.550	7.720	0.170	dai4	带
33	7.720	7.930	0.210	bing1	兵
34	7.930	8.110	0.180	da3	打
35	8.110	8.190	0.080	le5	了
36	8.190	8.370	0.180	guo4	过
37	8.370	8.620	0.250	lai2	来
38	9.540	9.600	0.060	zhe4	这
39	9.600	9.730	0.130	yi1	一
40	9.730	10.070	0.340	hui2	回
41	10.350	10.530	0.180	dong3	董
42	10.530	10.680	0.150	zhuo2	卓
43	10.680	10.860	0.180	chi1	吃
44	10.860	10.970	0.110	le5	了
45	10.970	11.160	0.190	bai4	败
46	11.160	11.420	0.260	zhang4	仗
47	11.420	11.480	0.060	zhi3	只
48	11.830	11.940	0.110	hao3	好
49	11.940	12.110	0.170	li2	离
50	12.110	12.320	0.210	kai1	开
51	12.320	12.480	0.160	luo4	洛
52	12.480	12.830	0.350	yang2	阳
53	13.170	13.310	0.140	dai4	带
54	13.310	13.430	0.120	zhe5	着
55	13.430	13.580	0.150	ren2	人
56	13.580	13.770	0.190	ma3	马
57	13.770	13.930	0.160	wang3	往
58	13.930	14.180	0.250	xi1	西
59	14.180	14.460	0.280	pao3	跑
60	14.460	14.700	0.240	le5	了
61	15.790	15.950	0.160	dao4	到
62	15.950	16.050	0.100	le5	了
63	16.050	16.280	0.230	chang2	长
64	16.280	16.450	0.170	an1	安
65	16.450	16.520	0.070	yi3	以
66	16.520	16.770	0.250	hou4	后
67	17.150	17.330	0.180	ta1	他
68	17.330	17.510	0.180	zi4	自
69	17.510	17.650	0.140	ji3	己
70	17.650	17.830	0.180	dang1	当
71	17.830	17.980	0.150	shang4	上
72	17.980	18.050	0.070	le5	了
73	18.050	18.270	0.220	tai4	太
74	18.270	18.590	0.320	shi1	师
75	18.870	18.970	0.100	ba3	把
76	18.970	19.200	0.230	shui2	谁
77	19.200	19.300	0.100	ye3	也
78	19.300	19.440	0.140	bu4	不
79	19.440	19.640	0.200	fang4	放
80	19.640	19.760	0.120	zai4	在
81	19.760	19.980	0.220	yan3	眼
82	19.980	20.360	0.380	li3	里
83	21.040	21.130	0.090	ta1	他
84	21.130	21.310	0.180	zuo4	坐
85	21.310	21.430	0.120	de5	的
86	21.430	21.630	0.200	che1	车
87	21.630	21.830	0.200	ma3	马
