index	onset	offset	duration	pinyin	hanzi
1	0.960	1.210	0.250	cao2	曹
2	1.210	1.420	0.210	zhang1	彰
3	1.420	1.550	0.130	he2	和
4	1.550	1.650	0.100	ta1	他
5	1.650	1.900	0.250	ge1	哥
6	1.900	2.080	0.180	ge1	哥
7	2.120	2.330	0.210	di4	弟
8	2.330	2.460	0.130	di5	弟
9	2.460	2.630	0.170	dou1	都
10	2.630	2.780	0.150	bu4	不
11	2.780	2.910	0.130	yi2	一
12	2.910	3.110	0.200	yang4	样
13	3.410	3.630	0.220	zhang3	长
14	3.630	3.700	0.070	de2	得
15	3.700	3.880	0.180	gao1	高
16	3.880	4.020	0.140	da4	大
17	4.020	4.260	0.240	jie1	结
18	4.260	4.480	0.220	shi2	实
19	4.650	4.810	0.160	hen3	很
20	4.810	4.900	0.090	you3	有
21	4.900	5.120	0.220	li4	力
22	5.120	5.310	0.190	qi4	气
23	5.680	5.790	0.110	ta1	他
24	5.790	5.960	0.170	bu4	不
25	5.960	6.080	0.120	xi3	喜
26	6.080	6.260	0.180	huan1	欢
27	6.260	6.420	0.160	du2	读
28	6.420	6.670	0.250	shu1	书
29	6.800	6.980	0.180	zhi3	只
30	6.980	7.110	0.130	xi3	喜
31	7.110	7.280	0.170	huan1	欢
32	7.280	7.480	0.200	qi2	骑
33	7.480	7.650	0.170	ma3	马
34	7.650	7.840	0.190	she4	射
35	7.840	8.130	0.290	jian4	箭
36	8.570	8.750	0.180	ji3	几
37	8.750	8.920	0.170	ci4	次
38	8.920	9.070	0.150	gen1	跟
39	9.070	9.150	0.080	zhe5	着
40	9.150	9.370	0.220	cao2	曹
41	9.370	9.530	0.160	cao1	操
42	9.530	9.700	0.170	chu1	出
43	9.700	9.900	0.200	zheng1	征
44	9.970	10.170	0.200	hai2	还
45	10.170	10.340	0.170	li4	立
46	10.340	10.460	0.120	guo4	过
47	10.460	10.680	0.220	zhan4	战
48	10.680	10.940	0.260	gong1	功
49	11.660	11.930	0.270	cao2	曹
50	11.930	12.100	0.170	cao1	操
51	12.100	12.240	0.140	wen4	问
52	12.240	12.340	0.100	ta1	他
53	12.340	12.460	0.120	yi3	以
54	12.460	12.610	0.150	hou4	后
55	12.610	12.820	0.210	xiang3	想
56	12.820	13.040	0.220	gan4	干
57	13.040	13.180	0.140	shen2	什
58	13.180	13.300	0.120	me5	么
59	13.470	13.550	0.080	ta1	他
60	13.550	13.810	0.260	shuang3	爽
61	13.810	13.990	0.180	kuai4	快
62	13.990	14.060	0.070	di4	地
63	14.060	14.290	0.230	shuo1	说
64	15.410	15.590	0.180	da3	打
65	15.590	15.920	0.330	zhang4	仗
66	16.280	16.450	0.170	zuo4	做
67	16.450	16.760	0.310	jiang1	将
68	16.760	17.010	0.250	jun1	军
69	18.200	18.470	0.270	cao2	曹
70	18.470	18.660	0.190	cao1	操
71	18.660	18.860	0.200	you4	又
72	18.860	19.130	0.270	wen4	问
73	20.250	20.390	0.140	zen3	怎
74	20.390	20.510	0.120	me5	么
75	20.510	20.640	0.130	zuo4	做
76	20.640	20.890	0.250	jiang1	将
77	20.890	21.030	0.140	jun1	军
78	21.030	21.240	0.210	na4	呐
79	22.480	22.740	0.260	cao2	曹
80	22.740	22.910	0.170	zhang1	彰
81	22.910	23.150	0.240	hao2	毫
82	23.150	23.270	0.120	bu4	不
83	23.270	23.440	0.170	you2	犹
84	23.440	23.540	0.100	yu4	豫
85	23.540	23.620	0.080	di4	地
86	23.620	23.860	0.240	shuo1	说
87	24.980	25.150	0.170	zuo4	做
88	25.150	25.430	0.280	jiang1	将
89	25.430	25.600	0.170	jun1	军
90	25.600	25.750	0.150	jiu4	就
91	25.750	25.830	0.080	yao4	要
92	25.830	26.080	0.250	shen1	身
93	26.080	26.270	0.190	chuan1	穿
94	26.270	26.500	0.230	kai3	铠
95	26.500	26.750	0.250	jia3	甲
96	26.970	27.180	0.210	shou3	手
97	27.180	27.330	0.150	na2	拿
98	27.330	27.550	0.220	bing1	兵
99	27.550	27.800	0.250	qi4	器
100	28.190	28.350	0.160	shen2	什
101	28.350	28.450	0.100	me5	么
102	28.450	28.730	0.280	qiang2	强
103	28.730	28.830	0.100	da4	大
104	28.830	28.930	0.100	de5	的
105	28.930	29.060	0.130	dui4	对
106	29.060	29.200	0.140	shou3	手
107	29.200	29.300	0.100	dou1	都
108	29.300	29.450	0.150	bu4	不
109	29.450	29.670	0.220	pa4	怕
110	30.310	30.500	0.190	da3	打
111	30.500	30.690	0.190	zhang4	仗
112	30.690	30.750	0.060	de5	的
113	30.750	30.880	0.130	shi2	时
114	30.880	31.000	0.120	hou4	候
115	31.000	31.120	0.120	yao4	要
116	31.470	31.670	0.200	chong1	冲
117	31.670	31.750	0.080	zai4	在
118	31.750	31.970	0.220	shi4	士
119	31.970	32.140	0.170	bing1	兵
120	32.140	32.210	0.070	de5	的
121	32.210	32.490	0.280	qian2	前
122	32.490	32.650	0.160	tou5	头
123	33.860	34.120	0.260	cao2	曹
124	34.120	34.310	0.190	cao1	操
125	34.310	34.520	0.210	ting1	听
126	34.520	34.770	0.250	le5	了
127	34.870	35.080	0.210	ha1	哈
128	35.080	35.270	0.190	ha1	哈
129	35.270	35.420	0.150	da4	大
130	35.420	35.650	0.230	xiao4	笑
131	35.650	35.780	0.130	qi3	起
132	35.780	35.940	0.160	lai2	来
133	36.730	36.830	0.100	yin1	因
134	36.830	36.920	0.090	wei4	为
135	36.920	37.190	0.270	cao2	曹
136	37.190	37.430	0.240	zhang1	彰
137	37.430	37.640	0.210	zhang3	长
138	37.640	37.720	0.080	zhe5	着
139	37.720	37.960	0.240	hen3	很
140	37.960	38.180	0.220	zhang3	长
141	38.180	38.240	0.060	de5	的
142	38.240	38.490	0.250	huang2	黄
143	38.490	38.760	0.270	hu2	胡
144	38.760	38.880	0.120	zi5	子
145	39.280	39.540	0.260	da4	大
146	39.540	39.670	0.130	huo3	伙
147	39.670	39.730	0.060	er2	儿
148	39.730	39.870	0.140	dou1	都
149	39.870	40.030	0.160	jiao4	叫
150	40.030	40.130	0.100	ta1	他
151	40.130	40.400	0.270	huang2	黄
152	40.400	40.530	0.130	xu1	须
153	40.530	40.660	0.130	er2	儿
154	40.660	40.900	0.240	cao2	曹
155	40.900	41.040	0.140	cao1	操
156	41.040	41.310	0.270	hen3	很
157	41.310	41.470	0.160	xi3	喜
158	41.470	41.640	0.170	huan1	欢
159	41.640	41.860	0.220	huang2	黄
160	41.860	41.980	0.120	xu1	须
161	41.980	42.100	0.120	er2	儿
162	42.100	42.160	0.060	de5	的
163	42.160	42.420	0.260	hao2	豪
164	42.420	42.650	0.230	shuang3	爽
165	43.200	43.320	0.120	ke3	可
166	43.320	43.430	0.110	you4	又
167	43.430	43.650	0.220	dan1	担
168	43.650	43.800	0.150	xin1	心
169	43.800	43.920	0.120	ta1	他
170	43.920	44.130	0.210	you3	有
171	44.130	44.330	0.200	yong3	勇
172	44.330	44.460	0.130	wu2	无
173	44.460	44.710	0.250	mou2	谋
174	44.710	45.000	0.290	bu4	不
175	45.000	45.190	0.190	gan3	敢
176	45.190	45.380	0.190	zhong4	重
177	45.380	45.570	0.190	yong4	用
178	45.930	46.030	0.100	rang4	让
179	46.030	46.120	0.090	ta1	他
180	46.120	46.340	0.220	zhu4	驻
181	46.340	46.520	0.180	shou3	守
182	46.520	46.790	0.270	chang2	长
183	46.790	47.000	0.210	an1	安
184	48.120	48.320	0.200	zhe4	这
185	48.320	48.460	0.140	hui4	会
186	48.460	48.520	0.060	er5	儿
187	49.010	49.240	0.230	cao2	曹
188	49.240	49.470	0.230	zhang1	彰
189	49.470	49.640	0.170	gan3	赶
190	49.640	49.740	0.100	zai4	在
191	49.740	49.990	0.250	cao2	曹
192	49.990	50.150	0.160	pi1	丕
193	50.150	50.260	0.110	de5	的
194	50.260	50.530	0.270	qian2	前
195	50.530	50.640	0.110	tou5	头
196	50.640	50.810	0.170	dao4	到
197	50.810	50.900	0.090	le5	了
198	50.900	51.090	0.190	luo4	洛
199	51.090	51.300	0.210	yang2	阳
200	51.990	52.130	0.140	ta1	他
201	52.130	52.240	0.110	ba3	把
202	52.240	52.420	0.180	zhu3	主
203	52.420	52.630	0.210	guan3	管
204	52.630	52.910	0.280	sang1	丧
205	52.910	53.040	0.130	shi4	事
206	53.040	53.140	0.100	de5	的
207	53.140	53.300	0.160	da4	大
208	53.300	53.500	0.200	chen2	臣
209	53.500	53.730	0.230	jia3	贾
210	53.730	53.940	0.210	kui2	逵
211	53.940	54.170	0.230	jiao4	叫
212	54.170	54.250	0.080	le5	了
213	54.250	54.420	0.170	lai2	来
214	54.550	54.810	0.260	leng4	愣
215	54.810	54.940	0.130	leng4	愣
216	54.940	55.110	0.170	ke1	磕
217	55.110	55.290	0.180	ke1	磕
218	55.290	55.370	0.080	di4	地
219	55.370	55.600	0.230	shuo1	说
220	56.730	56.850	0.120	wo3	我
221	56.850	57.100	0.250	fu4	父
222	57.100	57.250	0.150	wang2	王
223	57.250	57.310	0.060	de5	的
224	57.310	57.480	0.170	yin4	印
225	57.480	57.580	0.100	zai4	在
226	57.580	57.710	0.130	na3	哪
227	57.710	57.890	0.180	er2	儿
228	59.290	59.380	0.090	ming2	明
229	59.380	59.580	0.200	bai3	摆
230	59.580	59.760	0.180	zhe5	着
231	60.020	60.170	0.150	ta1	他
232	60.170	60.300	0.130	ye3	也
233	60.300	60.470	0.170	xiang3	想
234	60.470	60.580	0.110	ba3	把
235	60.580	60.870	0.290	cao2	曹
236	60.870	61.030	0.160	cao1	操
237	61.030	61.110	0.080	de5	的
238	61.110	61.340	0.230	quan2	权
239	61.340	61.420	0.080	li4	力
240	61.420	61.650	0.230	jie1	接
241	61.650	61.790	0.140	guo4	过
242	61.790	61.970	0.180	qu4	去
243	62.770	62.960	0.190	jia3	贾
244	62.960	63.140	0.180	kui2	逵
245	63.140	63.340	0.200	hen3	很
246	63.340	63.570	0.230	yan2	严
247	63.570	63.710	0.140	li4	厉
248	63.710	63.790	0.080	di4	地
249	63.790	64.020	0.230	shuo1	说
250	65.130	65.320	0.190	guo2	国
251	65.320	65.480	0.160	jia1	家
252	65.480	65.570	0.090	de5	的
253	65.570	65.720	0.150	shi4	事
254	65.720	65.900	0.180	qing2	情
255	65.900	66.110	0.210	zao3	早
256	66.110	66.200	0.090	you3	有
257	66.200	66.390	0.190	an1	安
258	66.390	66.640	0.250	pai2	排
259	67.040	67.220	0.180	nin2	您
260	67.220	67.320	0.100	bu4	不
261	67.320	67.450	0.130	gai1	该
262	67.450	67.610	0.160	wen4	问
263	67.610	67.710	0.100	zhe4	这
264	67.710	67.860	0.150	xie1	些
265	67.860	68.100	0.240	shi4	事
266	69.300	69.560	0.260	cao2	曹
267	69.560	69.770	0.210	zhang1	彰
268	69.770	69.940	0.170	zhe4	这
269	69.940	70.070	0.130	cai2	才
270	70.070	70.220	0.150	mei2	没
271	70.220	70.420	0.200	hua4	话
272	70.420	70.650	0.230	shuo1	说
273	70.650	70.750	0.100	le5	了
274	71.470	71.610	0.140	mei2	没
275	71.610	71.740	0.130	ji3	几
276	71.740	72.000	0.260	tian1	天
277	72.080	72.360	0.280	cao2	曹
278	72.360	72.560	0.200	pi1	丕
279	72.560	72.720	0.160	dao4	到
280	72.720	72.810	0.090	le5	了
281	72.810	73.020	0.210	luo4	洛
282	73.020	73.240	0.220	yang2	阳
283	73.500	73.710	0.210	zhu3	主
284	73.710	73.890	0.180	chi2	持
285	73.890	73.990	0.100	zhe5	着
286	73.990	74.200	0.210	ban4	办
287	74.200	74.320	0.120	wan2	完
288	74.320	74.390	0.070	le5	了
289	74.390	74.640	0.250	sang1	丧
290	74.640	74.910	0.270	shi4	事
291	75.010	75.200	0.190	ta1	他
292	75.200	75.330	0.130	jiu4	就
293	75.330	75.520	0.190	zuo4	做
294	75.520	75.600	0.080	le5	了
295	75.600	75.810	0.210	wei4	魏
296	75.810	76.050	0.240	wang2	王
297	76.780	77.010	0.230	han4	汉
298	77.010	77.200	0.190	xian4	献
299	77.200	77.370	0.170	di4	帝
300	77.370	77.460	0.090	ye3	也
301	77.460	77.560	0.100	gei3	给
302	77.560	77.660	0.100	ta1	他
303	77.660	77.850	0.190	xia4	下
304	77.850	77.950	0.100	le5	了
305	77.950	78.130	0.180	zhao4	诏
306	78.130	78.400	0.270	shu1	书
307	78.630	78.780	0.150	rang4	让
308	78.780	79.000	0.220	cao2	曹
309	79.000	79.170	0.170	pi1	丕
310	79.170	79.410	0.240	jie1	接
311	79.410	79.510	0.100	zhe5	着
312	79.510	79.630	0.120	ta1	他
313	79.630	79.880	0.250	fu4	父
314	79.880	80.050	0.170	qin1	亲
315	80.050	80.230	0.180	dang1	当
316	80.230	80.510	0.280	han4	汉
317	80.510	80.690	0.180	chao2	朝
318	80.690	80.780	0.090	de5	的
319	80.780	81.020	0.240	cheng2	丞
320	81.020	81.260	0.240	xiang4	相
321	82.330	82.580	0.250	cao2	曹
322	82.580	82.770	0.190	pi1	丕
