index	onset	offset	duration	pinyin	hanzi
1	0.970	1.180	0.210	cao2	曹
2	1.180	1.360	0.180	rui4	叡
3	1.360	1.610	0.250	xia4	下
4	1.610	1.770	0.160	ling4	令
5	1.770	1.890	0.120	zai4	在
6	1.890	2.100	0.210	luo4	洛
7	2.100	2.290	0.190	yang2	阳
8	2.290	2.480	0.190	zao4	造
9	2.480	2.560	0.080	le5	了
10	2.560	2.630	0.070	yi1	一
11	2.630	2.770	0.140	zuo4	座
12	2.770	2.930	0.160	da4	大
13	2.930	3.140	0.210	gong1	宫
14	3.140	3.380	0.240	dian4	殿
15	3.480	3.690	0.210	jiao4	叫
16	3.690	3.990	0.300	zong3	总
17	3.990	4.180	0.190	zhang1	章
18	4.180	4.370	0.190	guan1	观
19	4.370	4.450	0.080	you3	有
20	4.450	4.690	0.240	shi2	十
21	4.690	4.850	0.160	lai2	来
22	4.850	5.050	0.200	zhang4	丈
23	5.050	5.250	0.200	gao1	高
24	5.940	6.200	0.260	guang1	光
25	6.200	6.340	0.140	zao4	造
26	6.340	6.490	0.150	zhe4	这
27	6.490	6.600	0.110	zuo4	座
28	6.600	6.820	0.220	gong1	宫
29	6.820	7.030	0.210	dian4	殿
30	7.100	7.300	0.200	jiu4	就
31	7.300	7.560	0.260	zheng1	征
32	7.560	7.690	0.130	yong4	用
33	7.690	7.780	0.090	le5	了
34	7.780	8.030	0.250	cheng2	成
35	8.030	8.230	0.200	qian1	千
36	8.230	8.510	0.280	shang4	上
37	8.510	8.680	0.170	wan4	万
38	8.680	8.750	0.070	de5	的
39	8.750	8.960	0.210	gong1	工
40	8.960	9.220	0.260	jiang4	匠
41	9.370	9.580	0.210	min2	民
42	9.580	9.840	0.260	fu1	夫
43	10.150	10.320	0.170	zhe4	这
44	10.320	10.460	0.140	hai2	还
45	10.460	10.590	0.130	bu4	不
46	10.590	10.830	0.240	suan4	算
47	11.380	11.530	0.150	ta1	他
48	11.530	11.620	0.090	you4	又
49	11.620	11.880	0.260	xia4	下
50	11.880	12.050	0.170	ling4	令
51	12.050	12.260	0.210	zao4	造
52	12.260	12.340	0.080	yi1	一
53	12.340	12.480	0.140	zuo4	座
54	12.480	12.670	0.190	gao1	高
55	12.670	12.940	0.270	lou2	楼
56	13.150	13.360	0.210	jiao4	叫
57	13.360	13.640	0.280	ling2	陵
58	13.640	13.870	0.230	xiao1	霄
59	13.870	14.080	0.210	que1	阙
60	14.080	14.280	0.200	gong1	工
61	14.280	14.450	0.170	cheng2	程
62	14.450	14.560	0.110	you3	有
63	14.560	14.780	0.220	qi1	期
64	14.780	15.070	0.290	xian4	限
65	15.410	15.590	0.180	guo4	过
66	15.590	15.680	0.090	le5	了
67	15.680	15.870	0.190	qi1	期
68	15.870	16.160	0.290	xian4	限
69	16.190	16.510	0.320	gong1	工
70	16.510	16.700	0.190	jiang4	匠
71	16.700	16.800	0.100	jiu4	就
72	16.800	16.900	0.100	yao4	要
73	16.900	17.110	0.210	ban4	办
74	17.110	17.200	0.090	zui4	罪
75	17.200	17.260	0.060	wei4	魏
76	17.260	17.370	0.110	ming2	明
77	18.780	18.930	0.150	di4	帝
78	18.930	19.120	0.190	shi2	时
79	19.120	19.290	0.170	chang2	常
80	19.290	19.400	0.110	ba3	把
81	19.400	19.600	0.200	gong1	工
82	19.600	19.780	0.180	jiang4	匠
83	19.780	20.010	0.230	jiao4	叫
84	20.010	20.220	0.210	qu4	去
85	20.350	20.580	0.230	cui1	催
86	20.580	20.800	0.220	wen4	问
87	20.800	20.980	0.180	gong1	工
88	20.980	21.130	0.150	cheng2	程
89	21.130	21.200	0.070	de5	的
90	21.200	21.420	0.220	jin4	进
91	21.420	21.580	0.160	du4	度
92	22.280	22.420	0.140	you3	有
93	22.420	22.510	0.090	de5	的
94	22.510	22.710	0.200	gong1	工
95	22.710	22.920	0.210	jiang4	匠
96	22.920	23.070	0.150	jie1	结
97	23.070	23.180	0.110	jie1	结
98	23.180	23.380	0.200	ba1	巴
99	23.380	23.530	0.150	ba1	巴
100	23.530	23.620	0.090	di4	地
101	23.620	23.800	0.180	cai2	才
102	23.800	24.010	0.210	shuo1	说
103	24.010	24.180	0.170	ji3	几
104	24.180	24.400	0.220	ju4	句
105	24.740	24.830	0.090	ta1	他
106	24.830	25.070	0.240	ting1	听
107	25.070	25.150	0.080	zhe5	着
108	25.150	25.260	0.110	bu4	不
109	25.260	25.430	0.170	nai4	耐
110	25.430	25.750	0.320	fan2	烦
111	25.910	26.060	0.150	yi1	一
112	26.060	26.280	0.220	hui1	挥
113	26.280	26.570	0.290	shou3	手
114	26.790	26.960	0.170	wu3	武
115	26.960	27.090	0.130	shi4	士
116	27.090	27.210	0.120	men5	们
117	27.210	27.440	0.230	shang4	上
118	27.440	27.670	0.230	qian2	前
