index	onset	offset	duration	pinyin	hanzi
1	1.100	1.170	0.070	yuan2	袁
2	1.170	1.300	0.130	shao4	绍
3	1.410	1.560	0.150	gen1	跟
4	1.560	1.720	0.160	cao2	曹
5	1.720	1.910	0.190	cao1	操
6	1.910	2.100	0.190	jiao1	交
7	2.100	2.260	0.160	zhan4	战
8	2.260	2.350	0.090	de5	的
9	2.350	2.480	0.130	di4	第
10	2.480	2.700	0.220	er4	二
11	2.700	3.060	0.360	nian2	年
12	3.370	3.480	0.110	ye3	也
13	3.480	3.600	0.120	jiu4	就
14	3.600	3.740	0.140	shi4	是
15	3.740	3.960	0.220	gong1	公
16	3.960	4.020	0.060	yuan2	元
17	4.020	4.550	0.530	200	200
18	4.550	4.980	0.430	nian2	年
19	5.430	5.610	0.180	liang3	两
20	5.610	5.780	0.170	jun1	军
21	5.780	5.910	0.130	zai4	在
22	5.910	6.150	0.240	guan1	官
23	6.150	6.270	0.120	du4	渡
24	6.270	6.480	0.210	peng4	碰
25	6.480	6.590	0.110	dao4	到
26	6.590	6.710	0.120	yi4	一
27	6.710	6.950	0.240	qi3	起
28	6.950	7.220	0.270	le5	了
29	8.330	8.400	0.070	yuan2	袁
30	8.400	8.580	0.180	shao4	绍
31	8.580	8.800	0.220	xia4	下
32	8.800	8.990	0.190	ming4	命
33	8.990	9.110	0.120	ling4	令
34	9.110	9.320	0.210	an1	安
35	9.320	9.470	0.150	ying2	营
36	9.470	9.650	0.180	zha1	扎
37	9.650	9.990	0.340	zhai4	寨
38	10.450	10.620	0.170	cong2	从
39	10.620	10.800	0.180	xi1	西
40	10.800	10.950	0.150	dao4	到
41	10.950	11.180	0.230	dong1	东
42	11.180	11.310	0.130	zu2	足
43	11.310	11.400	0.090	you3	有
44	11.400	11.630	0.230	ji3	几
45	11.630	11.840	0.210	shi2	十
46	11.840	11.990	0.150	li3	里
47	11.990	12.460	0.470	zhang3	长
48	13.150	13.250	0.100	ta1	他
49	13.250	13.430	0.180	jue2	觉
50	13.430	13.540	0.110	zhe5	着
51	13.540	13.700	0.160	zi4	自
52	13.700	13.850	0.150	ji3	己
53	13.850	14.080	0.230	bing1	兵
54	14.080	14.210	0.130	duo1	多
55	14.210	14.450	0.240	liang2	粮
56	14.450	14.720	0.270	zu2	足
57	14.720	14.820	0.100	zhe4	这
58	15.360	15.490	0.130	hui2	回
59	15.490	15.660	0.170	zhun3	准
60	15.660	15.810	0.150	neng2	能
61	15.810	15.920	0.110	ba3	把
62	15.920	16.090	0.170	cao2	曹
63	16.090	16.260	0.170	cao1	操
64	16.260	16.520	0.260	mie4	灭
65	16.520	16.740	0.220	le5	了
66	17.840	18.020	0.180	cao2	曹
67	18.020	18.240	0.220	cao1	操
68	18.240	18.380	0.140	ye3	也
69	18.380	18.540	0.160	dai4	带
70	18.540	18.690	0.150	ren2	人
71	18.690	18.880	0.190	ma3	马
72	18.880	19.040	0.160	zha2	扎
73	19.040	19.210	0.170	xia4	下
74	19.210	19.420	0.210	ying2	营
75	19.420	19.740	0.320	zhai4	寨
76	20.060	20.180	0.120	zhun3	准
77	20.180	20.310	0.130	bei4	备
78	20.310	20.470	0.160	gen1	跟
79	20.470	20.610	0.140	yuan2	袁
80	20.610	20.780	0.170	shao4	绍
81	20.780	21.000	0.220	jue2	决
82	21.000	21.360	0.360	zhan4	战
83	22.330	22.500	0.170	cao2	曹
84	22.500	22.670	0.170	cao1	操
85	22.670	22.780	0.110	de5	的
86	22.780	22.900	0.120	ren2	人
87	22.900	23.010	0.110	ma3	马
88	23.010	23.470	0.460	shao3	少
89	23.800	23.930	0.130	da3	打
90	23.930	24.050	0.120	le5	了
91	24.050	24.190	0.140	ji3	几
92	24.190	24.370	0.180	zhang4	仗
93	24.370	24.500	0.130	mei2	没
94	24.500	24.650	0.150	de2	得
95	24.650	25.070	0.420	sheng4	胜
96	25.620	25.700	0.080	ta1	他
97	25.700	25.820	0.120	jiu4	就
98	25.820	26.050	0.230	xia4	下
99	26.050	26.220	0.170	ling4	令
100	26.220	26.400	0.180	xiu1	修
101	26.400	26.560	0.160	zhu4	筑
102	26.560	26.790	0.230	tu3	土
103	26.790	27.100	0.310	lei3	垒
104	27.270	27.500	0.230	jian1	坚
105	27.500	27.710	0.210	shou3	守
106	27.710	27.930	0.220	ying2	营
107	27.930	28.050	0.120	zhai4	寨
108	28.050	28.110	0.060	yuan2	袁
109	28.110	28.210	0.100	shao4	绍
110	29.710	29.880	0.170	kan4	看
111	29.880	29.990	0.110	dao4	到
112	29.990	30.190	0.200	cao2	曹
113	30.190	30.390	0.200	jun1	军
114	30.390	30.520	0.130	bu4	不
115	30.520	30.710	0.190	gan3	敢
116	30.710	30.890	0.180	chu1	出
117	30.890	31.330	0.440	zhan4	战
118	31.720	31.780	0.060	jiu4	就
119	31.780	31.940	0.160	rang4	让
120	31.940	32.070	0.130	shi4	士
121	32.070	32.290	0.220	bing1	兵
122	32.290	32.470	0.180	men5	们
123	32.470	32.590	0.120	zai4	在
124	32.590	32.810	0.220	cao2	曹
125	32.810	32.980	0.170	ying2	营
126	32.980	33.100	0.120	wai4	外
127	33.100	33.280	0.180	mian4	面
128	33.280	33.460	0.180	dui1	堆
129	33.460	33.630	0.170	qi3	起
130	33.630	33.740	0.110	yi2	一
131	33.740	33.890	0.150	ge4	个
132	33.890	34.040	0.150	ge4	个
133	34.040	34.110	0.070	de5	的
134	34.110	34.310	0.200	xiao3	小
135	34.310	34.500	0.190	tu3	土
136	34.500	34.900	0.400	shan1	山
137	35.720	35.830	0.110	tu3	土
138	35.830	36.060	0.230	shan1	山
139	36.060	36.260	0.200	shang4	上
140	36.260	36.370	0.110	zai4	再
141	36.370	36.530	0.160	da1	搭
142	36.530	36.700	0.170	qi3	起
143	36.700	36.850	0.150	gao1	高
144	36.850	37.150	0.300	tai2	台
145	37.150	37.290	0.140	zi5	子
146	37.290	37.420	0.130	jiao4	叫
147	38.140	38.230	0.090	shi4	士
148	38.230	38.440	0.210	bing1	兵
149	38.440	38.620	0.180	men5	们
150	38.620	38.770	0.150	zhan4	站
151	38.770	38.860	0.090	zai4	在
152	38.860	39.030	0.170	gao1	高
153	39.030	39.240	0.210	tai2	台
154	39.240	39.430	0.190	shang4	上
155	39.430	39.610	0.180	xiang4	向
156	39.610	39.810	0.200	cao2	曹
157	39.810	39.960	0.150	ying2	营
158	39.960	40.080	0.120	li3	里
159	40.080	40.300	0.220	she4	射
160	40.300	40.730	0.430	jian4	箭
161	41.750	41.930	0.180	cao2	曹
162	41.930	42.100	0.170	cao1	操
163	42.100	42.220	0.120	de5	的
164	42.220	42.430	0.210	jiang4	将
165	42.430	42.630	0.200	shi4	士
166	42.630	42.750	0.120	zhi3	只
167	42.750	42.970	0.220	hao3	好
168	42.970	43.090	0.120	yong4	用
169	43.090	43.290	0.200	dang3	挡
170	43.290	43.490	0.200	jian4	箭
171	43.490	43.700	0.210	pai2	牌
172	43.700	43.850	0.150	zhe1	遮
173	43.850	43.970	0.120	zhu4	住
174	43.970	44.240	0.270	shen1	身
175	44.240	44.340	0.100	zi5	子
176	44.340	44.540	0.200	zai4	在
177	45.050	45.190	0.140	di4	地
178	45.190	45.370	0.180	xia4	下
179	45.370	45.580	0.210	man4	慢
180	45.580	45.750	0.170	man4	慢
181	45.750	45.810	0.060	di4	地
182	45.810	46.040	0.230	pa2	爬
183	46.040	46.190	0.150	lai2	来
184	46.190	46.400	0.210	pa2	爬
185	46.400	46.640	0.240	qu4	去
186	46.640	46.890	0.250	yuan2	袁
187	47.990	48.090	0.100	shao4	绍
188	48.090	48.210	0.120	di1	的
189	48.210	48.340	0.130	shi4	士
190	48.340	48.550	0.210	bing1	兵
191	48.550	48.800	0.250	kan4	看
192	48.800	49.000	0.200	le5	了
193	49.170	49.280	0.110	dou1	都
194	49.280	49.500	0.220	de2	得
195	49.500	49.630	0.130	yi4	意
196	49.630	49.720	0.090	de2	得
197	49.720	49.930	0.210	ha1	哈
198	49.930	50.110	0.180	ha1	哈
199	50.110	50.280	0.170	da4	大
200	50.280	50.680	0.400	xiao4	笑
201	51.770	51.940	0.170	cao2	曹
202	51.940	52.150	0.210	cao1	操
203	52.150	52.350	0.200	mang2	忙
204	52.350	52.510	0.160	gen1	跟
205	52.510	52.670	0.160	mou2	谋
206	52.670	52.820	0.150	shi4	士
207	52.820	52.980	0.160	men5	们
208	52.980	53.160	0.180	shang1	商
209	53.160	53.320	0.160	liang2	量
210	53.320	53.470	0.150	dui4	对
211	53.470	53.600	0.130	fu4	付
212	53.600	53.700	0.100	de5	的
213	53.700	53.930	0.230	ban4	办
214	53.930	54.230	0.300	fa3	法
215	54.890	54.970	0.080	ta1	他
216	54.970	55.100	0.130	men5	们
217	55.100	55.250	0.150	dong4	动
218	55.250	55.430	0.180	nao3	脑
219	55.430	55.740	0.310	jin1	筋
220	55.990	56.200	0.210	zao4	造
221	56.200	56.300	0.100	le5	了
222	56.300	56.370	0.070	yi2	一
223	56.370	56.480	0.110	ge4	个
224	56.480	56.630	0.150	fa1	发
225	56.630	56.900	0.270	shi2	石
226	56.900	57.050	0.150	ji1	机
227	57.050	57.320	0.270	neng2	能
228	57.790	57.860	0.070	ba3	把
229	57.860	58.170	0.310	shi2	十
230	58.170	58.300	0.130	ji3	几
231	58.300	58.510	0.210	jin1	斤
232	58.510	58.650	0.140	zhong4	重
233	58.650	58.740	0.090	de5	的
234	58.740	58.860	0.120	da4	大
235	58.860	59.070	0.210	shi2	石
236	59.070	59.190	0.120	tou5	头
237	59.190	59.420	0.230	da3	打
238	59.420	59.580	0.160	chu1	出
239	59.580	59.780	0.200	qu4	去
240	59.780	59.870	0.090	zhe4	这
241	61.170	61.320	0.150	zhong3	种
242	61.320	61.460	0.140	fa1	发
243	61.460	61.700	0.240	shi2	石
244	61.700	61.840	0.140	ji1	机
245	61.840	62.000	0.160	da3	打
246	62.000	62.230	0.230	shi2	石
247	62.230	62.330	0.100	tou5	头
248	62.330	62.440	0.110	de5	的
249	62.440	62.600	0.160	shi2	时
250	62.600	62.750	0.150	hou4	候
251	62.750	62.930	0.180	hai2	还
252	63.290	63.490	0.200	hong1	轰
253	63.490	63.640	0.150	long1	隆
254	63.640	63.790	0.150	long2	隆
255	63.790	63.870	0.080	di4	地
256	63.870	64.020	0.150	fa1	发
257	64.020	64.180	0.160	chu1	出
258	64.180	64.360	0.180	lao3	老
259	64.360	64.540	0.180	da4	大
260	64.540	64.620	0.080	de5	的
261	64.620	64.860	0.240	xiang3	响
262	64.860	65.320	0.460	sheng1	声
263	65.690	65.820	0.130	ting3	挺
264	65.820	66.050	0.230	xia4	吓
265	66.050	66.250	0.200	ren2	人
266	66.250	66.340	0.090	de5	的
267	66.340	66.460	0.120	suo3	所
268	66.460	66.620	0.160	yi3	以
269	67.420	67.570	0.150	da4	大
270	67.570	67.750	0.180	huo3	伙
271	67.750	67.810	0.060	er2	儿
272	67.810	67.860	0.050	you4	又
273	67.860	68.010	0.150	jiao4	叫
274	68.010	68.130	0.120	ta1	它
275	68.130	68.310	0.180	pi1	霹
276	68.310	68.460	0.150	li4	雳
277	68.460	68.850	0.390	che1	车
278	69.900	70.040	0.140	jie2	结
279	70.040	70.250	0.210	guo3	果
280	70.810	70.930	0.120	yuan2	袁
281	70.930	71.070	0.140	jun1	军
282	71.070	71.160	0.090	de5	的
283	71.160	71.330	0.170	gao1	高
284	71.330	71.540	0.210	tai2	台
285	71.540	71.690	0.150	rang4	让
286	71.690	71.850	0.160	shi2	石
287	71.850	71.960	0.110	tou5	头
288	71.960	72.160	0.200	da3	打
289	72.160	72.260	0.100	de2	得
