index	onset	offset	duration	pinyin	hanzi
1	1.020	1.260	0.240	jin4	晋
2	1.260	1.400	0.140	guo2	国
3	1.400	1.630	0.230	zhen4	镇
4	1.630	1.790	0.160	shou3	守
5	1.790	2.040	0.250	xiang1	襄
6	2.040	2.180	0.140	yang2	阳
7	2.180	2.260	0.080	de5	的
8	2.260	2.420	0.160	da4	大
9	2.420	2.640	0.220	jiang4	将
10	2.640	2.790	0.150	jiao4	叫
11	2.790	3.030	0.240	yang2	羊
12	3.030	3.260	0.230	hu4	祜
13	4.020	4.220	0.200	yang2	羊
14	4.220	4.380	0.160	hu4	祜
15	4.380	4.520	0.140	zhi1	知
16	4.520	4.650	0.130	dao4	道
17	4.650	4.800	0.150	yi1	一
18	4.800	5.030	0.230	xia4	下
19	5.030	5.120	0.090	zi5	子
20	5.120	5.470	0.350	ping2	凭
21	5.470	5.570	0.100	wu3	武
22	5.570	5.720	0.150	li4	力
23	5.720	5.950	0.230	zheng1	征
24	5.950	6.080	0.130	fu2	服
25	6.080	6.280	0.200	wu2	吴
26	6.280	6.440	0.160	guo2	国
27	6.440	6.590	0.150	hai2	还
28	6.590	6.750	0.160	bu4	不
29	6.750	6.830	0.080	na4	那
30	6.830	6.930	0.100	me5	么
31	6.930	7.160	0.230	rong2	容
32	7.160	7.320	0.160	yi4	易
33	7.610	7.700	0.090	jiu4	就
34	7.700	7.950	0.250	cai3	采
35	7.950	8.090	0.140	qu3	取
36	8.090	8.180	0.090	le5	了
37	8.180	8.240	0.060	yi1	一
38	8.240	8.390	0.150	tao4	套
39	8.390	8.670	0.280	ruan3	软
40	8.670	8.880	0.210	ban4	办
41	8.880	9.050	0.170	fa3	法
42	9.400	9.570	0.170	xiang3	想
43	9.570	9.770	0.200	man4	慢
44	9.770	9.960	0.190	man4	慢
45	9.960	10.050	0.090	di4	地
46	10.050	10.270	0.220	zheng1	争
47	10.270	10.420	0.150	qu3	取
48	10.420	10.650	0.230	wu2	吴
49	10.650	10.800	0.150	guo2	国
50	10.800	10.870	0.070	de5	的
51	10.870	11.030	0.160	ren2	人
52	11.030	11.340	0.310	xin1	心
53	12.480	12.690	0.210	yang2	羊
54	12.690	12.860	0.170	hu4	祜
55	12.860	13.060	0.200	mei3	每
56	13.060	13.260	0.200	ci4	次
57	13.260	13.470	0.210	gen1	跟
58	13.470	13.590	0.120	wu2	吴
59	13.590	13.740	0.150	guo2	国
60	13.740	13.950	0.210	jiao1	交
61	13.950	14.120	0.170	zhan4	战
62	14.120	14.180	0.060	de5	的
63	14.180	14.330	0.150	shi2	时
64	14.330	14.520	0.190	hou4	候
65	14.620	14.840	0.220	dou1	都
66	14.840	14.960	0.120	shi4	是
67	14.960	15.180	0.220	xian1	先
68	15.180	15.330	0.150	yue1	约
69	15.330	15.490	0.160	ding4	定
70	15.490	15.660	0.170	ri4	日
71	15.660	15.820	0.160	zi5	子
72	15.930	16.170	0.240	zheng4	正
73	16.170	16.330	0.160	mian4	面
74	16.330	16.530	0.200	jiao1	交
75	16.530	16.760	0.230	zhan4	战
76	16.900	17.160	0.260	cong2	从
77	17.160	17.250	0.090	bu4	不
78	17.250	17.490	0.240	tou1	偷
79	17.490	17.810	0.320	xi2	袭
80	18.020	18.140	0.120	ye3	也
81	18.140	18.290	0.150	bu4	不
82	18.290	18.480	0.190	bu4	布
83	18.480	18.580	0.100	zhi4	置
84	18.580	18.790	0.210	mai2	埋
85	18.790	19.010	0.220	fu2	伏
86	19.610	19.840	0.230	jiang4	将
87	19.840	19.970	0.130	shi4	士
88	19.970	20.160	0.190	dang1	当
89	20.160	20.330	0.170	zhong1	中
90	20.330	20.450	0.120	you3	有
91	20.450	20.680	0.230	shui2	谁
92	20.680	20.830	0.150	xiang4	向
93	20.830	20.890	0.060	ta1	他
94	20.890	21.170	0.280	xian4	献
