file	begin	end	speaker	overall_log_likelihood	speech_log_likelihood	phone_duration_deviation	snr
3	0.0	300.28989583333333	woman	-113.25116561761082	-117.7945929352418	12.746971315562622	9.250303674493583
19	0.0	324.6298958333333	woman	-113.3622423831675	-118.43024338855498	10.015113622866819	10.076570511234337
8	0.0	310.3598958333333	woman	-113.62486305342527	-118.67703847568413	9.332084066550182	9.491836056118647
16	0.0	305.4899375	woman	-113.5774544145088	-118.68605700589234	8.582229072039308	9.133195517023545
23	0.0	321.1699791666667	woman	-113.43415070839171	-118.47805925527014	8.582229072039308	9.047980460343966
24	0.0	266.03991666666667	woman	-113.34131832193069	-118.22346949421366	8.582229072039308	10.27070798882286
33	0.0	281.67995833333333	man	-111.62724561528084	-114.32936611729957	8.530302088395871	16.488977315628315
13	0.0	304.1399583333333	woman	-113.93388300670787	-118.6662926619826	8.515968906484227	9.56274181792927
39	0.0	284.8299583333333	man	-111.46134264948562	-114.62342588830391	8.485216121541653	17.11578997418001
46	0.0	278.06002083333334	man	-111.60030031650122	-113.95668502121511	8.458396349423161	18.152844968755176
22	0.0	325.60991666666666	woman	-113.9293820449031	-119.31126347797466	7.9876890289228015	9.878573893992156
9	0.0	247.14997916666667	woman	-114.16448832598228	-118.68653599391473	7.966198642297406	10.082900587968549
10	0.0	324.84995833333335	woman	-113.75901240648955	-118.36704740606743	7.9565479492152384	9.537432429416663
18	0.0	314.0599375	woman	-113.63343045471915	-118.55620587502467	7.687432407010874	9.15107936388951
6	0.0	314.80991666666665	woman	-113.67217827758188	-118.4033172449814	7.687432407010874	8.786258102755406
49	0.0	282.4800416666667	man	-111.1535173121858	-113.77091619432824	7.667599863987494	13.888711300401717
2	0.0	310.0099583333333	woman	-113.8450433884964	-118.5941853464736	7.510787708626147	8.406516684068876
25	0.0	304.69997916666665	woman	-113.96046671918079	-118.44947312682297	7.346318563471942	8.69234658988444
7	0.0	305.67997916666667	woman	-113.32896028266701	-118.31154679745572	7.2832776412185805	8.452502216126206
35	0.0	287.67	man	-111.35578828437338	-113.88992596936683	7.244471646973967	16.930616689090904
20	0.0	306.7199375	woman	-113.50906423214867	-118.29682170709914	6.957914234893273	9.76344069806504
5	0.0	308.2399375	woman	-113.39548861203036	-118.32711903406496	6.866412177336437	9.162492120634763
11	0.0	276.11991666666665	woman	-113.51583665338646	-118.2220685572406	6.7553395011988595	9.569871919568563
14	0.0	196.73997916666667	woman	-113.65794021960146	-118.91608390713682	6.755184627549246	8.605683407108845
21	0.0	308.2099166666667	woman	-113.56984327849703	-118.11749689924659	6.663570091900126	10.089894305521526
15	0.0	307.2599583333333	woman	-113.56258136961333	-118.59084380846377	6.60066059480563	9.241649037671696
38	0.0	272.45004166666666	man	-111.99461329515839	-114.6940184312364	6.538583823670135	16.35691485405261
36	0.0	284.49002083333335	man	-111.35170668260274	-113.78438877154001	6.496150745263055	16.37963164566466
42	0.0	271.9699791666667	man	-111.07273395844824	-113.87356856905537	6.48608777813823	16.141174759173957
29	0.0	290.6599791666667	man	-110.95005849160474	-113.69307235071066	6.373628799187289	18.362829838088125
1	0.0	320.9699791666667	woman	-113.54661162174794	-118.49424289762015	6.372781439589501	8.300233491132179
17	0.0	290.70995833333336	woman	-113.85027004712924	-118.0315796916503	6.372781439589501	8.20666244949958
37	0.0	222.66	man	-111.31685680919871	-114.12314359309	6.371709815276714	15.076031370751753
12	0.0	309.1699375	woman	-113.39203461103024	-118.34706805285545	6.323785330950374	9.813778763659046
34	0.0	303.57997916666665	man	-111.51066510739228	-113.98854458776655	6.322260954175962	21.17093472771478
30	0.0	283.5899375	man	-111.59215537609761	-114.3199545435895	6.3221958561142175	15.470812122154648
31	0.0	278.6699791666667	man	-111.40723129373767	-114.2746633863431	6.022908019894967	19.257742228823705
28	0.0	289.8	man	-110.37617330388571	-113.2780716488169	5.960999923600511	18.574963384073904
32	0.0	288.8399375	man	-111.8947527872031	-114.74228144524761	5.821437128326544	15.412615182066563
4	0.0	315.8199375	woman	-113.26504908169727	-118.3245901044741	5.740297601632201	9.749101848198716
47	0.0	281.5300208333333	man	-111.57840751660687	-114.57799367677168	5.525473382989741	18.460858985547496
48	0.0	193.30997916666666	man	-111.55826737027265	-114.19958834884626	5.342091740004105	15.424820038550529
45	0.0	289.26004166666667	man	-111.4947362052275	-114.4078105838329	5.2669018086114585	14.752426022164734
50	0.0	285.63997916666665	man	-111.42442756109516	-114.08436043003955	5.009135307260354	16.005208732786006
27	0.0	280.58	man	-111.34785785571714	-114.19863359638721	4.956959305217562	17.53420083334489
40	0.0	281.1500625	man	-110.69819122825739	-113.51445298943042	4.7793642368815945	16.425163142867053
26	0.0	291.35002083333336	man	-110.91088284762984	-114.14360755613885	4.769684501093844	17.370342786937563
43	0.0	227.55004166666666	man	-111.54766404430185	-114.622090282255	4.753250780134716	16.609755282636396
44	0.0	282.8000416666667	man	-111.13395572529882	-113.99963843102606	4.662744823526289	14.744555465619094
41	0.0	279.14995833333336	man	-110.87633002543618	-113.96621823730469	4.557217244549543	17.247832242294237
