story_id	textgrid_file	pinyin_boundary_file	pinyin_interval_count	pinyin_last_offset_sec	word_boundary_file	word_interval_count	word_last_offset_sec	word_time_mat_file	pinyin_input_file
1	derivatives/stimulus_annotations/textgrid/story-01_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-01_pinyin.tsv	1250	320.040	derivatives/stimulus_annotations/word_boundaries/legacy/story-01_words.tsv	794	320.350	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-01_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-01_pinyin.txt
2	derivatives/stimulus_annotations/textgrid/story-02_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-02_pinyin.tsv	1229	309.000	derivatives/stimulus_annotations/word_boundaries/legacy/story-02_words.tsv	779	309.240	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-02_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-02_pinyin.txt
3	derivatives/stimulus_annotations/textgrid/story-03_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-03_pinyin.tsv	1179	299.260	derivatives/stimulus_annotations/word_boundaries/legacy/story-03_words.tsv	706	299.560	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-03_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-03_pinyin.txt
4	derivatives/stimulus_annotations/textgrid/story-04_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-04_pinyin.tsv	1253	314.910	derivatives/stimulus_annotations/word_boundaries/legacy/story-04_words.tsv	797	315.190	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-04_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-04_pinyin.txt
5	derivatives/stimulus_annotations/textgrid/story-05_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-05_pinyin.tsv	1200	307.320	derivatives/stimulus_annotations/word_boundaries/legacy/story-05_words.tsv	773	307.620	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-05_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-05_pinyin.txt
6	derivatives/stimulus_annotations/textgrid/story-06_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-06_pinyin.tsv	1199	313.960	derivatives/stimulus_annotations/word_boundaries/legacy/story-06_words.tsv	748	314.090	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-06_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-06_pinyin.txt
7	derivatives/stimulus_annotations/textgrid/story-07_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-07_pinyin.tsv	1204	304.830	derivatives/stimulus_annotations/word_boundaries/legacy/story-07_words.tsv	779	305.070	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-07_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-07_pinyin.txt
8	derivatives/stimulus_annotations/textgrid/story-08_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-08_pinyin.tsv	1228	309.300	derivatives/stimulus_annotations/word_boundaries/legacy/story-08_words.tsv	778	309.610	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-08_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-08_pinyin.txt
9	derivatives/stimulus_annotations/textgrid/story-09_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-09_pinyin.tsv	975	246.270	derivatives/stimulus_annotations/word_boundaries/legacy/story-09_words.tsv	596	246.570	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-09_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-09_pinyin.txt
10	derivatives/stimulus_annotations/textgrid/story-10_alignment.TextGrid	derivatives/stimulus_annotations/pinyin/boundaries/story-10_pinyin.tsv	1270	323.990	derivatives/stimulus_annotations/word_boundaries/legacy/story-10_words.tsv	828	324.250	derivatives/stimulus_annotations/word_boundaries/legacy_mat/story-10_word-times.mat	derivatives/stimulus_annotations/pinyin/inputs/story-10_pinyin.txt
