story_id	envelope_file	envelope_shape	mel_file	mel_shape	mel_dtype	mel_source_sampling_hz	mel_release_operation	bert_50hz_file	bert_50hz_shape	bert_50hz_dtype	bert_source_sampling_hz	bert_release_operation	wav2vec2_file	wav2vec2_shape	wav2vec2_dtype	bert_word_file	bert_word_shape	bert_word_dtype
1	derivatives/stimulus_features/envelope/envelope_100hz/1_envelope.npy	32097	derivatives/stimulus_features/mel/mel_50hz/story-01_mel.npy	16049x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-01_bert.npy	16049x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-01_wav2vec2-layer9.npy	16048x1024	float32	derivatives/stimulus_features/bert/word_level/story-01_bert-layers01to12.mat	12x794x768	float32
2	derivatives/stimulus_features/envelope/envelope_100hz/2_envelope.npy	31001	derivatives/stimulus_features/mel/mel_50hz/story-02_mel.npy	15500x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-02_bert.npy	15500x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-02_wav2vec2-layer9.npy	15500x1024	float32	derivatives/stimulus_features/bert/word_level/story-02_bert-layers01to12.mat	12x779x768	float32
3	derivatives/stimulus_features/envelope/envelope_100hz/3_envelope.npy	30029	derivatives/stimulus_features/mel/mel_50hz/story-03_mel.npy	15014x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-03_bert.npy	15014x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-03_wav2vec2-layer9.npy	15014x1024	float32	derivatives/stimulus_features/bert/word_level/story-03_bert-layers01to12.mat	12x706x768	float32
4	derivatives/stimulus_features/envelope/envelope_100hz/4_envelope.npy	31582	derivatives/stimulus_features/mel/mel_50hz/story-04_mel.npy	15791x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-04_bert.npy	15791x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-04_wav2vec2-layer9.npy	15790x1024	float32	derivatives/stimulus_features/bert/word_level/story-04_bert-layers01to12.mat	12x797x768	float32
5	derivatives/stimulus_features/envelope/envelope_100hz/5_envelope.npy	30824	derivatives/stimulus_features/mel/mel_50hz/story-05_mel.npy	15412x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-05_bert.npy	15412x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-05_wav2vec2-layer9.npy	15411x1024	float32	derivatives/stimulus_features/bert/word_level/story-05_bert-layers01to12.mat	12x773x768	float32
6	derivatives/stimulus_features/envelope/envelope_100hz/6_envelope.npy	31481	derivatives/stimulus_features/mel/mel_50hz/story-06_mel.npy	15740x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-06_bert.npy	15740x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-06_wav2vec2-layer9.npy	15740x1024	float32	derivatives/stimulus_features/bert/word_level/story-06_bert-layers01to12.mat	12x748x768	float32
7	derivatives/stimulus_features/envelope/envelope_100hz/7_envelope.npy	30568	derivatives/stimulus_features/mel/mel_50hz/story-07_mel.npy	15284x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-07_bert.npy	15284x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-07_wav2vec2-layer9.npy	15283x1024	float32	derivatives/stimulus_features/bert/word_level/story-07_bert-layers01to12.mat	12x779x768	float32
8	derivatives/stimulus_features/envelope/envelope_100hz/8_envelope.npy	31036	derivatives/stimulus_features/mel/mel_50hz/story-08_mel.npy	15518x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-08_bert.npy	15518x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-08_wav2vec2-layer9.npy	15517x1024	float32	derivatives/stimulus_features/bert/word_level/story-08_bert-layers01to12.mat	12x778x768	float32
9	derivatives/stimulus_features/envelope/envelope_100hz/9_envelope.npy	24715	derivatives/stimulus_features/mel/mel_50hz/story-09_mel.npy	12358x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-09_bert.npy	12358x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-09_wav2vec2-layer9.npy	12357x1024	float32	derivatives/stimulus_features/bert/word_level/story-09_bert-layers01to12.mat	12x596x768	float32
10	derivatives/stimulus_features/envelope/envelope_100hz/10_envelope.npy	32485	derivatives/stimulus_features/mel/mel_50hz/story-10_mel.npy	16243x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-10_bert.npy	16243x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-10_wav2vec2-layer9.npy	16242x1024	float32	derivatives/stimulus_features/bert/word_level/story-10_bert-layers01to12.mat	12x828x768	float32
11	derivatives/stimulus_features/envelope/envelope_100hz/11_envelope.npy	27612	derivatives/stimulus_features/mel/mel_50hz/story-11_mel.npy	13806x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-11_bert.npy	13806x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-11_wav2vec2-layer9.npy	13805x1024	float32	derivatives/stimulus_features/bert/word_level/story-11_bert-layers01to12.mat	12x660x768	float32
12	derivatives/stimulus_features/envelope/envelope_100hz/12_envelope.npy	30917	derivatives/stimulus_features/mel/mel_50hz/story-12_mel.npy	15458x80	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/bert/time_aligned/bert_50hz/story-12_bert.npy	15458x768	float64	50	copied_without_numerical_conversion	derivatives/stimulus_features/wav2vec2/wav2vec2_layer9_50hz/story-12_wav2vec2-layer9.npy	15458x1024	float32	derivatives/stimulus_features/bert/word_level/story-12_bert-layers01to12.mat	12x763x768	float32
