onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
29.778000	300.035000	29778	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
343.385000	321.066000	343385	speech	1	audio/story-01.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1534.108000	310.118000	1534108	speech	2	audio/story-02.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1911.387000	300.395000	1911387	speech	3	audio/story-03.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2286.529000	315.930000	2286529	speech	4	audio/story-04.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2667.405000	308.346000	2667405	speech	5	audio/story-05.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3022.522000	314.922000	3022522	speech	6	audio/story-06.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4852.033000	305.777000	4852033	speech	7	audio/story-07.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5231.268000	310.459000	5231268	speech	8	audio/story-08.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5601.515000	247.239000	5601515	speech	9	audio/story-09.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5916.634000	324.951000	5916634	speech	10	audio/story-10.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6293.829000	276.205000	6293829	speech	11	audio/story-11.mp3	1	last_adjacent_pair_with_duration_ge_150_s
6636.843000	309.281000	6636843	speech	12	audio/story-12.mp3	1	last_adjacent_pair_with_duration_ge_150_s
7002.658000	304.243000	7002658	speech	13	audio/story-13.mp3	1	last_adjacent_pair_with_duration_ge_150_s
7375.645000	196.830000	7375645	speech	14	audio/story-14.mp3	1	last_adjacent_pair_with_duration_ge_150_s
7619.378000	307.359000	7619378	speech	15	audio/story-15.mp3	1	last_adjacent_pair_with_duration_ge_150_s
7968.890000	305.579000	7968890	speech	16	audio/story-16.mp3	1	last_adjacent_pair_with_duration_ge_150_s
8324.549000	290.802000	8324549	speech	17	audio/story-17.mp3	1	last_adjacent_pair_with_duration_ge_150_s
