onset	duration	sample	trial_type	story_id	stim_file	candidate_pair_count	selection_rule
28.694000	300.035000	28694	rest	n/a	n/a	1	last_adjacent_pair_with_duration_ge_150_s
338.773000	314.149000	338773	speech	18	audio/story-18.mp3	1	last_adjacent_pair_with_duration_ge_150_s
698.412000	324.735000	698412	speech	19	audio/story-19.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1093.385000	306.811000	1093385	speech	20	audio/story-20.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1441.412000	308.323000	1441412	speech	21	audio/story-21.mp3	1	last_adjacent_pair_with_duration_ge_150_s
1810.880000	325.720000	1810880	speech	22	audio/story-22.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2195.906000	321.280000	2195906	speech	23	audio/story-23.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2564.755000	266.126000	2564755	speech	24	audio/story-24.mp3	1	last_adjacent_pair_with_duration_ge_150_s
2878.645000	304.786000	2878645	speech	25	audio/story-25.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3287.352000	291.441000	3287352	speech	26	audio/story-26.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3624.788000	280.667000	3624788	speech	27	audio/story-27.mp3	1	last_adjacent_pair_with_duration_ge_150_s
3961.998000	289.887000	3961998	speech	28	audio/story-28.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4301.020000	290.746000	4301020	speech	29	audio/story-29.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4625.259000	283.694000	4625259	speech	30	audio/story-30.mp3	1	last_adjacent_pair_with_duration_ge_150_s
4943.057000	278.771000	4943057	speech	31	audio/story-31.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5270.235000	288.924000	5270235	speech	32	audio/story-32.mp3	1	last_adjacent_pair_with_duration_ge_150_s
5690.901000	281.771000	5690901	speech	33	audio/story-33.mp3	1	last_adjacent_pair_with_duration_ge_150_s
