story_id	session_id	order_within_session	audio_file	transcript_file	tts_platform	voice_name	voice_gender	duration_sec_from_analysis_envelope	chinese_character_count	audio_sha256	transcript_sha256
1	ses-day1	1	audio/story-01.mp3	transcripts/story-01.txt	Guagua Audiobook	Dapiaoliang	female	320.97	1250	ee7f84048cd884bbbe8a8eb28847e0f1aec51736f1f472978f3849b373fd4323	ca0cb29687fcb91adf03cbc3d423e865639da1c85c16e93c865e0871e9b4d9f1
2	ses-day1	2	audio/story-02.mp3	transcripts/story-02.txt	Guagua Audiobook	Dapiaoliang	female	310.01	1229	43b0615782f1c1cddf5b99bfbd65f7d62a33b619479c30ba32c0693d4e4212c7	ee8f1dc5f88868c3412b6d227541ce82e016963df3b60603ad043c4675dca3d1
3	ses-day1	3	audio/story-03.mp3	transcripts/story-03.txt	Guagua Audiobook	Dapiaoliang	female	300.29	1178	18073ddff9d985e22159974e18dc3bb9eac6dadae21f83f71c29bfa0539961eb	a2ca54b3d954eee8d1ab19e33e9834fc1df53eb3d3f54793a2fdcba76c786d13
4	ses-day1	4	audio/story-04.mp3	transcripts/story-04.txt	Guagua Audiobook	Dapiaoliang	female	315.82	1253	9940f4cff7d9f0e7b3b28ee96015d6efe52e7a02f0d9aaa0d7ec50035163fee6	d722c225716cbd928d39fe6bab047f2fd9d47c0ba363e330ddcbd0a9e644e968
5	ses-day1	5	audio/story-05.mp3	transcripts/story-05.txt	Guagua Audiobook	Dapiaoliang	female	308.24	1200	30f45e187877e0a812ca606b49f978999cd775cb9f739ce3c2dd87bdb2fd8106	2214a737607c857627abe3bbd52435798c5af852c51806c6d91d602b68c3509c
6	ses-day1	6	audio/story-06.mp3	transcripts/story-06.txt	Guagua Audiobook	Dapiaoliang	female	314.81	1198	a08463afd43fd05ec02723a2d234885dbf133c60a7a52e372c37fb650dc7cdd5	1862a126f19372f96735d5c3371c95e857040b613bcc253aa0a7d5a4e1ba5aff
7	ses-day1	7	audio/story-07.mp3	transcripts/story-07.txt	Guagua Audiobook	Dapiaoliang	female	305.68	1203	3f37908bc4ba1b93b140356519ec7c727dc2230fae31bc3495fe17c1a0bc393f	e26c8cd2d7b09855fe83ffa4c585aea0a76ced954a2725ff285569294781af89
8	ses-day1	8	audio/story-08.mp3	transcripts/story-08.txt	Guagua Audiobook	Dapiaoliang	female	310.36	1227	516ded0e8d208aa128d24b1d447d922944615ad8cdb50e19793b02b2676d4a62	4fdcf4febe5ca1a5cd295525eff21d837f10cd039744b1a404b6a88ca571be4b
9	ses-day1	9	audio/story-09.mp3	transcripts/story-09.txt	Guagua Audiobook	Dapiaoliang	female	247.15	975	c3ae5194246cacf4e4483985e7e355012c78405d727ff4e24a042e489f0627e7	acee6f02dd7cae2ea81305d78471f6396311fc12b5a03eb9989f75c78484f103
10	ses-day1	10	audio/story-10.mp3	transcripts/story-10.txt	Guagua Audiobook	Dapiaoliang	female	324.85	1270	5791e57759adb8b52de53e8091884e25cb971f1e439a3baef88002b9579d381e	8211717258570b37a9f96844a2c59e55b759fe0777b78f723dcaacc732538c3b
11	ses-day1	11	audio/story-11.mp3	transcripts/story-11.txt	Guagua Audiobook	Dapiaoliang	female	276.12	1061	1b9ff2a849f598831eeeb854f315c52e42321b734e01558093c28a686ae20ffd	288f2df38d8df08cea3b8a864050064006165b4170f4b91bebd79d0ce2e05c6e
12	ses-day1	12	audio/story-12.mp3	transcripts/story-12.txt	Guagua Audiobook	Dapiaoliang	female	309.17	1201	b28281435a3d122c4c58e29b20c08ebeb0fa441f6a11e8352d5875099dcb1052	cf101e5be95badbf103654927b969e76104c16d3a65be91ca5906d2c25e7e753
13	ses-day1	13	audio/story-13.mp3	transcripts/story-13.txt	Guagua Audiobook	Dapiaoliang	female	304.14	1222	ccc5a5928cf1c453274ae1ad4c582f12d9bcf26d82da362d44a12789e0ab2f4f	d0945daf6dcbdc323091e1f4a4b422e55d5a7b86fd4ccf48a6d83a116deb1f48
14	ses-day1	14	audio/story-14.mp3	transcripts/story-14.txt	Guagua Audiobook	Dapiaoliang	female	196.74	747	f845b3aea1674ee36f272d4765843bd6c491be4525c3550d90f967c98acffca2	16d8cc4c5a4c71c02c6cf5a8dc085c5d06915c2934097d0a9e7d01bf8dab0bc6
15	ses-day1	15	audio/story-15.mp3	transcripts/story-15.txt	Guagua Audiobook	Dapiaoliang	female	307.26	1204	942be04a92964b1838df1c4b40d4223c703f5144b6451bbf30364d458d1c8336	c242dd65ded3b91806565c90ad947db87f6f9d7986183dba2617bae7b25b235a
16	ses-day1	16	audio/story-16.mp3	transcripts/story-16.txt	Guagua Audiobook	Dapiaoliang	female	305.49	1208	f0cb1807c18ebd74ed5e1afb378983362eb421fa8bb9485a64300f2e1d8a694e	4c55b02e913eb68104d32ef03ff55c662ff98679cc89809d93ffcf717fd7750a
