story_id	session_id	order_within_session	audio_file	transcript_file	tts_platform	voice_name	voice_gender	duration_sec_from_analysis_envelope	chinese_character_count	audio_sha256	transcript_sha256
17	ses-day1	17	audio/story-17.mp3	transcripts/story-17.txt	Guagua Audiobook	Dapiaoliang	female	290.71	1157	abf565e072905cd6f3dfda8781735060d3cd9489e479009106e45f2e0bdfef06	1bfdd6be1dbdb97330c80767775dbd277843ca5da35642235defce04f9f1f806
18	ses-day2	1	audio/story-18.mp3	transcripts/story-18.txt	Guagua Audiobook	Dapiaoliang	female	314.06	1177	a315e233279d5c07ff743a5b713e1f60032b1db971b286569bf4729f0b7f2e6f	b68d2774f2440126522ac79e981a6c33153f0d71f18a64ab6b95f6185e73f0ec
19	ses-day2	2	audio/story-19.mp3	transcripts/story-19.txt	Guagua Audiobook	Dapiaoliang	female	324.63	1186	e092b107a617790e39ce2b8b3e185dc98c83f70a53e838d7a0e30ecd3d5b0095	a956edd774bc50b7781d59dc47eb8eeece865e91b4076c91e147bcacb44ca53e
20	ses-day2	3	audio/story-20.mp3	transcripts/story-20.txt	Guagua Audiobook	Dapiaoliang	female	306.72	1224	316603518eae0d2b7d0eef719aa554201042598caa7dd2a34564f8164a0355b4	634625d733bf982740d8f7faea57bc8883513ee7382109902728c4f5efbf6f1a
21	ses-day2	4	audio/story-21.mp3	transcripts/story-21.txt	Guagua Audiobook	Dapiaoliang	female	308.21	1223	0bdd202836200517083a4693114fafc0c7ca14057503e2a48107146a791de19e	921db347678f183c7423ce76ed88fe0bf93beff7a9666a1df6cf98c2870732d1
22	ses-day2	5	audio/story-22.mp3	transcripts/story-22.txt	Guagua Audiobook	Dapiaoliang	female	325.61	1217	c8fdfbf799947cea17b2ef0f93176d4db5dc546372d62c9dadb9bccfc7ea9bb4	fd635fd13c1703ec5e569c3b4357e1f454ac6a0da43240bab52325c2b482f8b1
23	ses-day2	6	audio/story-23.mp3	transcripts/story-23.txt	Guagua Audiobook	Dapiaoliang	female	321.17	1215	13bef8620414ce05aed0fce8235a22892a556838011497387cde2afe30d185e7	b6f16bf5cca3b8abab5d932337f7e45632dab322d89a4a20a7ec11afc0a7829c
24	ses-day2	7	audio/story-24.mp3	transcripts/story-24.txt	Guagua Audiobook	Dapiaoliang	female	266.04	1029	48a308e2ce18cce4325f6222d750b4ff550b1e3b10dd60e43d2c3d7664125f3a	a9be83d1ff403ccc9b224f0b4e27fe063db7dee468dffc07fdbd1d19a66fd78d
25	ses-day2	8	audio/story-25.mp3	transcripts/story-25.txt	Guagua Audiobook	Dapiaoliang	female	304.70	1239	2070562aca518ac03114f7e76f912ec863306182c62e0724bb1b559eb83f53cb	98c8fa4fe0bcf1f56bca2d69d6f05de146d291e07b5386755af16b3aa804b4a7
26	ses-day2	9	audio/story-26.mp3	transcripts/story-26.txt	Guagua Audiobook	Huazai	male	291.36	1230	7ce95f1df511960110e6bd7ce4f661235e959239cc6f33e03032dda048d5afc5	de9d15bb21031687e9cbd22f895aaac1d1519bf6bdbabc4e25b960836fe573a0
27	ses-day2	10	audio/story-27.mp3	transcripts/story-27.txt	Guagua Audiobook	Huazai	male	280.58	1242	ba86fc4abc1fac94d4975f486be617beb203f5f54f6f4d448ca09904adc1b9b9	0395066a2cee24869d05feece2d51b6a10402350f27d92b8181a9228aaf4d6b9
28	ses-day2	11	audio/story-28.mp3	transcripts/story-28.txt	Guagua Audiobook	Huazai	male	289.80	1219	65daf6c2b3bb9872ea7fe9bdf7df79d2f843a8e8bc671804c8adfd8bd54c08bb	6aa8d746e752fdea7d14151d49bbb4231b8aec41c152e1e4230e051264bf8e48
29	ses-day2	12	audio/story-29.mp3	transcripts/story-29.txt	Guagua Audiobook	Huazai	male	290.66	1204	5d725977f52f5eba8829ba3b136db9631a29ca1668a048dc7b60ddf50d00b824	114e1ca0914330df53beef6fccc59d96163fd521168f24c79a1f5d4cee927b25
30	ses-day2	13	audio/story-30.mp3	transcripts/story-30.txt	Guagua Audiobook	Huazai	male	283.59	1238	5019695b23a70284777ccb347eb128747df2bdd949724fad63e1d6e5472b62cc	bd12d0df6813283ac7b44eb5bd8976fe79ec8744ff418dd135f70b6f48f72dc1
31	ses-day2	14	audio/story-31.mp3	transcripts/story-31.txt	Guagua Audiobook	Huazai	male	278.67	1199	3ca4d78f13c1f934b0ada3c097d1da3e26439f51b5f3cc8e968020fff85b1522	7f1ed93847312ae0f6cd73eb8c8b6d1dc0f74940c4515e5152cf60fd04cbc08c
32	ses-day2	15	audio/story-32.mp3	transcripts/story-32.txt	Guagua Audiobook	Huazai	male	288.84	1196	b33b6ef388083a2373f1a7f3cf690c1a42624e88d88ab3a1f9eeb00b716e6272	a18f38464696c3bb0a7bda5e76007169139cf5a7e5b8e5bbc98f2369979825db
33	ses-day2	16	audio/story-33.mp3	transcripts/story-33.txt	Guagua Audiobook	Huazai	male	281.68	1215	b99e313a0142ee260f29359a8b2e4fc2b3a3bac02146294b6191962a82e34c78	cfbce3544a0970d4f824af10dc2cfe7fc613a7699771f16fc78833075ee527ec
34	ses-day3	1	audio/story-34.mp3	transcripts/story-34.txt	Guagua Audiobook	Huazai	male	303.58	1295	ce46b1a08f756f8586c352202ead992f1a8336b5fa7b0c6438c6b3fd9baeed73	59c2032fe6f58960e5395c660766b5d7fd2620a0580d70852904e04610f563a5
35	ses-day3	2	audio/story-35.mp3	transcripts/story-35.txt	Guagua Audiobook	Huazai	male	287.67	1237	90c9c40fb61bcf885c830f607321c8f339399c72056739435de723610273dd7e	a21c6997d3149fb55693efc9b99195e901960a59be42059e85c2ef9078f19cf9
36	ses-day3	3	audio/story-36.mp3	transcripts/story-36.txt	Guagua Audiobook	Huazai	male	284.50	1227	264f7ef884d1f2baedf1300cbbe51099f4c6453ed975b9333ac039c174d4f06f	740a81edc20ca1a02ede36e965c9ff85ce9150db38b29273b7f3fd071e9a0764
37	ses-day3	4	audio/story-37.mp3	transcripts/story-37.txt	Guagua Audiobook	Huazai	male	222.66	951	be4344c43288db189a7332618a6b52325c953cf1ae5be1a1878cbc1b00247d08	2d45d7f577674f27f2dc5c656b36ecb8c4bc78182c183d88bdcd4e86114da629
38	ses-day3	5	audio/story-38.mp3	transcripts/story-38.txt	Guagua Audiobook	Huazai	male	272.46	1194	f7035f62092afe0460010dca3e1ddf4c6fe99cbea710d18e6230a7374fe57e7e	e7facde1324fd454fee142901417ef7ab179a0f7e6a67070e968c8f4fe563941
39	ses-day3	6	audio/story-39.mp3	transcripts/story-39.txt	Guagua Audiobook	Huazai	male	284.83	1196	56fbd9638347b7833f4771775b4e5b695fc5c76f7095594505c99154252735e3	8b77a22efabc6e82eb871627d4c9fe8774f4703c67b48c32db7989d48900e085
40	ses-day3	7	audio/story-40.mp3	transcripts/story-40.txt	Guagua Audiobook	Huazai	male	281.16	1193	322796584ac5920853ddf62be6bc91e50ee60f588fb648f60e75954516e0c442	c3ce28626868772235a16d6a6b1ae5bad40745f9e1a862ca3605588348824e14
41	ses-day3	8	audio/story-41.mp3	transcripts/story-41.txt	Guagua Audiobook	Huazai	male	279.15	1158	55a026b80499c7389941cedd854f79e4a42416a3cb7bc702d4db2fcef7aef994	f1030caeefd99e922702f9bdf3dae97e5cf2c4fed025f0a63f0e68cccbfec1f7
42	ses-day3	9	audio/story-42.mp3	transcripts/story-42.txt	Guagua Audiobook	Huazai	male	271.97	1182	7220b49489910c9e5cf09ce24cadb738af716e0428b93b853935d008f6496c3f	155f460990584ca86c0a63f5d9d4a350951c7cbf406e8802b808cb3c8bf81047
43	ses-day3	10	audio/story-43.mp3	transcripts/story-43.txt	Guagua Audiobook	Huazai	male	227.56	952	40a77654ed6fe9566d8a00bf2bf48119679946ac26d96233583b0714a83364f5	aec094a621dcb90929445334b362e53bb505cdf50a34620180d085cb5d02aee0
44	ses-day3	11	audio/story-44.mp3	transcripts/story-44.txt	Guagua Audiobook	Huazai	male	282.81	1209	92fafd529d515a49637866d44ba23fd9e31babdcde06faa709d805ec8db08aa2	e3a309e38403150a1ae149a6ffee03a0ee1dfab6d9528732b544280888e7d0a2
45	ses-day3	12	audio/story-45.mp3	transcripts/story-45.txt	Guagua Audiobook	Huazai	male	289.27	1228	22cd243e0280027818761348d5180f5ba1e19fff4630dbe1973d918974d0ab6f	545ce4f7cf7b684c5e7dc09bfd02faed25081bd9213316a0bf886bfae81e335c
46	ses-day3	13	audio/story-46.mp3	transcripts/story-46.txt	Guagua Audiobook	Huazai	male	278.07	1200	73450b62a2c04b334d6c55811046caa727ed3d20575e7e4cce5735c855dc9fa6	876cf287cec44aa2f20fe0c0305c22066f88c424a4527bd62a9fa591e6205934
47	ses-day3	14	audio/story-47.mp3	transcripts/story-47.txt	Guagua Audiobook	Huazai	male	281.54	1212	bed82bc4d4f63faf3981607511c37d69b2753cdaaabeb033b79b2f3a2abc71ed	468d66f589f2e467b846d241511797a5fb2c56d783bca9cb75bc3445bd6b782b
48	ses-day3	15	audio/story-48.mp3	transcripts/story-48.txt	Guagua Audiobook	Huazai	male	193.31	796	c02e61384b8b57c7f18ab6af9b38c8ed887ca281db5bc7b0827e2aaee56fb8ce	09ab881b8eb46fd8c21dca691b12297f4481a0761341c600f7f1c62dfff37538
49	ses-day3	16	audio/story-49.mp3	transcripts/story-49.txt	Guagua Audiobook	Huazai	male	282.49	1220	32f8f9c9877dfa2eee1928e1aba58438097d48237cd6e901efaafdd9221f29b8	936c809851253a089e243f5a2db5120f534c7b877c8af8903b023291f93c6145
50	ses-day3	17	audio/story-50.mp3	transcripts/story-50.txt	Guagua Audiobook	Huazai	male	285.64	1213	068a7df1ddf17ff6a01a214f34dc490497a95a9ab3f58e15556c0ac0499bf2f9	5134242716dd8993802c304d6771caa68f263ba893571dfd83e8fa739edba101
